index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	मासैः		मासैः	मास{पुं;3;बहु}	मास{पुं;3;बहु}	हेतुः,7.1	कर्ता,7.1#अपवर्ग_सम्बन्धः,20.1#अपवर्ग_सम्बन्धः,10.1#अपवर्ग_सम्बन्धः,7.1#हेतुः,7.1	N3	महीनों_से	महीनों_से
2.1	द्वि-		द्विसंख्यैः	द्वि-	द्वि-	समाहार_द्वन्द्वः,2.2	समाहार_द्वन्द्वः,2.2	CP		
2.2	संख्यैः		द्विसंख्यैः	द्विसंख्यैः{नपुं;3;बहु}	द्विसंख्यैः{नपुं;3;बहु}	विशेषणम्,1.1	विशेषणम्,1.1	N3		
3.1	मास-		मासाद्यैः	मास-	मास-	बहुव्रीहिः,3.2	बहुव्रीहिः,3.2	CP		
3.2	आद्यैः		मासाद्यैः	मासाद्यैः{पुं;3;बहु}	मासाद्यैः{पुं;3;बहु}	विशेषणम्,1.1	विशेषणम्,1.1	N3		
4.1	क्रमात्		क्रमात्	क्रम{पुं;5;एक}	क्रम{पुं;5;एक}	क्रियाविशेषणम्,7.1	हेतुः5,20.1#हेतुः5,10.1#हेतुः5,7.1#क्रियाविशेषणम्,7.1	N5	क्रम_से	क्रम_से
5.1	षड्		षड्	षष्{संख्येयम्;नपुं;1;बहु}/षष्{संख्येयम्;नपुं;2;बहु}/षष्{संख्या;नपुं;1;बहु}/षष्{संख्या;नपुं;2;बहु}	षष्{संख्येयम्;नपुं;1;बहु}	विशेषणम्,6.1	सुप्_समुच्चितः,20.1#कर्म,7.1#सुप्_समुच्चितः,10.1#विशेषणम्,6.1	N1	छः	छः
6.1	ऋतवः		ऋतवः	ऋतु{पुं;1;बहु}/ऋतु{पुं;8;बहु}	ऋतु{पुं;1;बहु}	कर्म,7.1	सुप्_समुच्चितः,20.1#सुप्_समुच्चितः,10.1#कर्म,7.1	N1	ऋतुएँ	ऋतुएँ
7.1	स्मृताः		स्मृताः	स्मृत{स्त्री;2;बहु}/स्मृत{पुं;1;बहु(स्मृ1;क्त;भ्वादिः)}/स्मृता{स्त्री;1;बहु(स्मृ1;क्त;भ्वादिः)}/स्मृता{स्त्री;2;बहु(स्मृ1;क्त;भ्वादिः)}	स्मृता{स्त्री;2;बहु(स्मृ1;क्त;भ्वादिः	-	-	N1	स्मृतों_को	स्मृतों_को
8.1	शिशिरः		शिशिरः	शिशिर{पुं;1;एक}	शिशिर{पुं;1;एक}	घटकः,6.1	सुप्_समुच्चितः,20.1#सुप्_समुच्चितः,10.1#घटकः,6.1	N1	ठंढा	ठंढा
9.1	अथ		अथ	अथ{अव्य}	अथ{अव्य}	सम्बन्धः,7.1	सम्बन्धः,7.1	NA	ऐसा	ऐसा
10.1	वसन्तः		वसन्तः	वसन्त{पुं;1;एक}/वसत्{पुं;1;बहु(वस्1;शतृ_लट्;भ्वादिः)}	वसन्त{पुं;1;एक}	घटकः,6.1	घटकः,6.1	N1	वसन्त	वसन्त
11.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,7.1	सम्बन्धः,7.1	NA	और	और
12.1	ग्रीष्मः		ग्रीष्मः	ग्रीष्म{पुं;1;एक}	ग्रीष्म{पुं;1;एक}	घटकः,6.1	सुप्_समुच्चितः,20.1#सुप्_समुच्चितः,10.1#घटकः,6.1	N1	ग्रीष्म	ग्रीष्म
13.1	वर्षा-		वर्षाशरद्हिमाः	वर्षा-	वर्षा-	इतरेतर-द्वन्द्वः,13.3	इतरेतर-द्वन्द्वः,13.3	CP		
13.2	शरद्-			शरद्-	शरद्-	इतरेतर-द्वन्द्वः,13.3	इतरेतर-द्वन्द्वः,13.3	CP		
13.3	हिमाः		वर्षाशरद्हिमाः	वर्षाशरद्हिमा{पुं;1;बहु}	वर्षाशरद्हिमा{पुं;1;बहु}	घटकः,6.1	घटकः,6.1	N1		
14.1	शिशिर-		शिशिर-आद्याः	शिशिर	शिशिर	बहुव्रीहिः,14.2	बहुव्रीहिः,14.2	CP	शिशिर-	शिशिर-
14.2	आद्याः		--	आदि{स्त्री;5;एक}/आदि{स्त्री;6;एक}/आद्य{पुं;1;बहु}/आद्या{स्त्री;8;बहु}	आदि{स्त्री;5;एक}	कर्ता,22.2	कर्ता,22.2	N5	आदि_से	आदि_से
15.1	त्रिभिः		त्रिभिः	त्रि{संख्येयम्;पुं;3;बहु}/त्रि{संख्येयम्;नपुं;3;बहु}/त्रि{संख्या;नपुं;3;बहु}	त्रि{संख्येयम्;पुं;3;बहु}	हेतुः,22.2	हेतुः,22.2	N3	तीनों_से	तीनों_से
16.1	तैः		तैः	तद्{सर्वनाम;पुं;3;बहु}/तद्{सर्वनाम;नपुं;3;बहु}	तद्{सर्वनाम;पुं;3;बहु}	विशेषणम्,15.1	विशेषणम्,15.1	N3	उनसे	उनसे
17.1	तु		तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,16.1	सम्बन्धः,16.1	NA	तो	तो
18.1	विद्या-		विद्यादयनम्	विद्या-	विद्या-	षष्ठी-तत्पुरुषः,18.2	षष्ठी-तत्पुरुषः,18.2	CP		
18.2	दयनम्		विद्यादयनम्	विद्यादयन{नपुं;2;एक}	विद्यादयन{नपुं;2;एक}	कर्म,22.2	कर्म,22.2	N2		
19.1	उत्तरम्		उत्तरम्	उत्तर{पुं;2;एक}/उत्तर{नपुं;1;एक}/उत्तर{नपुं;2;एक}/उत्तर{सर्वनाम;पुं;2;एक}/उत्तर{सर्वनाम;नपुं;1;एक}/उत्तर{सर्वनाम;नपुं;2;एक}	उत्तर{पुं;2;एक}	कर्मसमानाधिकरणम्,22.2	कर्मसमानाधिकरणम्,22.2	N2	उत्तर_को	उत्तर_को
20.1	आदानं		आदानं	आदान{नपुं;1;एक(आङ्_दा3;ल्युट्;जुहोत्यादिः)}/आदान{नपुं;2;एक(आङ्_दा3;ल्युट्;जुहोत्यादिः)}	आदान{नपुं;2;एक(आङ्_दा3;ल्युट्;जुहोत्यादिः)}	विशेषणम्,19.1	विशेषणम्,19.1	N2	लेना	लेना
21.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,22.2	सम्बन्धः,22.2	NA	और	और
22.1	तद्		तदादत्ते	तद्{अव्य}	तद्{अव्य}	विशेषणम्,25.1	विशेषणम्,25.1	NA		
22.2	आदत्ते					अभिहित_ कर्ता,14.1	अभिहित_ कर्ता,14.1	KP		
23.1	नृणाम्		नृणाम्	नृ{पुं;6;बहु}	नृ{पुं;6;बहु}	षष्ठीसम्बन्धः,22.2	षष्ठीसम्बन्धः,22.2	N6	मनुष्यों_के	मनुष्यों_के
24.1	प्रतिदिनम्		प्रतिदिनम्	प्रतिदिनम्{अव्य}	प्रतिदिनम्{अव्य}	कालाधिकरणम्,22.2	कालाधिकरणम्,22.2	NA	प्रतिदिन	प्रतिदिन
25.1	बलम्		बलम्	बल{नपुं;1;एक}/बल{नपुं;2;एक}	बल{नपुं;1;एक}	कर्मसमानाधिकरणम्,22.2	कर्मसमानाधिकरणम्,22.2	N1	बल	बल
