index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	तस्मिन्		तस्मिन्	तद्{सर्वनाम;पुं;7;एक}/तद्{सर्वनाम;नपुं;7;एक}	तद्{सर्वनाम;पुं;7;एक}	अधिकरणम्,4.3	अधिकरणम्,20.1#अधिकरणम्,18.1#विशेषणम्,20.1#अधिकरणम्,4.3	N7	उसमें	उसमें
2.1	हि		हि	हि{अव्य}	हि{अव्य}	सम्बन्धः,4.3	सम्बन्धः,4.3	NA	हि	हि
3.1	अति-		अति-तीक्ष्ण-ऊष्ण-रूक्षा	अति	अति	अव्ययीभावः,3.2	अव्ययीभावः,3.2	CP	अति-	अति-
3.2	तीक्ष्ण-		--	तीक्ष्ण	तीक्ष्ण	इतरेतर-द्वन्द्वः,3.4	इतरेतर-द्वन्द्वः,3.4	CP	तीक्ष्ण-	तीक्ष्ण-
3.3	ऊष्ण-		--	-ऊष्ण	-ऊष्ण	इतरेतर-द्वन्द्वः,3.4	इतरेतर-द्वन्द्वः,3.4	CP	ऊष्ण-	ऊष्ण-
3.4	रूक्षाः		रूक्षाः	रूक्षा{स्त्री;1;बहु}	रूक्षा{स्त्री;1;बहु}	कर्ता,4.3	कर्ता,4.3	N1	सूखी	सूखी
4.1	मार्ग-		मार्ग-स्वभावतः	मार्ग	मार्ग	षष्ठी-तत्पुरुषः,4.2	षष्ठी-तत्पुरुषः,4.2	CP	मार्ग-	मार्ग-
4.2	स्वभावतः		--	स्वभाव{अव्य;तसिल्}	स्वभाव{अव्य;तसिल्}	हेतुः,4.3	हेतुः5,20.1#हेतुः5,18.1#हेतुः,4.3	NA	स्वभाव_से	स्वभाव_से
4.3	(भवन्ति)		(भवन्ति)	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक}	भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,3.4	अभिहित_कर्ता,3.4	KP		
5.1	आदित्य-		आदित्य-पवनाः	आदित्य	आदित्य	इतरेतर-द्वन्द्वः,5.2	इतरेतर-द्वन्द्वः,5.2	CP	आदित्य-	आदित्य-
5.2	पवनाः		--	पवन{पुं;1;बहु}/पवन{पुं;8;बहु}/पवना{स्त्री;8;बहु}/पवना{स्त्री;1;बहु}/पवना{स्त्री;2;बहु}	पवन{पुं;1;बहु}	कर्ता,7.1	विशेषणम्,15.1#विशेषणम्,9.1#विशेषणम्,13.1#कर्ता,7.1	N1	पवन	पवन
6.1	सौम्यान्		सौम्यान्	सौम्य{पुं;2;बहु}	सौम्य{पुं;2;बहु}	विशेषणम्,8.1	विशेषणम्,8.1	N2	सुन्दरों_को	सुन्दरों_को
7.1	क्षपयन्ति		क्षपयन्ति	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}	-	अभिहित_कर्ता,5.2	अभिहित_कर्ता,5.2	KP	-	-
8.1	गुणान्		गुणान्	गुण{पुं;2;बहु}	गुण{पुं;2;बहु}	कर्म,7.1	कर्म,7.1	N2	गुणों_को	गुणों_को
9.1	भुवः		भुवः	भू{स्त्री;1;बहु}/भू{स्त्री;6;एक}/भू{स्त्री;5;एक}/भू{स्त्री;2;बहु}/भू{स्त्री;8;बहु}	भू{स्त्री;6;एक}	षष्ठीसम्बन्धः,8.1	षष्ठीसम्बन्धः,8.1	N6	भू	भू
10.1	तिक्तः		तिक्तः	तिक्त{पुं;1;एक}	तिक्त{पुं;1;एक}	घटकः,13.1	विधेय_विशेषणम्,3.4#विशेषणम्,11.1#घटकः,13.1	N1	तिक्त	तिक्त
11.1	कषायः		कषायः	कषाय{पुं;1;एक}	कषाय{पुं;1;एक}	घटकः,13.1	विधेय_विशेषणम्,10.1#विधेय_विशेषणम्,3.4#घटकः,13.1	N1	कषैल	कषैल
12.1	कटुकः		कटुकः	-	-	घटकः,13.1	घटकः,13.1	N1	-	-
