index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	स्वस्थ-		स्वस्थचित्तस्य	स्वस्थ-	स्वस्थ-	बहुव्रीहिः,1.2	बहुव्रीहिः,1.2	CP		
1.2	चित्तस्य			स्वस्थचित्त{नपुं;6;एक}	स्वस्थचित्त{नपुं;6;एक}	षष्ठीसम्बन्धः,3.1	षष्ठीसम्बन्धः,3.1	N6		
2.1	चन्दन-		चन्दनार्द्रस्य	चन्दन-	चन्दन-	बहुव्रीहिः,1.2	बहुव्रीहिः,1.2	CP		
2.2	आर्द्रस्य			चन्दनार्द्र{पुं;6;एक}	चन्दनार्द्र{पुं;6;एक}	षष्ठीसम्बन्धः,3.1	षष्ठीसम्बन्धः,3.1	N6		
3.1	मालिनः		मालिनः	मालिन्{पुं;1;बहु}/मालिन्{पुं;2;बहु}/मालिन्{पुं;5;एक}/मालिन्{पुं;6;एक}/मालिन्{नपुं;5;एक}/मालिन्{नपुं;6;एक}/मालिन्{पुं;8;बहु}	मालिन्{पुं;6;एक}	समुच्चितः,28.1	समुच्चितः,28.1	N6		
4.1	नि-		निवृत्तकामतन्त्रस्य	नि-	नि-	प्रादिसमासः,4.2	प्रादिसमासः,4.2	CP	तन्त्र_के	तन्त्र_के
4.2	वृत्त-			वृत्त-	वृत्त-	बहुव्रीहिः,4.4	बहुव्रीहिः,4.4	CP		
4.3	काम-			काम-	काम-	षष्ठी-तत्पुरुषः,4.4	षष्ठी-तत्पुरुषः,4.4	CP		
4.4	तन्त्रस्य		तन्त्रस्य	तन्त्र{नपुं;6;एक}	तन्त्र{नपुं;6;एक}	षष्ठीसम्बन्धः,5.4	षष्ठीसम्बन्धः,5.4	N6		
5.1	सु-		सुसूक्ष्मतनुवाससः	सु-	सु-	अव्ययीभावः,5.3	अव्ययीभावः,5.3	CP		
5.2	सूक्ष्म-			सूक्ष्म-	सूक्ष्म-	कर्मधारयः,5.3	कर्मधारयः,5.3	CP		
5.3	तनु-			तनु-	तनु-	बहुव्रीहिः,5.4	बहुव्रीहिः,5.4	CP		
5.4	वाससः			वासस्{पुं;6;एक}	वासस्{पुं;6;एक}	समुच्चितः,28.1	समुच्चितः,28.1	N6		
6.1	जलार्द्राः		जलार्द्राः	जलार्द्र{पुं;1;बहु}/जलार्द्रा{स्त्री;1;बहु}/जलार्द्रा{स्त्री;2;बहु}	जलार्द्र{पुं;1;बहु}	समुच्चितः,28.1	समुच्चितः,28.1	N1	गीले	गीले
7.1	ताल-		तालवृन्तानि	ताल-	ताल-	षष्ठी-तत्पुरुषः,7.2	षष्ठी-तत्पुरुषः,7.2	CP		
7.2	वृन्तानि			वृन्त{नपुं;2;बहु}	वृन्त{नपुं;2;बहु}	कर्म,9.1	कर्म,9.1	N2		
9.1	विस्तृताः		विस्तृताः	विस्तृत{पुं;1;बहु}/विस्तृता{स्त्री;1;बहु}/विस्तृता{स्त्री;2;बहु}/विस्तृत{पुं;8;बहु}	विस्तृत{पुं;1;बहु}	समुच्चितः,28.1	समुच्चितः,28.1	N1		
10.1	पद्मिनी-		पद्मिनीपुटाः	पद्मिनी-	पद्मिनी-	षष्ठी-तत्पुरुषः,10.2	षष्ठी-तत्पुरुषः,10.2	CP		
10.2	पुटाः			पुटा{पुं;1;बहु}	पुटा{पुं;1;बहु}	समुच्चितः,28.1	समुच्चितः,28.1	N1		
11.1	उत्क्षेपाः		उत्क्षेपाश्च	उत्क्षेप{पुं;8;बहु}/उत्क्षेप{पुं;1;बहु(उत्_क्षिप्2;घञ्;तुदादिः)}	उत्क्षेप{पुं;1;बहु(उत्_क्षिप्2;घञ्;तुदादिः)}	समुच्चितः,28.1	समुच्चितः,28.1	N1		
12.1	च			च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,28.1	समुच्चय_द्योतकः,28.1	NA		
13.1	मृदु-		मृदूत्क्षेपाः	मृदु-	मृदु-	कर्मधारयः,13.2	कर्मधारयः,13.2	CP		
13.2	उत्क्षेपाः			उत्क्षेप{पुं;8;बहु}/उत्क्षेप{पुं;1;बहु(उत्_क्षिप्2;घञ्;तुदादिः)}/उत्क्षेपा{स्त्री;8;बहु}/उत्क्षेपा{स्त्री;1;बहु}/उत्क्षेपा{स्त्री;2;बहु}	उत्क्षेप{पुं;1;बहु(उत्_क्षिप्2;घञ्;तुदादिः)}	समुच्चितः,28.1	समुच्चितः,28.1	N1		
13.3	जल-		जलवर्षिहिमानलाः	जल-	जल-	षष्ठी-तत्पुरुषः,13.4	षष्ठी-तत्पुरुषः,13.4	CP		
13.4	वर्षि-			वर्षि-	वर्षि-	इतरेतर-द्वन्द्वः,13.7	इतरेतर-द्वन्द्वः,13.7	CP		
13.5	हिम-			हिम-	हिम-	इतरेतर-द्वन्द्वः,13.7	इतरेतर-द्वन्द्वः,13.7	CP		
13.6	अ-			अ-	अ-	नञ्-तत्पुरुषः,13.7	नञ्-तत्पुरुषः,13.7	CP		
