index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	आस्थापनं		आस्थापनं	आस्थान{नपुं;2;एक}	आस्थान{नपुं;2;एक}	कर्म,11.1	कर्म,11.1	N2		
2.1	शुद्ध-		शुद्धतनुर्जीर्णं	शुद्ध-	शुद्ध-	बहुव्रीहिः,2.2	बहुव्रीहिः,2.2	CP		
2.2	तनुः			तनु{नपुं;2;एक}	तनु{नपुं;2;एक}	कर्ता,11.1	कर्ता,11.1	N2		
2.3	जीर्णम्			जाीर्ण{नपुं;2;एक}	जाीर्ण{नपुं;2;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N2		
3.1	धान्यं		धान्यं	धान्य{नपुं;2;एक}	धान्य{नपुं;2;एक}	समुच्चितः,1.1	समुच्चितः,1.1	N2		
4.1	रसान्		रसान्	रस{पुं;2;बहु}	रस{पुं;2;बहु}	समुच्चितः,1.1	कर्म,11.1#कर्म,7.1#कर्म,5.1#समुच्चितः,1.1	N2	रस_को	रस_को
5.1	कृतान्		कृतान्	कृत{पुं;2;बहु(कृ2;क्त;स्वादिः)}/कृत{पुं;2;बहु(कृ3;क्त;तनादिः)}	कृत{पुं;2;बहु(कृ2;क्त;स्वादिः)}	विशेषणम्,4.1	विशेषणम्,8.1#कर्म,11.1#कर्म,7.1#विशेषणम्,4.1	N2	निर्मितों_को	निर्मितों_को
6.1	जाङ्गलं		जाङ्गलं	जाङ्गल{पुं;2;एक}/जाङ्गल{नपुं;1;एक}/जाङ्गल{नपुं;2;एक}	जाङ्गल{पुं;2;एक}	समुच्चितः,1.1	कर्म,11.1#कर्म,7.1#कर्ता,11.1#समुच्चितः,1.1	N2	जाङ्गल_को	जाङ्गल_को
7.1	पिशितं		पिशितं	पिशित{पुं;2;एक(पिश्1;क्त;तुदादिः)}/पिशित{नपुं;1;एक(पिश्1;क्त;तुदादिः)}/पिशित{नपुं;2;एक(पिश्1;क्त;तुदादिः)}	पिशित{पुं;2;एक(पिश्1;क्त;तुदादिः)}	विशेषणम्,6.1	विशेषणम्,6.1#कर्म,11.1#कर्ता,11.1#समुच्चितः,1.1	N2	टुकडे-टुकडे_किया_हुआ	टुकडे-टुकडे_किया_हुआ
8.1	यूषान्		यूषान्	यूष{पुं;2;बहु}	यूष{पुं;2;बहु}	समुच्चितः,1.1	कर्म,11.1#समुच्चितः,1.1	N2	रसों_को	रसों_को
9.1	मधु		मध्वरिष्टं	मधु{नपुं;2;एक}	मधु{नपुं;2;एक}	समुच्चितः,1.1	समुच्चितः,1.1	N2		
9.2	अरिष्टम्			अरिष्टम्{नपुं;2;एक}	अरिष्टम्{नपुं;2;एक}	समुच्चितः,1.1	समुच्चितः,1.1	N2		
10.1	चिरन्तनम्		चिरन्तनम्	चिरन्तन{पुं;2;एक}/चिरन्तन{नपुं;1;एक}/चिरन्तन{नपुं;2;एक}	चिरन्तन{पुं;2;एक}	क्रियाविशेषणम्,11.1	कर्म,11.1#कर्ता,11.1#क्रियाविशेषणम्,11.1	N2	चिरन्तन_को	चिरन्तन_को
11.1	भजेत्		भजेत्	भज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	भज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,2.2	अभिहित_कर्ता,2.2	KP	भजे	भजे
12.1	(च)		(च)	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,1.1	समुच्चय_द्योतकः,1.1	NA		
