index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	समन्ताद्		समन्ताद्	समन्त{नपुं;5;एक}	समन्त{नपुं;5;एक}	हेतुः,5.1	हेतुः,5.1#हेतुः5,22.1#हेतुः5,19.1#हेतुः5,15.1#हेतुः5,12.1#हेतुः5,5.1#हेतुः5,4.2	N5	हर_दिशा_में_मौजूद_से	हर_दिशा_में_मौजूद_से
2.1	अपि		अपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	भी	भी
3.1	अहो-		अहोरात्रम्	अहो-	अहो-	समाहार-द्वन्द्वः,3.2	समाहार-द्वन्द्वः,3.2	CP	अहोरात्र_को	अहोरात्र_को
3.2	रात्रम्			अहोरात्र{पुं;1;एक}	अहोरात्र{पुं;1;एक}	कालाधिकरणम्,5.1	कालाधिकरणम्,5.1	N1		
4.1	अगस्त्य-		अगस्त्य-उदय-निर्विषम्	अगस्त्	अगस्त्	षष्ठी-तत्पुरुषः,4.2	षष्ठी-तत्पुरुषः,4.2	CP	अगस्त्-	अगस्त्-
4.2	उदय-		--	उदय(उत्_इ1;घञ्;अदादिः)	उदय(उत्_इ1;घञ्;अदादिः)	षष्ठी-तत्पुरुषः,4.3	षष्ठी-तत्पुरुषः,4.3	CP		
4.3	निर्विषम्		--	निर्विष{पुं;2;एक}/निर्विष{नपुं;1;एक}/निर्विष{नपुं;2;एक}	निर्विष{नपुं;1;एक}	कर्ता,5.1	कर्ता,5.1#विशेषणम्,18.1#विशेषणम्,11.1#विशेषणम्,9.1#कर्ता_बे_वेर्ब्स्,5.1	N1	जिसमें_जहर_न_हो_को	जिसमें_जहर_न_हो_को
5.1	(भवति)		(भवति)	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक}	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,4.3	अभिहित_कर्ता,4.3#विशेषणम्,22.1#विशेषणम्,19.1#विशेषणम्,15.1#विशेषणम्,12.1#सुप्_अन्यतरः,22.1#सुप्_अन्यतरः,19.1	KP	होता_है	होता_है
6.1	शुचि-		शुचि_	शुचि-	शुचि-	षष्ठी-तत्पुरुषः,6.2	अधिकरणम्,22.1#अधिकरणम्,19.1#अधिकरणम्,15.1#अधिकरणम्,12.1 #षष्ठी-तत्पुरुषः,6.2	CP	रंज_में	रंज_में
6.2	हंसोदकम्		हंसोदकम्	हंसोदक{नपुं;1;एक}	हंसोदक{नपुं;1;एक}	उपमानम्,10.1	उपमानम्,10.1	N1		
7.1	नाम		नाम	नाम{अव्य}	नाम{अव्य}	उपमान_द्योतकः,10.1	उपमान_द्योतकः,10.1	NA	नामक	नामक
8.1	निर्मलम्		निर्मलम्	निर्मल{पुं;2;एक}/निर्मल{नपुं;1;एक}/निर्मल{नपुं;2;एक}	निर्मल{नपुं;1;एक}	विशेषणम्,10.1	विशेषणम्,18.1#विशेषणम्,10.1#विधेय_विशेषणम्,4.3#कर्ता_बे_वेर्ब्स्,15.1#कर्ता_बे_वेर्ब्स्,12.1	N1	निर्मल_को	निर्मल_को
9.1	मलजित्		मलजित्	मलजित्{नपुं;1;एक}	मलजित्{नपुं;1;एक}	विशेषणम्,10.1	विशेषणम्,10.1	N1		
10.1	जलम्		जलम्	जल{नपुं;2;एक}/जल{नपुं;1;एक}	जल{नपुं;1;एक}	कर्ता,11.1	कर्ता_बे_वेर्ब्स्,15.1#कर्ता_बे_वेर्ब्स्,12.1#कर्ता,11.1	N1	जल_को	जल_को
11.1	(भवति)		(भवति)	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक}	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,10.1	अभिहित_कर्ता,10.1	KP	होता_है	होता_है
12.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,14.1	प्रतिषेधः,22.1#प्रतिषेधः,19.1#प्रतिषेधः,14.1	NA	नहीं	नहीं
13.1	अभिष्यन्दि		अभिष्यन्दि	अभिष्यन्दि{पुं;1;एक}	अभिष्यन्दि{पुं;1;एक}	कर्ता,14.1	कर्ता,14.1	N1		
14.1	(भवति)		(भवति)	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक}	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,13.1	विशेषणम्,22.1#विशेषणम्,19.1#सुप्_अन्यतरः,22.1#सुप्_अन्यतरः,19.1#अभिहित_कर्ता,13.1	KP	होता_है	होता_है
15.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,18.1	प्रतिषेधः,22.1#प्रतिषेधः,18.1	NA	नहीं	नहीं
16.1	वा		वा	वा{अव्य}	वा{अव्य}	अन्यतर_द्योतकः,14.1	सुप्_अन्यतर_द्योतकः,22.1#सुप्_अन्यतर_द्योतकः,19.1#सम्बन्धः,16.1#अन्यतर_द्योतकः,14.1	NA	वा	वा
17.1	रूक्षम्		रूक्षम्	रूक्ष{पुं;2;एक}/रूक्ष{नपुं;1;एक}/रूक्ष{नपुं;2;एक}	रूक्ष{नपुं;1;एक}	कर्ता,18.1	कर्ता_बे_वेर्ब्स्,22.1#कर्ता_बे_वेर्ब्स्,19.1#कर्ता,18.1	N1	कठोर_को	कठोर_को
18.1	(भवति)		(भवति)	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक}	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}	अन्यतरः,14.1	विशेषणम्,22.1#अन्यतरः,14.1	KP	होता_है	होता_है
19.1	पानादिषु		पानादिषु	पानादि{पुं;7;एक}	पानादि{पुं;7;एक}	अधिकरणम्,21.1	अधिकरणम्,21.1	N7		
20.1	अमृतोपमम्		अमृतोपमम्	अमृतोपम{नपुं;1;एक}	अमृतोपम{नपुं;1;एक}	कर्ता,21.1	कर्ता,21.1	N1		
21.1	(भवति)		(भवति)	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक}	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,20.1	अभिहित_कर्ता,20.1	KP	होता_है	होता_है
