index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	मेह-		मेह-आमदोष-अतिस्निग्ध-ज्वर-ऊरुस्तम्भ-कुष्ठिनः	मेह-	मेह-	इतरेतर-द्वन्द्वः,1.6	इतरेतर-द्वन्द्वः,1.6	CP	मेह-	मेह-
1.2	आमदोष-		--	आमदोष-	आमदोष-	इतरेतर-द्वन्द्वः,1.6	इतरेतर-द्वन्द्वः,1.6	CP	आमदोष-	आमदोष-
1.3	अतिस्निग्ध-		--	अतिस्निग्ध-	अतिस्निग्ध-	इतरेतर-द्वन्द्वः,1.6	इतरेतर-द्वन्द्वः,1.6	CP	अतिस्निग्ध-	अतिस्निग्ध-
1.4	ज्वर-		--	ज्वर-	ज्वर-	इतरेतर-द्वन्द्वः,1.6	इतरेतर-द्वन्द्वः,1.6	CP	ज्वर-	ज्वर-
1.5	ऊरुस्तम्भ-		--	ऊरुस्तम्भ-	ऊरुस्तम्भ-	इतरेतर-द्वन्द्वः,1.6	इतरेतर-द्वन्द्वः,1.6	CP	ऊरुस्तम्भ-	ऊरुस्तम्भ-
1.6	कुष्ठिनः		कुष्ठिनः	कुष्ठिन्{पुं;1;बहु}/कुष्ठिन्{पुं;2;बहु}/कुष्ठिन्{पुं;5;एक}/कुष्ठिन्{पुं;6;एक}/कुष्ठिन्{पुं;8;बहु}	कुष्ठिन्{पुं;2;बहु}	समुच्चितः,2.6	कर्ता,2.1#कर्म,2.1#षष्ठीसम्बन्धः,2.1#हेतुः5,2.1#समुच्चितः,2.6	N2	कोढी_का	कोढी_का
2.1	विसर्प-		विसर्प-विद्रधि-प्लीह-शिरः-कण्ठ--अक्षिरोगिणः	विसर्प(वि_सृप्1;घञ्;भ्वादिः)	विसर्प(वि_सृप्1;घञ्;भ्वादिः)	इतरेतर-द्वन्द्वः,2.6	इतरेतर-द्वन्द्वः,2.6	CP		
2.2	विद्रधि-		--	विद्रधि-	विद्रधि-	इतरेतर-द्वन्द्वः,2.6	इतरेतर-द्वन्द्वः,2.6	CP	विद्रधि-	विद्रधि-
2.3	प्लीह-		--	प्लीहन्-	प्लीहन्-	इतरेतर-द्वन्द्वः,2.6	इतरेतर-द्वन्द्वः,2.6	CP	प्लीह-	प्लीह-
2.4	शिरः-		--	शिरस्-	शिरस्-	इतरेतर-द्वन्द्वः,2.6	इतरेतर-द्वन्द्वः,2.6	CP	शिरः-	शिरः-
2.5	कण्ठ-		--	कण्ठ-	कण्ठ-	इतरेतर-द्वन्द्वः,2.6	इतरेतर-द्वन्द्वः,2.6	CP	कण्ठ-	कण्ठ-
2.6	अक्षिरोगिणः		अक्षिरोगिणः	अक्षिरोगिन्{पुं;1;बहु}/अक्षिरोगिन्{पुं;2;बहु}/अक्षिरोगिन्{पुं;5;एक}/अक्षिरोगिन्{पुं;6;एक}/अक्षिरोगिन्{पुं;8;बहु}	अक्षिरोगिन्{पुं;2;बहु}	कर्म,3.1	कर्म,3.1	N2	-	-
3.1	(लङ्घयेत्)		(लङ्घयेत्)	लङ्घ{कर्तरि;णिच्;लिङ्;प्र;एक;परस्मैपत;चुरादिः}	लङ्घ{कर्तरि;णिच्;लिङ्;प्र;एक;परस्मैपत;चुरादिः}	-	-	KP	-	-
4.1	(च)		(च)	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,2.6	समुच्चय_द्योतकः,2.6	NA		
										
