index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	विबन्ध-		विबन्ध-गौरव-उद्गार-हृल्लास-आदिभिः	विबन्ध	विबन्ध	इतरेतर-द्वन्द्वः,1.5	इतरेतर-द्वन्द्वः,1.5	CP	विबन्ध-	विबन्ध-
1.2	गौरव-		--	गौरव	गौरव	इतरेतर-द्वन्द्वः,1.5	इतरेतर-द्वन्द्वः,1.5	CP	गौरव-	गौरव-
1.3	उद्गार-		--	उद्गार(उत्_गॄ1;घञ्;तुदादिः)	उद्गार(उत्_गॄ1;घञ्;तुदादिः)	इतरेतर-द्वन्द्वः,1.5	इतरेतर-द्वन्द्वः,1.5	CP		
1.4	हृल्लास-		--	हृल्लास	हृल्लास	बहुव्रीहिः,1.5	बहुव्रीहिः,1.5	CP	हृल्लास-	हृल्लास-
1.5	आदिभिः		--	आदि{पुं;3;बहु}/आदि{नपुं;3;बहु}/आदि{स्त्री;3;बहु}	आदि{पुं;3;बहु}	हेतुः,22.1	हेतुः,22.1#हेतुः,15.1#हेतुः,10.1#हेतुः,6.2#विशेषणम्,20.1#विशेषणम्,18.3#विशेषणम्,12.3#विशेषणम्,7.1#विशेषणम्,6.2#विशेषणम्,13.1#विशेषणम्,9.1	N3	पहेलों_से	पहेलों_से
2.1	आतुरान्		आतुरान्	आतुर{पुं;2;बहु}	आतुर{पुं;2;बहु}	कर्म,22.1	कर्म,22.1	N2	आतुर_को	आतुर_को
3.1	मध्य-		मध्य-स्थौल्य-आदिकान्	मध्य	मध्य	इतरेतर-द्वन्द्वः,3.3	इतरेतर-द्वन्द्वः,3.3	CP	मध्य-	मध्य-
3.2	स्थौल्य-		--	स्थौल्य	स्थौल्य	बहुव्रीहिः,3.3	बहुव्रीहिः,3.3	CP	स्थौल्य-	स्थौल्य-
3.3	आदिकान्		--	आदिक{पुं;2;बहु}	आदिक{पुं;2;बहु}	कर्म,23.1	कर्म,23.1	N2	-	-
4.1	प्रायः		प्रायः	प्रायः{अव्य}	प्रायः{अव्य}	क्रियाविशेषणम्,23.1	क्रियाविशेषणम्,23.1#क्रियाविशेषणम्,15.1#क्रियाविशेषणम्,10.1#क्रियाविशेषणम्,6.2	NA	प्राय	प्राय
