index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	येषाम्	2	येषामर्थे	यद्{पुं;6;बहु}/यद्{नपुं;6;बहु}	यद्{पुं;6;बहु}	षष्ठीसम्बन्धः,2.1;नित्यसम्बन्धः,9.1	षष्ठीसम्बन्धः,2.1;नित्यसम्बन्धः,9.1	N6	जिनके	for_whose	-	-
2.1	अर्थे	3		अर्थ{पुं;7;एक}/अर्थ{नपुं;1;द्वि}/अर्थ{नपुं;2;द्वि}/अर्थ{नपुं;7;एक}	अर्थ{पुं;7;एक}	प्रयोजनम्,3.1	प्रयोजनम्,3.1	N7	लिये	sake	-	-
3.1	काङ्क्षितम्	8	काङ्क्षितं	काङ्क्षित{पुं;2;एक}/काङ्क्षित{नपुं;1;एक}/काङ्क्षित{नपुं;2;एक}	काङ्क्ष्1{कृत्_प्रत्ययः:क्त;काक्षिँ;भ्वादिः;नपुं;1;एक}	अभिहित_कर्म,7.1;सकर्मकः.1	अभिहित_कर्म,7.1;सकर्मकः.1	N1	अभीष्ट_हैं	covet	-	-
4.1	नः	1	नो	नस्{स्त्री;1;एक}/अस्मद्{2;बहु}/अस्मद्{4;बहु}/अस्मद्{6;बहु}	अस्मद्{6;बहु}	षष्ठीसम्बन्धः,3.1	षष्ठीसम्बन्धः,3.1	N6	हमें	we	-	-
5.1	राज्यम्	4	राज्यं	राज्य{पुं;2;एक}/राज्य{नपुं;1;एक}/राज्य{नपुं;2;एक}	राज्य{नपुं;1;एक}	समुच्चितः,7.1	समुच्चितः,7.1	N1	राज्य	kingdom	-	-
6.1	भोगाः	5	भोगाः	भोग{पुं;1;बहु}	भोग{पुं;1;बहु}	समुच्चितः,7.1	समुच्चितः,7.1	N1	भोग	luxuries	-	-
7.1	सुखानि	7	सुखानि	सुख{नपुं;1;बहु}/सुख{नपुं;2;बहु}	सुख{नपुं;1;बहु}	कर्म,3.1	कर्म,3.1	N1	सुखादि	pleasures	-	-
8.1	च	6	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,5.1	समुच्चय_द्योतकः,5.1	NA	और	and	-	-
9.1	ते	9	त	तद्{पुं;1;बहु}/तद्{स्त्री;1;द्वि}/तद्{स्त्री;2;द्वि}/तद्{नपुं;1;द्वि}/तद्{नपुं;2;द्वि}/युष्मद्{4;एक}/युष्मद्{6;एक}	तद्{पुं;1;बहु}	विशेषणम्,17.1	विशेषणम्,17.1	N1	वे	all_of_them	-	-
10.1	इमे	10	इमेऽवस्थिता	इदम्{पुं;1;बहु}/इदम्{स्त्री;1;द्वि}/इदम्{स्त्री;2;द्वि}/इदम्{नपुं;1;द्वि}/इदम्{नपुं;2;द्वि}	इदम्{पुं;1;बहु}	विशेषणम्,17.1	विशेषणम्,17.1	N1	ये_(सब)	these	-	-
11.1	अवस्थिताः	28		अवस्थित{पुं;1;बहु}/अवस्थिता{स्त्री;1;बहु}/अवस्थिता{स्त्री;2;बहु}	अव_स्था1{कृत्_प्रत्ययः:क्त;अव_ष्ठा;भ्वादिः;पुं}{1;बहु}	अभिहित_कर्ता,17.1;अकर्मकः.1	अभिहित_कर्ता,17.1;अकर्मकः.1	N1	खड़े_हैं	arrayed	-	-
12.1	युद्धे	27	युद्धे	युद्ध{पुं;7;एक}/युद्ध{नपुं;1;द्वि}/युद्ध{नपुं;2;द्वि}/युद्ध{नपुं;7;एक}/युद्धा{स्त्री;1;द्वि}/युद्धा{स्त्री;2;द्वि}	युद्ध{नपुं;7;एक}	अधिकरणम्,11.1	अधिकरणम्,11.1	N7	युद्ध_में	on_the_battlefield	-	-
13.1	प्राणान्	25	प्राणांस्त्यक्त्वा	प्राण{पुं;2;बहु}	प्राण{पुं;2;बहु}	कर्म,14.1	कर्म,14.1	N2	जीवन_को_(की_आशा_को)	lives	-	-
14.1	त्यक्त्वा	26		त्यज्1{कृत्_प्रत्ययः:क्त्वा;त्यजँ;भ्वादिः}	त्यज्1{कृत्_प्रत्ययः:क्त्वा;त्यजँ;भ्वादिः}	पूर्वकालः,11.1	पूर्वकालः,11.1	NA	त्यागकर	staking	-	-
15.1	धनानि	23	धनानि	धन{नपुं;1;बहु}/धन{नपुं;2;बहु}	धन{नपुं;2;बहु}	समुच्चितः,13.1	समुच्चितः,13.1	N2	धन	wealth	-	-
16.1	च	24	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,13.1	समुच्चय_द्योतकः,13.1	NA	और	and	-	-
17.1	आचार्याः	11	आचार्याः	आचार्य{पुं;1;बहु}	आचार्य{पुं;1;बहु}	कर्ता,11.1	कर्ता,11.1	N1	गुरुजन	teachers	-	-
18.1	पितरः	12	पितरः	पितृ{पुं;1;बहु}/पितृ{पुं;2;बहु}	पितृ{पुं;1;बहु}	समुच्चितः,17.1	समुच्चितः,17.1	N1	ताऊ-चाचे	uncles	-	-
19.1	पुत्राः	13	पुत्रास्तथैव	पुत्र{पुं;1;बहु}	पुत्र{पुं;1;बहु}	समुच्चितः,17.1	समुच्चितः,17.1	N1	लड़के	sons	-	-
20.1	तथा	15		तथा{अव्य}	तथा{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	उसी_प्रकार	even_so	-	-
21.1	एव			एव{अव्य}	एव{अव्य}	सम्बन्धः,20.1	सम्बन्धः,20.1	NA				
22.1	च	14	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,17.1	समुच्चय_द्योतकः,17.1	NA	और	also	-	-
23.1	पितामहाः	16	पितामहाः	पितामह{पुं;1;बहु}	पितामह{पुं;1;बहु}	समुच्चितः,17.1	समुच्चितः,17.1	N1	दादे	grand-uncles_and_great_grand-uncles	-	-
24.1	मातुलाः	17	मातुलाः	मातुल{पुं;1;बहु}/मातुला{स्त्री;1;बहु}/मातुला{स्त्री;2;बहु}	मातुल{पुं;1;बहु}	समुच्चितः,17.1	समुच्चितः,17.1	N1	मामे	maternal_uncles	-	-
25.1	श्वशुराः	18	श्वशुराः	श्वशुर{पुं;1;बहु}	श्वशुर{पुं;1;बहु}	समुच्चितः,17.1	समुच्चितः,17.1	N1	ससुर	fathers-in-law	-	-
26.1	पौत्राः	19	पौत्राः	पौत्र{पुं;1;बहु}	पौत्र{पुं;1;बहु}	समुच्चितः,17.1	समुच्चितः,17.1	N1	पौत्र	Grand-nephews	-	-
27.1	श्यालाः	20	श्यालाः	श्यालाः	श्याल{पुं;1;बहु}	समुच्चितः,17.1	समुच्चितः,17.1	N1	साले	brothers-in-law	-	-
28.1	सम्बन्धिनः	22	सम्बन्धिनस्तथा	सम्बन्धिन्{पुं;1;बहु}/सम्बन्धिन्{पुं;2;बहु}/सम्बन्धिन्{पुं;5;एक}/सम्बन्धिन्{पुं;6;एक}	सम्बन्धिन्{पुं;1;बहु}	समुच्चितः,17.1	समुच्चितः,17.1	N1	सम्बन्धी_लोग	other_relations	-	-
29.1	तथा	21		तथा{अव्य}	तथा{अव्य}	सम्बन्धः,28.1	सम्बन्धः,28.1	NA	तथा	and	-	-
