index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relatiions	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	तस्मात्	1	तस्मान्नार्हा	तस्मात्{अव्य}/तद्{पुं;5;एक}/तद्{नपुं;5;एक}	तद्{नपुं;5;एक}	हेतुः,5.1	हेतुः,5.1	N5	अतएव	therefore	-	-
2.1	न	6		न{अव्य}	न{अव्य}	प्रतिषेधः,5.1	प्रतिषेधः,5.1	NA	नहीं	never	-	-
3.1	अर्हाः	8	अर्हाः	अर्ह{पुं;1;बहु}/अर्हा{स्त्री;1;बहु}/अर्हा{स्त्री;2;बहु}	अर्ह्1{कृत्_प्रत्ययः:अच्;अर्हँ;भ्वादिः;पुं}{1;बहु}	विधेय_विशेषणम्,4.1	विधेय_विशेषणम्,4.1	N1	योग्य_हैं	deserving_to_kill	-	-
3.1.1	(स्मः)	8.1		अस्2{कर्तरि;लट्;उ;बहु;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;लट्;उ;बहु;परस्मैपदी;असँ;अदादिः}	अभिहित_कर्ता,3.1	अभिहित_कर्ता,3.1	KP	-	-	-	-
4.1	वयम्	3	वयं	अस्मद्{1;बहु}	अस्मद्{1;बहु}	कर्ता,3.1.1	कर्ता,3.1.1	N1	हम	we	-	-
5.1	हन्तुम्	7	हन्तुं	-	हन्1{कृत्_प्रत्ययः:तुमुन्;हनँ;अदादिः}	तुमुन्कर्म,3.1	तुमुन्कर्म,3.1	NA	मारने_के_लिये	deserving_to_kill	-	-
6.1	धार्तराष्ट्रान्	5	धार्तराष्ट्रान्स्वबान्धवान्	धार्तराष्ट्र{पुं;2;बहु}	धार्तराष्ट्र{पुं;2;बहु}	कर्म,5.1	कर्म,5.1	N2	धृतराष्ट्र_के_पुत्रों_को	the_sons_of_Dhrtarastra	-	-
7.1	स्व-	4		स्व	स्व	षष्ठी-तत्पुरुषः,7.2	षष्ठी-तत्पुरुषः,7.2	CP	अपने_ही_बान्धव	our_relations	<स्व-बान्धवान्>T6	-
7.2	बान्धवान्			बान्धव{पुं;2;बहु}	बान्धव{पुं;2;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N2				-
8.1	स्व-	10	स्वजनं	स्व	स्व	षष्ठी-तत्पुरुषः,8.2	षष्ठी-तत्पुरुषः,8.2	CP	अपने_ही_कुटुम्ब_को	our_own_kinsmen	<स्व-जनं>T6	-
8.2	जनम्			जन{पुं}{2;एक}	जन{पुं;2;एक}	कर्म,11.1	कर्म,11.1	N2				-
9.1	हि	9	हि	हि{अव्य}	हि{अव्य}	सम्बन्धः,8.2	सम्बन्धः,8.2	NA	क्योंकि	certainly	-	-
10.1	कथम्	12	कथं	कथम्{अव्य}	कथम्{अव्य}	क्रियाविशेषणम्,13.1	क्रियाविशेषणम्,13.1	NA	कैसे	how	-	-
11.1	हत्वा	11	हत्वा	हन्1{कृत्_प्रत्ययः:क्त्वा;हनँ;अदादिः}	हन्1{कृत्_प्रत्ययः:क्त्वा;हनँ;अदादिः}	पूर्वकालः,13.1	पूर्वकालः,13.1	NA	मारकर	by_killing	-	-
12.1	सुखिनः	13	सुखिनः	सुखी{नपुं;5;एक}/सुखी{नपुं;6;एक}/सुखिन्{पुं;1;बहु}/सुखिन्{पुं}{2;बहु}/सुखिन्{पुं;5;एक}/सुखिन्{पुं;6;एक}/सुखिन्{नपुं;5;एक}/सुखिन्{नपुं6;ए;क}	सुखिन्{पुं;1;बहु}	विधेय_विशेषणम्,14.1.1	विधेय_विशेषणम्,14.1.1	N1	सुखी	happy	-	-
13.1	स्याम	14	स्याम	सो1{कर्तरि;लोट्;उ;बहु;परस्मैपदी;षो;दिवादिः}/अस्2{कर्तरि;विधिलिङ्;उ;बहु;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;विधिलिङ्;उ;बहु;परस्मैपदी;असँ;अदादिः}	अभिहित_कर्ता,14.1.1	अभिहित_कर्ता,14.1.1	KP	होंगे	become	-	-
14.1	माधव	2	माधव	माधव{पुं;8;एक}	माधव{पुं;8;एक}	सम्बोध्यः,5.1	सम्बोध्यः,5.1	N8	हे_माधव	O_Krsna_husband_of_the_goddess_of_fortune	-	-
14.1.1	(वयम्)	9.1	(वयं)	अस्मद्{1;बहु}	अस्मद्{1;बहु}	कर्ता,13.1	कर्ता,13.1	N1	हम	we	-	-
