index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	याम्		यामिमां	यद्{सर्वनाम;स्त्री;2;एक}	यद्{सर्वनाम;स्त्री;2;एक}	सम्बन्धः,2.1	सम्बन्धः,2.1#विशेषणम्,4.1#कर्म,5.1	N2	जो	जो
2.1	इमाम्			इदम्{सर्वनाम;स्त्री;2;एक}	इदम्{सर्वनाम;स्त्री;2;एक}	विशेषणम्,4.1	विशेषणम्,4.1#कर्म,5.1	N2	इस	इस
3.1	पुष्पितां		पुष्पितां	पुष्पिन्{तल्;स्त्री;2;एक}	पुष्पिन्{तल्;स्त्री;2;एक}	विशेषणम्,4.1	विशेषणम्,4.1#विशेषणम्,2.1#कर्म,5.1	N2	पुष्पिन्	पुष्पिन्
4.1	वाचं		वाचं	वाच्{स्त्री;2;एक}/वाच{पुं;2;एक(ब्रू1;घञ्;अदादिः)}	वाच्{स्त्री;2;एक}	कर्म,5.1	विशेषणम्,2.1#कर्म,5.1	N2	वाणी	वाणी
5.1	प्रवदन्ति		प्रवदन्त्यविपश्चितः 	प्र_वद्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः}/प्रवदत्{नपुं;1;बहु(प्र_वद्1;शतृ_लट्;भ्वादिः)}/प्रवदत्{नपुं;2;बहु(प्र_वद्1;शतृ_लट्;भ्वादिः)}	प्र_वद्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,6.2;सकर्मक	अभिहित_कर्ता,6.2;सकर्मक	KP	बोलते_हैं	बोलते_हैं
6.1	अ-			अ	अ	नञ्‌-तत्पुरुषः,6.2	नञ्‌-तत्पुरुषः,6.2	CP	अ-	अ-
6.2	विपश्चितः		-	विपश्चित्{पुं;1;बहु}/विपश्चित्{पुं;2;बहु}/विपश्चित्{पुं;5;एक}/विपश्चित्{पुं;6;एक}/विपश्चित्{नपुं;5;एक}/विपश्चित्{नपुं;6;एक}/विपश्चित्{पुं;8;बहु}	विपश्चित्{पुं;1;बहु}	कर्ता,5.1	षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.1#हेतुः5,5.1#हेतुः5,4.1#कर्म,5.1#कर्ता,5.1	N1	विद्वान्	विद्वान्
7.1	वेद-		वेदवादरताः	वेद	वेद	षष्ठी-तत्पुरुषः,7.2	षष्ठी-तत्पुरुषः,7.2	CP	वेद-	वेद-
7.2	वाद-			वाद	वाद	सप्तमी-तत्पुरुषः,7.3	सप्तमी-तत्पुरुषः,7.3	CP	वाद-	वाद-
7.3	रताः			रत{पुं;1;बहु(रम्1;क्त;भ्वादिः)}/रता{स्त्री;1;बहु(रम्1;क्त;भ्वादिः)}/रता{स्त्री;2;बहु(रम्1;क्त;भ्वादिः)}/रत{पुं;8;बहु}/रता{स्त्री;8;बहु}	रत{पुं;1;बहु(रम्1;क्त;भ्वादिः)}	विशेषणम्,6.2	विशेषणम्,6.2	N1	प्रसन्न	प्रसन्न
8.1	पार्थ		पार्थ	पार्थ{पुं;8;एक}	पार्थ{पुं;8;एक}	सम्बोध्यः,5.1	सम्बोध्यः,5.1	N8	पार्थ	पार्थ
9.1	न		नान्यदस्तीति 	न{अव्य}	न{अव्य}	प्रतिषेधः,11.1	प्रतिषेधः,5.1	NA	नहीं	नहीं
10.1	अन्यद्			अन्य{सर्वनाम;नपुं;1;एक}/अन्य{सर्वनाम;नपुं;2;एक}	अन्य{सर्वनाम;नपुं;1;एक}	कर्ता,11.1	कर्ता_बे_वेर्ब्स्,5.1#कर्ता,11.1	N1	अन्य	अन्य
11.1	अस्ति			अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,10.1;वाक्यकर्म,13.1	अभिहित_कर्ता,10.1;वाक्यकर्म,14.1	KP	है	है
12.1	इति			इति{अव्य}	इति{अव्य}	वाक्यकर्म_द्योतकः,13.1	वाक्यकर्म_द्योतक,14.1#वाक्यकर्म_द्योतकः,13.1	NA	ऐसा	ऐसा
13.1	वादिनः		वादिनः	वादि{नपुं;6;एक}/वादि{नपुं;5;एक}/वादिन्{पुं;1;बहु}/वादिन्{पुं;2;बहु}/वादिन्{पुं;5;एक}/वादिन्{पुं;6;एक}/वादिन्{पुं;8;बहु}	वादि{नपुं;5;एक}	विशेषणम्,6.2	षष्ठीसम्बन्धः,2.1#षष्ठीसम्बन्धः,1.3#हेतुः5,5.1#हेतुः5,1.3#विशेषणम्,6.1	N5	बुद्धिमान्_से	बुद्धिमान्_से
14.1	काम-		कामात्मनः	काम	काम	कर्मधारयः,14.2	कर्मधारयः,14.2	CP		
14.2	आत्मनः			आत्मन्{पुं;2;बहु}/आत्मन्{पुं;5;एक}/आत्मन्{पुं;6;एक}  	आत्मन्{पुं;1;बहु}	विशेषणम्,6.2	विशेषणम्,6.2	N1		
15.1	स्वर्ग-		स्वर्गपरा	स्वर्ग	स्वर्ग	बहुव्रीहिः,15.2	बहुव्रीहिः,15.2	CP		
15.2	पराः			पर{पुं;8;बहु}/पर{पुं;1;बहु}/पर{स्त्री;8;बहु}/परा{सर्व;स्त्री;1;बहु}/परा{सर्व;स्त्री;2;बहु}   	पर{पुं;1;बहु}	विशेषणम्,6.2	विशेषणम्,6.2	N1		
16.1	जन्म-		जन्मकर्मफलप्रदाम्	जन्म	जन्म	इतरेतर-द्वन्द्वः,16.2	इतरेतर-द्वन्द्वः,16.2	CP		
16.2	कर्म-			कर्म	कर्म	षष्ठी-तत्पुरुषः,16.3	षष्ठी-तत्पुरुषः,16.3	CP		
16.3	फल-			फल	फल	बहुव्रीहिः,16.4	बहुव्रीहिः,16.4	CP		
16.4	प्रदाम्			प्रदा{स्त्री;2;एक}	प्रदा{स्त्री;2;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N2		
17.1	क्रिया-		क्रियाविशेषबहुलां	क्रिया	क्रिया	षष्ठी-तत्पुरुषः,17.2	षष्ठी-तत्पुरुषः,17.2	CP		
17.2	विशेष-			विशेष	विशेष	बहुव्रीहिः,17.3	बहुव्रीहिः,17.3	CP		
17.3	बहुलाम्			बहुला{स्त्री;2;एक}	बहुला{स्त्री;2;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N2		
18.1	भोग-		भोगैश्वर्यगतिं	भोग	भोग	इतरेतर-द्वन्द्वः,18.2	इतरेतर-द्वन्द्वः,18.2	CP		
18.2	ऐश्वर्य-			ऐश्वर्य	ऐश्वर्य	षष्ठी-तत्पुरुषः,18.3	षष्ठी-तत्पुरुषः,18.3	CP		
18.3	गतिम्			गति{स्त्री;2;एक}	गति{स्त्री;2;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N2		
19.1	प्रति		प्रति	प्रति{अव्य}	प्रति{अव्य}	सम्बन्धः,18.3	सम्बन्धः,18.3	NA		
20.1	भोग-		भोगैश्वर्यप्रसक्तानां	भोग	भोग	इतरेतर-द्वन्द्वः,20.2	इतरेतर-द्वन्द्वः,20.2	CP		
20.2	ऐश्वर्य-			ऐश्वर्य	ऐश्वर्य	सप्तमी-तत्पुरुषः,20.3	सप्तमी-तत्पुरुषः,20.3	CP		
20.3	प्रसक्तानाम्			प्रसक्त{पुं;6;बहु}/प्रसक्त{नपुं;6;बहु}/प्रसक्ता{स्त्री;6;बहु}	प्रसक्त{पुं;6;बहु}	विशेषणम्,22.2	विशेषणम्,22.2	N6		
21.1	तया		तया	तद्{सर्व;स्त्री;3;एक}	तद्{सर्व;स्त्री;3;एक}	करणम्,27.1	करणम्,27.1	N3		
22.1	अपहृत-		अपहृतचेतसां	अपहृत	अपहृत	बहुव्रीहिः,22.2	बहुव्रीहिः,22.2	CP		
22.2	चेतसाम्			चेतस्{नपुं;6;बहु}	चेतस्{नपुं;6;बहु}	षष्ठीसम्बन्धः,24.1	षष्ठीसम्बन्धः,24.1	N6		
23.1	व्यवसाय-		व्यवसायात्मिका	व्यवसाय(वि_अव_षो1;घञ्;दिवादिः)	व्यवसाय(वि_अव_षो1;घञ्;दिवादिः)	कर्मधारयः,23.2	कर्मधारयः,23.2	CP		
23.2	आत्मिका		--	आत्मिका{स्त्री;1;एक}	आत्मिका{स्त्री;1;एक}	विशेषणम्,24.1	विशेषणम्,21.1#कर्ता,24.1#कर्म,24.1#विशेषणम्,24.1	N1	आत्मिका	आत्मिका
24.1	बुद्धिः		बुद्धिः	बुद्धि{स्त्री;1;एक}	बुद्धि{स्त्री;1;एक}	कर्ता,27.1	कर्ता,24.1#कर्म,24.1#कर्ता,27.1	N1	बुद्धि	बुद्धि
25.1	समाधौ		समाधौ	समाधि{पुं;7;एक}	समाधि{पुं;7;एक}	अधिकरणम्,27.1	अधिकरणम्,24.1#अधिकरणम्,27.1	N7	समाधि_में	समाधि_में
26.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,27.1	प्रतिषेधः,24.1#प्रतिषेधः,27.1	NA	नहीं	नहीं
27.1	विधीयते		विधीयते	वि_धी1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;दिवादिः}/वि_धी1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;दिवादिः}/वि_धे1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः}	वि_धी1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;दिवादिः}	अभिहित_कर्ता,24.1;सकर्मकः	अभिहित_कर्ता,24.1;सकर्मकः	KP	होती_है	होती_है
28.1	.		.	-	-	-	-	FS	-	-
