index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	स्पर्शान्	2	स्पर्शान्कृत्वा	स्पर्श{पुं;2;बहु}	स्पर्श{पुं;2;बहु}	कर्म,2.1	सुप्_समुच्चितः,6.1;कर्म,13.1;कर्म,2.1	N2	छूनों_को	छूनों_को
2.1	कृत्वा			कृ2{अव्य;क्त्वा;स्वादिः}/कृ3{अव्य;क्त्वा;तनादिः}	कृ2{अव्य;क्त्वा;स्वादिः}	पूर्वकालः,19.1.1	पूर्वकालः,19.1.1	NA	मार_डाल_कर	मार_डाल_कर
3.1	बहिः	3	बहिर्बाह्यांश्चक्षुश्चैवान्तरे	बहिः{अव्य}	बहिः{अव्य}	अधिकरणम्,2.1	अधिकरणम्,2.1;देशाधिकरणम्_उप,22.1;देशाधिकरणम्_उप,19.1;देशाधिकरणम्_उप,13.1;देशाधिकरणम्_उप,11.2;देशाधिकरणम्,22.1;देशाधिकरणम्,13.1	NA	बाहर	बाहर
4.1	बाह्यान्		-	बाह्य{पुं;2;बहु}	बाह्य{पुं;2;बहु}	विशेषणम्,1.1	विशेषणम्,1.1	N2		
5.1	च		-	च{अव्य}	च{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	और	और
6.1	चक्षुः		-	चक्षुस्{नपुं;1;एक}/चक्षुस्{नपुं;2;एक}/चक्षुस्{नपुं;8;एक}	चक्षुस्{नपुं;2;एक}	कर्म,9.1.1	कर्म,9.1.1;कर्म,13.1;कर्म,2.1	N2	आँख	आँख
7.1	च		-	च{अव्य}	च{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1;समुच्चय_द्योतकः,3.1;सम्बन्धः,6.1	NA	और	और
8.1	एव		-	एव{अव्य}	एव{अव्य}	सम्बन्धः,7.1	सम्बन्धः,7.1	NA	ही	ही
9.1	अन्तरे		-	अन्तरे{अव्य}	अन्तरे{अव्य}	अधिकरणम्,9.1.1	अधिकरणम्,9.1.1	NA	अन्तरे	अन्तरे
9.1.1	(कृत्वा)			कृ2{अव्य;क्त्वा;स्वादिः}/कृ3{अव्य;क्त्वा;तनादिः}	कृ2{अव्य;क्त्वा;स्वादिः}	पूर्वकालः,19.1.1	पूर्वकालः,19.1.1	NA	मार_डाल_कर	मार_डाल_कर
10.1	भ्रुवोः	4	भ्रुवोः	भ्रू{स्त्री;6;द्वि}/भ्रू{स्त्री;7;द्वि}	भ्रू{स्त्री;6;द्वि}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1;विषयाधिकरणम्,12.1;अधिकरणम्,22.1;अधिकरणम्,19.1;अधिकरणम्,13.1;अधिकरणम्,11.2;तुलना_बिन्दुः,12.1;कर्ता,11.2;कर्म,11.2;षष्ठीसम्बन्धः,19.4;षष्ठीसम्बन्धः,18.2;षष्ठीसम्बन्धः,17.1;षष्ठीसम्बन्धः,16.3;षष्ठीसम्बन्धः,14.3;षष्ठीसम्बन्धः,11.2;षष्ठीसम्बन्धः,6.1	N6	भौंहों_का	भौंहों_का
11.1	प्राण-	6	प्राणापानौ	प्राण	प्राण	द्वन्द्वः,11.2	द्वन्द्वः,11.2	CP	प्राण-	प्राण-
11.2	अपानौ		--	अपान{पुं;8;द्वि}/अपान{पुं;1;द्वि(अप_अन्1;घञ्;अदादिः)}/अपान{पुं;2;द्वि(अप_अन्1;घञ्;अदादिः)}/अपान{पुं;2;द्वि}	अपान{पुं;2;द्वि}	कर्म,13.1	कर्म,13.1;कर्म,2.1	N2	अपानें	अपानें
12.1	समौ	7	समौ	सम{सर्वनाम;पुं;1;द्वि}/सम{सर्वनाम;पुं;2;द्वि}	सम{सर्वनाम;पुं;2;द्वि}	विधेय_विशेषणम्,11.2	विधेय_विशेषणम्,11.2;विशेषणम्,14.3;विशेषणम्,11.2;कर्म,19.1;कर्म,13.1;कर्म,2.1	N2	सम	सम
13.1	कृत्वा	8	कृत्वा	कृ2{अव्य;क्त्वा;स्वादिः}/कृ3{अव्य;क्त्वा;तनादिः}	कृ2{अव्य;क्त्वा;स्वादिः}	पूर्वकालः,19.1.1	पूर्वकालः,19.1.1	NA	मार_डाल_कर	मार_डाल_कर
14.1	नासा-	5	नासाभ्यन्तरचारिणौ	नासा	नासा	षष्ठी-तत्पुरुषः,14.2	षष्ठी-तत्पुरुषः,14.2	CP	नासा-	नासा-
14.2	अभ्यन्तर-		--	अभ्यन्तर	अभ्यन्तर	उपपदसमासः,14.3	उपपदसमासः,14.3	CP	अभ्यन्तर-	अभ्यन्तर-
14.3	चारिणौ		--	चारिन्{पुं;1;द्वि}/चारिन्{पुं;2;द्वि}	चारिन्{पुं;2;द्वि}	विशेषणम्,11.2	विशेषणम्,11.2;विशेषणम्,11.2;कर्म,19.1;कर्म,13.1;कर्म,2.1	N2	चारियाँ	चारियाँ
15.1	यत्-	9	यतेन्द्रियमनोबुद्धिर्मुनिर्मोक्षपरायणः	यत्	यत्	बहुव्रीहिः,15.4	बहुव्रीहिः,15.4;विशेषणम्,6.1;कर्म,22.1;कर्म,19.1;कर्म,13.1;सम्बन्धः,22.1	CP	कि	कि
15.2	इन्द्रिय-		-	इन्द्रिय	इन्द्रिय	द्वन्द्वः,15.4	द्वन्द्वः,15.4	CP	इन्द्रिय-	इन्द्रिय-
15.3	मनो-		--	मनस्	मनस्	द्वन्द्वः,15.4	द्वन्द्वः,15.4	CP	मनो-	मनो-
15.4	बुद्धिः		--	बुद्धि{स्त्री;1;एक}/बुद्धि{पुं;1;एक}	बुद्धि{स्त्री;1;एक}	विशेषणम्,19.1	विशेषणम्,19.1;विशेषणम्,22.1;विशेषणम्,20.1;विशेषणम्,19.4;विशेषणम्,18.2;विशेषणम्,17.1;कर्म,22.1	N1	बुद्धि	बुद्धि
16.1	मुनिः		-	मुनि{पुं;1;एक}	मुनि{पुं;1;एक}	विशेषणम्,19.1	विशेषणम्,19.1;कर्म,22.1	N1	मुनि	मुनि
17.1	मोक्ष-		-	मोक्ष	मोक्ष	बहुव्रीहिः,17.2	बहुव्रीहिः,17.2	CP	मोक्ष-	मोक्ष-
17.2	परायणः		--	परायण{पुं;1;एक}	परायण{पुं;1;एक}	विशेषणम्,19.1	विशेषणम्,19.1;विशेषणम्,24.1;विशेषणम्,22.1;विशेषणम्,20.1;विशेषणम्,19.4;विशेषणम्,17.1;विशेषणम्,16.3;कर्म,22.1	N1	परायण	परायण
18.1	विगत-	10	विगतेच्छाभयक्रोधो	विगत	विगत	द्वन्द्वः,18.2	द्वन्द्वः,18.2	CP		
