index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	समम्	2	समं	समम्{अव्य}/सम{पुं;2;एक}/सम{नपुं;1;एक}/सम{नपुं;2;एक}/सम{पुं;2;एक}	सम{नपुं;2;एक}	क्रियाविशेषणम्,3.1	क्रियाविशेषणम्,3.1	N2	समान	straight	-	-
2.1	काय-	1	कायशिरोग्रीवं	काय	काय	द्वन्द्वः,2.2	द्वन्द्वः,2.2	CP	काया_सिर_और_गले_को	body,_head_and_neck_	<काय-शिरः-ग्रीवम्>Ds	-
2.2	शिरः-	-	-	शिरस्	शिरस्	द्वन्द्वः,2.3	द्वन्द्वः,2.3	CP				-
2.3	ग्रीवम्	-	-	ग्रीव{पुं;2;एक}	ग्रीव{पुं;2;एक}	कर्म,3.1	कर्म,3.1	N2				-
3.1	धारयन्	5	धारयन्नचलं	धृ1_णिच्{कृत्_प्रत्ययः:शतृ;धृञ्_णिच्;भ्वादिः;पुं;1;एक}	धृ1_णिच्{कृत्_प्रत्ययः:शतृ;धृञ्_णिच्;भ्वादिः;पुं;1;एक}	वर्तमानसमानकालः,20.1	वर्तमानसमानकालः,20.1	N1	धारण_करके	holding	-	-
4.1	अ-	3	0	अ	अ	नञ्-तत्पुरुषः,4.2	नञ्-तत्पुरुषः,4.2	CP	अचल	unmoved	<न-चलम्>Tn	-
4.2	चलम्	-	-	चल{पुं;2;एक}/चल{नपुं;1;एक}/चल{नपुं;2;एक}	चल{नपुं;2;एक}	क्रियाविशेषणम्,3.1	क्रियाविशेषणम्,3.1	N2				-
5.1	स्थिरः	6	स्थिरः	स्थिर{पुं;1;एक}	स्थिर{पुं;1;एक}	विशेषणम्,19.1	विशेषणम्,19.1	N1	स्थिर_होकर	still	-	-
6.1	सम्प्रेक्ष्य	9	सम्प्रेक्ष्य	सम्_प्र_ईक्ष्1{कृत्_प्रत्ययः;ल्यप्;ईक्षँ;भ्वादिः}	सम्_प्र_ईक्ष्1{कृत्_प्रत्ययः;ल्यप्;ईक्षँ;भ्वादिः}	पूर्वकालः,20.1	पूर्वकालः,20.1	NA	दृष्टि_जमाकर	looking	-	-
7.1	नासिका-	8	नासिकाग्रं	नासिका	नासिका	षष्ठी-तत्पुरुषः,7.2	षष्ठी-तत्पुरुषः,7.2	CP	नासिका_के_अग्रभाग_पर	nose-tip	<नासिका-अग्रं>T6	-
