index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	यत्र	4	यत्रोपरमते	यत्र{अव्य}	यत्र{अव्य}	अधिकरणम्,2.1	अधिकरणम्,2.1	NA	जिस_अवस्था_में	in_that_state_of_affairs	-	-	नित्यसम्बन्धः,47.1
2.1	उपरमते		0	उपरमता{स्त्री;1;द्वि}/उपरमता{स्त्री;2;द्वि}/उप_रम्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;रमुँ;भ्वादिः}	उप_रम्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;रमुँ;भ्वादिः}	अभिहित_कर्ता,3.1	अभिहित_कर्ता,3.1	KP	उपराम_हो_जाता_है	when_one_feels_transcendental_happiness	-	-
3.1	चित्तम्	3	चित्तं	चित्त{पुं;2;एक}/चित्त{नपुं;1;एक}/चित्त{नपुं;2;एक}	चित्त{नपुं;1;एक}	कर्ता,2.1	कर्ता,2.1	N1	चित्त	mental_activities	-	-
4.1	निरुद्धम्	2	निरुद्धं	निरुद्ध{नपुं;1;एक}/निरुद्ध{नपुं;2;एक}/नि_रुध्1{कृत्_प्रत्ययः:क्त;रुधिँर्;रुधादिः;पुं;1;एक}	नि_रुध्1{कृत्_प्रत्ययः:क्त;रुधिँर्;रुधादिः;पुं;1;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N1	निरुद्ध	restrained_from_matter	-	-
5.1	योग-	1	योगसेवया	योग	योग	षष्ठी-तत्पुरुषः,5.2	षष्ठी-तत्पुरुषः,5.2	CP	योग_के_अभ्यास_से	by_performance_of_yoga	<योग-सेवया>T6	-
5.2	सेवया	-	-	सेवा{स्त्री;3;एक}	सेवा{स्त्री;3;एक}	करणम्,2.1	करणम्,2.1	N3				-
6.1	यत्र	8	यत्र	यत्र{अव्य}	यत्र{अव्य}	अधिकरणम्,11.1	अधिकरणम्,11.1	NA	जिस_अवस्था_में	in_that	-	-	नित्यसम्बन्धः,47.1
7.1	च	5	चैवात्मनात्मानं	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,13.1	समुच्चय_द्योतकः,13.1	NA	और	also	-	-
8.1	एव		0	एव{अव्य}	एव{अव्य}	सम्बन्धः,12.1	सम्बन्धः,12.1	NA	ही	certainly	-	-
9.1	आत्मना		0	आत्मन्{पुं;3;एक}	आत्मन्{पुं;3;एक}	करणम्,11.1	करणम्,11.1	N3	सूक्ष्म_बुद्धि_द्वारा	by_the_pure_mind	-	-
10.1	आत्मानम्		0	आत्मन्{पुं;2;एक}	आत्मन्{पुं;2;एक}	कर्म,11.1	कर्म,11.1	N2	परमात्मा_को	the_self	-	-
