index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	यम्	3	यं	यद्{पुं;2;एक}	यद्{पुं;2;एक}	वीप्सा,2.1	वीप्सा,2.1	N2	जिस	whatever	-	-
2.1	यम्	4	यं	यद्{पुं;2;एक}	यद्{पुं;2;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N2	जिस	whatever	-	-
3.1	वा	5	वापि	वा{अव्य}	वा{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA	अथवा	either	-	-
4.1	अपि	6	0	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	भी	also	-	-
5.1	स्मरन्	8	स्मरन्भावं	स्मरत्{पुं;1;एक}/स्मरत्{पुं;8;एक}/स्मृ1{कृत्_प्रत्ययः;शतृ;स्मृ;भ्वादिः;पुं;1;एक}	स्मृ1{कृत्_प्रत्ययः;शतृ;स्मृ;भ्वादिः;पुं;1;एक}	वर्तमानसमानकालः,7.1	वर्तमानसमानकालः,7.1;समानकालः,7.1	N1	स्मरण_करता_हुआ	remembering	-	-
6.1	भावम्	7	0	भाव{पुं;2;एक}	भाव{पुं;2;एक}	कर्म,5.1	कर्म,5.1	N2	भाव_को	nature	-	-
7.1	त्यजति	10	त्यजत्यन्ते	त्यजत्{पुं;7;एक}/त्यजत्{नपुं;7;एक}/त्यज्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;त्यजँ;भ्वादिः}	त्यज्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;त्यजँ;भ्वादिः}	अभिहित_कर्ता	अभिहित_कर्ता	KP	त्याग_करता_है	give_up	-	-
8.1	अन्ते	2	0	अन्त{पुं;7;एक}/अन्त{नपुं;1;द्वि}/अन्त{नपुं;2;द्वि}/अन्त{नपुं;7;एक}/अन्त{नपुं;8;द्वि}/अन्ति{स्त्री;8;एक}/अन्ता{स्त्री;1;द्वि}/अन्ता{स्त्री;2;द्वि}/अन्ता{स्त्री;8;एक}/अन्ता{स्त्री;8;द्वि}	अन्त{पुं;7;एक}	अधिकरणम्,7.1	अधिकरणम्,7.1	N7	अन्तकाल_में	at_the_end	-	-
9.1	कलेवरम्	9	कलेवरम्	कलेवर{पुं;2;एक}/कलेवर{नपुं;1;एक}/कलेवर{नपुं;2;एक}	कलेवर{पुं;2;एक}	कर्म,7.1	कर्म,7.1	N2	शरीर_का	this_body	-	-
10.1	तम्	11	तं	तद्{पुं;2;एक}	तद्{पुं;2;एक}	वीप्सा,11.1	वीप्सा,11.1	N2	उसको	similar	-	-
11.1	तम्	12	तमेवैति	तद्{पुं;2;एक}	तद्{पुं;2;एक}	कर्म,13.1	कर्म,13.1	N2	उसको	-	-	-
12.1	एव	13	0	एव{अव्य}	एव{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	ही	certainly	-	-
13.1	एति	14	0	इ1{कर्तरि;लट्;प्र;एक;परस्मैपदी;इण्;अदादिः}	इ1{कर्तरि;लट्;प्र;एक;परस्मैपदी;इण्;अदादिः}	अभिहित_कर्ता,16.3	अभिहित_कर्ता,16.3	KP	प्राप्त_होता_है	gets	-	-
14.1	कौन्तेय	1	कौन्तेय	कौन्तेय{पुं;8;एक}	कौन्तेय{पुं;8;एक}	सम्बोध्यः,13.1	सम्बोध्यः,13.1	N8	हे_कुन्तीपुत्र_अर्जुन	O_son_of_Kunti	-	-
15.1	सदा	16	सदा	सदा{अव्य}	सदा{अव्य}	क्रियाविशेषणम्,13.1	क्रियाविशेषणम्,13.1	NA	सदा	always	-	-
16.1	तत्-	17	तद्भावभावितः	तद्	तद्	षष्ठी-तत्पुरुषः,16.2	षष्ठी-तत्पुरुषः,16.2	CP	उसी_भाव_से_भावित	remembering_that_state_of_being	<<तद्-भाव>T7-भावितः>T3	-
16.2	भाव-	-	-	भाव	भाव	तृतीया-तत्पुरुषः,16.3	तृतीया-तत्पुरुषः,16.3	CP				-
16.3	भावितः	-	-	भावित{पुं;1;एक}	भावित{पुं;1;एक}	कर्ता,13.1	कर्ता,13.1	N1
