index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
												
1.1	पश्य	12	पश्य	दृश्1{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्;भ्वादिः}	दृश्1{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्;भ्वादिः}	अभिहित_कर्ता,11.1.1	अभिहित_कर्ता,11.1.1	KP	देख	just_see	-	-
2.1	मे	3	मे	अस्मद्{सर्व;अ;6;एक}	अस्मद्{सर्व;अ;6;एक}	षष्ठीसम्बन्धः,4.1	षष्ठीसम्बन्धः,4.1	N6	मेरे	Mine	-	-
3.1	पार्थ	1	पार्थ	पार्थ{पुं;8;एक}	पार्थ{पुं;8;एक}	सम्बोध्यः,1.1	सम्बोध्यः,1.1	N8	हे_पार्थ	O_son_of_Prtha	-	-
4.1	रूपाणि	10	रूपाणि	रूप{नपुं;1;बहु}/रूप{नपुं;2;बहु}/रूप{नपुं;8;बहु}	रूप{नपुं;2;बहु}	कर्म,1.1	कर्म,1.1	N2	रूपों_को	forms	-	-
5.1	शतशः	4	शतशोऽथ	शतशः{अव्य}	शतशः{अव्य}	विशेषणम्,4.1	क्रियाविशेषणम्,1.1#विशेषणम्,4.1	NA	सैकड़ों	hundreds	-	-
6.1	अथ	2		अथ{अव्य}	अथ{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	अब	also	-	-
7.1	सहस्रशः	5	सहस्रशः	सहस्र{अव्य}	सहस्रशः{अव्य}	विशेषणम्,4.1	क्रियाविशेषणम्,1.1#विशेषणम्,4.1	NA	हजारों	thousands	-	-
8.1	नाना-	6	नानाविधानि	नाना	नाना	कर्मधारयः,8.2	कर्मधारयः,8.2	CP	नाना_प्रकार_के	variegated	<नाना-विधानि>Bs6	-
8.2	विधानि	-	-	विध{नपुं;1;बहु}/विध{नपुं;2;बहु}/विध{नपुं;8;बहु}	विध{नपुं;2;बहु}	समुच्चितः,10.3	समुच्चितः,10.3	N2				-
9.1	दिव्यानि	8	दिव्यानि	दिव्य{नपुं;1;बहु}/दिव्य{नपुं;2;बहु}/दिव्य{नपुं;8;बहु}	दिव्य{नपुं;2;बहु}	समुच्चितः,10.3	समुच्चितः,10.3	N2	अलौकिक	divine	-	-
10.1	नाना-	7	नानावर्णाकृतीनि	नाना	नाना	कर्मधारयः,10.2	कर्मधारयः,10.2	CP	नाना_वर्ण_तथा_नाना_आकृतिवाले	variegated_colors_and_forms	<नाना-<वर्ण-आकृतीनि>Di>Bs6	-
10.2	वर्ण-	-	-	वर्ण	वर्ण	बहुव्रीहिः,10.3	बहुव्रीहिः,10.3	CP				-
10.3	आकृतीनि	-	-	आकृति{नपुं;1;बहु}/आकृति{नपुं;2;बहु}/आकृति{नपुं;8;बहु}	आकृति{नपुं;2;बहु}	विशेषणम्,4.1	विशेषणम्,4.1	N2				-
11.1	च	9	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,10.3	समुच्चय_द्योतकः,10.3	NA	और	also	-	-
11.1.1	(त्वम्)	11	(त्वमात्मानं)	युष्मद्{सर्व;अ;1;एक}	युष्मद्{सर्व;अ;1;एक}	कर्ता,1.1	कर्ता,1.1	N1	आप	you	-	-
