index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	posible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
												
1.1	पश्य	10	पश्यादित्यान्वसून्रुद्रानश्विनौ	दृश्1{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्;भ्वादिः}	दृश्1{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्;भ्वादिः}	अभिहित_कर्ता,7.1.1	अभिहित_कर्ता,7.1.1	KP	देख	see	-	-
2.1	आदित्यान्	2		आदित्य{पुं;2;बहु}	आदित्य{पुं;2;बहु}	समुच्चितः,6.1	समुच्चितः,6.1	N2	आदित्यों_को_अर्थात्_अदिति_के_द्वादश_पुत्रों_को	the_twelve_sons_of_Aditi	-	-
3.1	वसून्	3		वसु{पुं;2;बहु}	वसु{पुं;2;बहु}	समुच्चितः,6.1	समुच्चितः,6.1	N2	आठ_वसुओं_को	the_eight_Vasus	-	-
4.1	रुद्रान्	4		रुद्र{पुं;2;बहु}	रुद्र{पुं}{2;बहु}	समुच्चितः,6.1	समुच्चितः,6.1	N2	एकादश_रुद्रों_को	the_eleven_forms_of_Rudra	-	-
5.1	अश्विनौ	5		अश्विन्{पुं;1;द्वि}/अश्विन्{पुं;2;द्वि}/अश्विन्{पुं;8;द्वि}	अश्विन्{पुं;2;द्वि}	समुच्चितः,6.1	समुच्चितः,6.1	N2	दोनों_अश्विनीकुमारों_को	the_two_Asvinis	-	-
6.1	मरुतः	8	मरुतस्तथा	मरुत्{पुं;1;बहु}/मरुत्{पुं;2;बहु}/मरुत्{पुं;5;एक}/मरुत्{पुं;6;एक}/मरुत्{पुं;8;बहु}/मरुत{पुं;1;एक}	मरुत्{पुं}{2;बहु}	कर्म,1.1	कर्म,1.1	N2	उनचास_मरुद्गणों_को	the_forty-nine_Maruts_(demigods_of_the_wind)	-	-
7.1	तथा	7		तथा{अव्य}	तथा{अव्य}	समुच्चय_द्योतकः,6.1	समुच्चय_द्योतकः,6.1	NA	तथा	also	-	-
7.1.1	(त्वम्)	9		युष्मद्{सर्व;अ;1;एक}	युष्मद्{सर्व;अ;1;एक}	कर्ता,1.1	कर्ता,1.1	N1	आप	you	-	-
8.1	बहूनि	11	बहून्यदृष्टपूर्वाणि	बहु{नपुं;1;बहु}/बहु{नपुं;2;बहु}/बहु{नपुं;8;बहु}	बहु{नपुं;2;बहु}	विशेषणम्,11.1	विशेषणम्,11.1	N2	बहुत-से	many	-	-
9.1	अ-	12		अ	अ	नञ्‌-तत्पुरुषः,9.2	नञ्‌-तत्पुरुषः,9.2	CP	पहले_न_देखे_हुए	that_you_have_not_head_or_seen_before	<<न-दृष्ट>Tn-पूर्वाणि>K1	-
9.2	दृष्ट-	-	-	दृष्ट	दृष्ट	कर्मधारयः,9.3	कर्मधारयः,9.3	CP				-
9.3	पूर्वाणि	-	-	पूर्व{नपुं;1;बहु}/पूर्व{नपुं;2;बहु}/पूर्व{नपुं;8;बहु}/पूर्व{नपुं;1;बहु}/पूर्व{नपुं;2;बहु}	पूर्व{नपुं;2;बहु}	विशेषणम्,11.1	विशेषणम्,11.1	N2				-
10.1	पश्य	15	पश्याश्चर्याणि	दृश्1{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्;भ्वादिः}	दृश्1{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्;भ्वादिः}	अभिहित_कर्ता,12.1.1;सकर्मकः.1	अभिहित_कर्ता,7.1.1;सकर्मकः.1#अभिहित_कर्ता,12.1.1;सकर्मकः.1	KP	देख	see	-	-
11.1	आश्चर्याणि	13		आश्चर्य{नपुं;1;बहु}/आश्चर्य{नपुं;2;बहु}/आश्चर्य{नपुं;8;बहु}	आश्चर्य{नपुं;2;बहु}	कर्म,10.1	कर्म,10.1	N2	आश्चर्यमय_रूपों_को	all_the_wonderful	-	-
12.1	भारत	1	भारत	भारत{नपुं}{8;एक}/भारत{पुं}{8;एक}	भारत{पुं;8;एक}	सम्बोध्यः,10.1	सम्बोध्यः,10.1	N8	हे_भरतवंशी_अर्जुन	O_best_of_the_Bharatas	-	-
12.1.1	(त्वम्)	14		युष्मद्{सर्व;अ;1;एक}	युष्मद्{सर्व;अ;1;एक}	कर्ता,10.1	कर्ता,10.1#कर्ता,1.1	N1	आप	you	-	-
