index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
												
1.1	एवम्	4	एवमुक्त्वा	एवम्{अव्य}	एवम्{अव्य}	क्रियाविशेषणम्,2.1	क्रियाविशेषणम्,2.1	NA	इस_प्रकार	thus	-	-
2.1	उक्त्वा	5		वच्1{कृत्_प्रत्ययः:क्त्वा;वचँ;अदादिः}	वच्1{कृत्_प्रत्ययः:क्त्वा;वचँ;अदादिः}	पूर्वकालः,7.1	पूर्वकालः,7.1	NA	कहकर	saying	-	-
3.1	ततः	6	ततो	ततः{अव्य}	ततः{अव्य}	सम्बन्धः,7.1	सम्बन्धः,7.1	NA	उसके_पश्चात्	thereafter	-	-
4.1	राजन्	1	राजन्महायोगेश्वरो	राजत्{पुं;1;एक}	राजन्{पुं;8;एक}	सम्बोध्यः ,7.1	सम्बोध्यः ,7.1	N8	हे_राजन्	O_King	-	-
5.1	महत्-	2		महत्	महद्	षष्ठी-तत्पुरुषः,5.2	षष्ठी-तत्पुरुषः,5.2	CP	महायोगेश्वर	the_most_powerful_mystic	<महत्-<योग-ईश्वरः>T6>K1	-
5.2	योग-	-	-	योग	योग	कर्मधारयः,5.3	कर्मधारयः,5.3	CP				-
5.3	ईश्वरः	-	-	ईश्वर{पुं;1;एक}	ईश्वर{पुं;1;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N1				-
6.1	हरिः	3	हरिः	हरि{पुं;1;एक}	हरि{पुं;1;एक}	प्रयोजककर्ता,7.1	प्रयोजककर्ता,7.1	N1	सब_पापों_के_नाश_करनेवाले_भगवान्_ने	the_Supreme_Personality_of_Godhead,_Krsna	-	-
7.1	दर्शयामास	21	दर्शयामास	दृश्1_णिच्{कर्तरि;लिट्;प्र;एक;परस्मैपदी;दृशिँर्;भ्वादिः}/दृश्1_णिच्{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;दृशिँर्;भ्वादिः}/दृश्1_णिच्{कर्तरि;लिट्;म;बहु;परस्मैपदी;दृशिँर्;भ्वादिः}/दृश्1_णिच्{कर्तरि;लिट्;म;बहु;आत्मनेपदी;दृशिँर्;भ्वादिः}/दृश्1_णिच्{कर्तरि;लिट्;उ;एक;परस्मैपदी;दृशिँर्;भ्वादिः}/दृश्1_णिच्{कर्तरि;लिट्;उ;एक;आत्मनेपदी;दृशिँर्;भ्वादिः}	दृश्1_णिच्{कर्तरि;लिट्;प्र;एक;परस्मैपदी;दृशिँर्_णिच्;भ्वादिः}	अभिहित_कर्ता,6.1	अभिहित_कर्ता,6.1	KP	दिखलाया	showed	-	-
8.1	पार्थाय	7	पार्थाय	पार्थ{पुं;4;एक}	पार्थ{पुं;4;एक}	प्रयोजनम्,7.1	प्रयोजनम्,7.1	N4	अर्जुन_को	unto_Arjuna	-	-
9.1	परमम्	18	परमं	परमम्{अव्य}/परम{पुं;2;एक}/परम{नपुं;1;एक}/परम{नपुं;2;एक}	परम{नपुं}{2;एक}	विशेषणम्,10.1	विशेषणम्,10.1	N2	परम	divine	-	-
10.1	रूपम्	19	रूपमैश्वरम्	रूप{नपुं;1;एक}/रूप{नपुं;2;एक}	रूप{नपुं;2;एक}	कर्म,7.1	कर्म,7.1	N2	दिव्यस्वरूप	universal_form	-	-
11.1	ऐश्वरम्	8		ऐश्वर{पुं;2;एक}/ऐश्वर{नपुं;1;एक}/ऐश्वर{नपुं;2;एक}	ऐश्वर{पुं;2;एक}	विशेषणम्,10.1	विशेषणम्,10.1	N2	ऐश्वर्ययुक्त	opulences	-	-
12.1	अन्-	9	अनेकवक्त्रनयनमनेकाद्भुतदर्शनम्	अन्	अन्	नञ्‌-तत्पुरुषः,12.2	नञ्‌-तत्पुरुषः,12.2	CP	अनेक_मुख_और_नेत्रों_से_युक्त	various_mouths_and_eyes	<<न-एक>Tn-<वक्त्र-नयनम्>Ds>Bs7	-
12.2	एक-	-	-	एक	एक	बहुव्रीहिः,12.3	बहुव्रीहिः,12.3	CP				-
12.3	वक्त्र-	-	-	वक्त्र	वक्त्र	इतरेतर-द्वन्द्वः,12.4	इतरेतर-द्वन्द्वः,12.4	CP				-
12.4	नयनम्	-	-	नयन{नपुं;1;एक}/नयन{नपुं;2;एक}	नयन{नपुं;2;एक}	विशेषणम्,10.1	विशेषणम्,10.1	N2				-
13.1	अन्-	10		अन्	अन्	नञ्‌-तत्पुरुषः,13.2	नञ्‌-तत्पुरुषः,13.2	CP	अनेक_अद्भुत_दर्शनोंवाले	various_wonderful_sights	<<<न-एक>Tn-अद्भुत>K1-दर्शनम्>Bs7	-
13.2	एक-	-	-	एक	एक	बहुव्रीहिः,13.3	बहुव्रीहिः,13.3	CP				-
13.3	अद्भुत-	-	-	अद्भुत	अद्भुत	कर्मधारयः,13.4	कर्मधारयः,13.4	CP				-
13.4	दर्शनम्	-	-	दर्शन{पुं;2;एक}/दर्शन{नपुं;1;एक}/दर्शन{नपुं;2;एक}	दर्शन{नपुं;2;एक}	विशेषणम्,10.1	विशेषणम्,10.1	N2				-
14.1	अन्-	11	अनेकदिव्याभरणं	अन्	अन्	नञ्‌-तत्पुरुषः,14.2	नञ्‌-तत्पुरुषः,14.2	CP	बहुत-से_दिव्य_भूषणों_से_युक्त	many_divine_ornaments	<<न-एक>Tn-<दिव्य-आभरणं>K1>Bs7	-
14.2	एक-	-	-	एक	एक	बहुव्रीहिः,14.3	बहुव्रीहिः,14.3	CP				-
14.3	दिव्य-	-	-	दिव्य	दिव्य	कर्मधारयः,14.4	कर्मधारयः,14.4	CP				-
14.4	आभरणम्	-	-	आभरण{नपुं;1;एक}/आभरण{नपुं;2;एक}/आभरण{नपुं;2;एक}	आभरण{नपुं;2;एक}	विशेषणम्,10.1	विशेषणम्,10.1	N2				-
