index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
												
1.1	मया	3	मया	अस्मद्{सर्व;अ;3;एक}	अस्मद्{सर्व;अ;3;एक}	कर्ता,8.1	कर्ता,8.1	N3	मैंने	by_Me	-	-
2.1	प्रसन्नेन	2	प्रसन्नेन	प्रसन्न{पुं;3;एक}/प्रसन्न{नपुं;3;एक}	प्रसन्न{पुं;3;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N3	अनुग्रहपूर्वक	happily	-	-
3.1	तव	13	तवार्जुनेदं	युष्मद्{सर्व;अ;6;एक}	युष्मद्{सर्व;अ;6;एक}	षष्ठीसम्बन्धः,15.1.1	षष्ठीसम्बन्धः,15.1.1	N6	तुम्हारे	unto_you	-	-
4.1	अर्जुन	1		अर्जुन{पुं;8;एक}	अर्जुन{पुं;8;एक}	सम्बोध्यः,8.1	सम्बोध्यः,8.1	N8	हे_अर्जुन	O_Arjuna	-	-
5.1	इदम्	5		इदम्{नपुं;1;एक}/इदम्{नपुं;2;एक}	इदम्{नपुं;2;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N2	यह	this	-	-
6.1	रूपम्	12	रूपं	रूप{नपुं;1;एक}/रूप{नपुं;2;एक}	रूप{नपुं;2;एक}	कर्म,8.1	कर्म,8.1	N2	रूप	form	-	-
7.1	परम्	7	परं	परम्{अव्य}/पर{पुं;2;एक}/पर{नपुं;1;एक}/पर{नपुं;2;एक}/पर{पुं;2;एक}/पर{नपुं;1;एक}/पर{नपुं;2;एक}	पर{नपुं;2;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N2	परम	transcendental	-	-
8.1	दर्शितम्	15	दर्शितमात्मयोगात्	दर्शित{पुं;2;एक}/दृश्1_णिच्{कृत्_प्रत्ययः:क्त;दृशिँर्_णिच्;भ्वादिः(दर्शित;नपुं;1;एक)}	दृश्1_णिच्{कृत्_प्रत्ययः:क्त;दृशिँर्_णिच्;भ्वादिः(दर्शित;नपुं;1;एक)}	अभिहित_कर्म,6.1;सकर्मकः.1	अभिहित_कर्म,6.1;सकर्मकः.1	N1	दिखलाया_है	shown	-	-
9.1	आत्म-	4		आत्मन्	आत्मन्	षष्ठी-तत्पुरुषः,9.2	षष्ठी-तत्पुरुषः,9.2	CP	अपनी_योग_शक्ति_के_प्रभाव_से	by_my_internal_potency	<आत्म-योगात्>T6	-
9.2	योगात्	-	-	योग{पुं;5;एक}	योग{पुं;5;एक}	हेतुः,8.1	हेतुः,8.1	N5				-
10.1	तेजोमयम्	8	तेजोमयं	तेजोमय{पुं;2;एक}/तेजोमय{नपुं;1;एक}/तेजोमय{नपुं;2;एक}	तेजोमय{नपुं;2;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N2	तेजोमय	full_of_effulgence	-	-
11.1	विश्वम्	11	विश्वमनन्तमाद्यं	विश्व{पुं;2;एक}/विश्व{नपुं;1;एक}/विश्व{नपुं;2;एक}/विश्व{पुं;2;एक}	विश्व{नपुं;2;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N2	विराट्	the_entire_universe	-	-
12.1	अन्-	10		अन्	अन्	बहुव्रीहिः,12.2	बहुव्रीहिः,12.2	CP	सीमारहित	unlimited	<न-अन्तम्>Bsmn	-
