index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	सर्व-	4	सर्वद्वारेषु	सर्व	सर्व	कर्मधारयः,1.2	कर्मधारयः,1.2	CP	अन्तःकरण_और_इन्द्रियों_में	all_the_gates	<सर्व-द्वारेषु>K1	-
1.2	द्वारेषु	-	-	द्वार{नपुं}{7;बहु}	द्वार{नपुं}{7;बहु}	अधिकरणम्,5.1	अधिकरणम्,5.1	N7				-
2.1	देहे	3	देहेऽस्मिन्प्रकाश	देह{पुं}{7;एक}/देह{नपुं}{1;द्वि}/देह{नपुं}{2;द्वि}/देह{नपुं}{7;एक}/दह्1{कर्मणि;लिट्;उ;एक;आत्मनेपदी;दहँ;भ्वादिः}/दह्1{कर्मणि;लिट्;प्र;एक;आत्मनेपदी;दहँ;भ्वादिः}	देह{नपुं}{7;एक}	अधिकरणम्,5.1	अधिकरणम्,5.1	N7	देह_में	in_this_body	-	-
3.1	अस्मिन्	2	0	इदम्{पुं}{7;एक}/इदम्{नपुं}{7;एक}	इदम्{पुं}{7;एक}	विशेषणम्,2.1	विशेषणम्,2.1	N7	इस	in_this	-	-
4.1	प्रकाशः	5	0	प्रकाश{पुं}{1;एक}	प्रकाश{पुं}{1;एक}	कर्ता,5.1	कर्ता,5.1	N1	चेतनता	quality_of_illumination	-	-
5.1	उपजायते	8	उपजायते	उप_जन्3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;जनीँ;दिवादिः}/उप_जन्3{कर्मणि;लट्;प्र;एक;आत्मनेपदी;जनीँ;दिवादिः}	उप_जन्3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;उप_जनीँ;दिवादिः}	अभिहितकर्ता,4.1;अकर्मकः.1	अभिहितकर्ता,4.1;अकर्मकः.1	KP	उत्पन्न_होता_है	develops	-	-
6.1	ज्ञानम्	7	ज्ञानं	ज्ञान{नपुं}{1;एक}/ज्ञान{नपुं}{2;एक}	ज्ञान{नपुं}{1;एक}	सुप्_समुच्चितम्,4.1	सुप्_समुच्चितम्,4.1	N1	ज्ञान	knowledge	-	-
6.1.1	(च)	6	(0)	(च{अव्य})	(च{अव्य})	समुच्चयद्योतकः,6.1	समुच्चयद्योतकः,6.1	NA	(और)	also	-	-
7.1	यदा	1	यदा	यदा{अव्य}	यदा{अव्य}	कालाधिकरणम्,5.1;नित्यसम्बन्धः,8.1	कालाधिकरणम्,5.1;नित्यसम्बन्धः,8.1	NA	जिस_समय	when	-	-
8.1	तदा	9	तदा	तदा{अव्य}	तदा{अव्य}	कालाधिकरणम्,9.1	कालाधिकरणम्,9.1	NA	उस_समय	at_that_time	-	-
9.1	विद्यात्	11	विद्याद्विवृद्धं	विद्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;विदँ;अदादिः}/विद्1{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;विदँ;अदादिः}/विद्3{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;विदॢँ;तुदादिः}	विद्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;विदँ;अदादिः}			KP	जानना_चाहिये	must_know	-	-
10.1	विवृद्धम्	14	0	विवृद्ध{पुं}{2;एक}/विवृद्ध{नपुं}{1;एक}/विवृद्ध{नपुं}{2;एक}	वि_वृध्1{कृत्_प्रत्ययः:क्त;वि_वृधुँ;भ्वादिः;नपुं}{1;एक}	वाक्यकर्म,9.1	वाक्यकर्म,9.1	N1	बढ़ा	increased	-	-
11.1	सत्त्वम्	13	सत्त्वमित्युत	सत्त्व{पुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}	सत्त्व{नपुं}{1;एक}	कर्ता,10.1	कर्ता,10.1	N1	सत्त्वगुण	the_mode_of_goodness	-	-
12.1	इति	10	0	इति{अव्य}	इति{अव्य}	वाक्यकर्मद्योतकः,10.1	वाक्यकर्मद्योतकः,10.1	NA	ऐसा	thus	-	-
13.1	उत	12	-	उत{अव्य}/उत{पुं}{8;एक}/उत{नपुं}{8;एक}	उत{अव्य}	सम्बन्धः,9.1	सम्बन्धः,9.1	NA	कि	said	-	-
