anvaya_no.1	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	ब्रह्मणः	3	ब्रह्मणो	ब्रह्मन्{पुं}{2;बहु}/ब्रह्मन्{पुं}{5;एक}/ब्रह्मन्{पुं}{6;एक}/ब्रह्मन्{नपुं}{5;एक}/ब्रह्मन्{नपुं}{6;एक}	ब्रह्मन्{नपुं}{6;एक}	षष्ठीसम्बन्धः,3.1	षष्ठीसम्बन्धः,3.1	N6	परब्रह्म_का	of_the_impersonal_brahmajyoti	-	-
2.1	हि	1	हि	हि{अव्य}	हि{अव्य}	सम्बन्धः,13.1.1	सम्बन्धः,13.1.1	 NA	क्योंकि	certainly	-	-
3.1	प्रतिष्ठा	12	प्रतिष्ठाहममृतस्याव्ययस्य	प्रतिष्ठा{स्त्री}{1;एक}	प्रतिष्ठा{स्त्री}{1;एक}	कर्तृसमानाधिकरणम्,13.1.1	कर्तृसमानाधिकरणम्,13.1.1	N1	आश्रय	the_rest	-	-
4.1	अहम्	13	0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,13.1.1	कर्ता,13.1.1	N1	मैं	I	-	-
5.1	अमृतस्य	5	0	अमृत{पुं}{6;एक}/अमृत{नपुं}{6;एक}	अमृत{नपुं}{6;एक}	सुप्समुच्चितम्,1.1	सुप्समुच्चितम्,1.1	N6	अमृत_का	of_the_immortal	-	-
6.1	अ-	2	0	अव्यय{पुं}{6;एक}	अव्यय{पुं}{6;एक}	बहुव्रीहिः ,6.2	बहुव्रीहिः ,6.2	CP	अविनाशी	of_the_imperishable	<न-व्ययस्य>Bsmn	-
6.2	व्ययस्य	-	-			विशेषणम्,5.1	विशेषणम्,5.1	N6				-
7.1	च	4	च	च{अव्य}	च{अव्य}	समुच्चयद्योतकः,5.1	समुच्चयद्योतकः,5.1	 NA	और	also	-	-
8.1	शाश्वतस्य	7	शाश्वतस्य	शाश्वत{पुं}{6;एक}/शाश्वत{नपुं}{6;एक}	शाश्वत{पुं}{6;एक}	विशेषणम्,10.1	विशेषणम्,10.1	N6	नित्य	of_the_eternal	-	-
9.1	च	9	च	च{अव्य}	च{अव्य}	समुच्चयद्योतकः,10.1	समुच्चयद्योतकः,10.1	 NA	और	also	-	-
10.1	धर्मस्य	8	धर्मस्य	धर्म{पुं}{6;एक}	धर्म{पुं}{6;एक}	सुप्समुच्चितम्,1.1	सुप्समुच्चितम्,1.1	N6	धर्म_का	of_the_constitutional_position	-	-
11.1	*सुखस्य	11	सुखस्यैकान्तिकस्य	सुख{पुं}{6;एक}/सुख{नपुं}{6;एक}	सुख{नपुं}{6;एक}	सुप्समुच्चितम्,1.1	सुप्समुच्चितम्,1.1	N6	आनन्द_का	happiness	-	-
12.1	एकान्तिकस्य	10	0	एकान्तिक{पुं}{6;एक}/एकान्तिक{नपुं}{6;एक}	एकान्तिक{नपुं}{6;एक}	विशेषणम्,11.1	विशेषणम्,11.1	N6	अखण्ड_एकरस	ultimate	-	-
13.1	च	6	च	च{अव्य}	च{अव्य}	समुच्चयद्योतकः,11.1	समुच्चयद्योतकः,11.1	 NA	तथा	and	-	-
13.1.1	(अस्मि)	14	(0)	(अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	अभिहितकर्ता,4.1	अभिहितकर्ता,4.1	KP	(हूँ)	am	-	-
