index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga											
1.1	ऊर्ध्व-	4	ऊर्ध्वमूलमधःशाखमश्वत्थं	ऊर्ध्व	ऊर्ध्व	बहुव्रीहिः,1.2	बहुव्रीहिः,1.2	CP	आदि_पुरुष_परमेश्वररूप_मूलवाले	with_roots_above	<ऊर्ध्व-मूलम्>Bs6	-											
1.2	मूलम्	-	-	मूल{पुं}{2;एक}/मूल{नपुं}{1;एक}/मूल{नपुं}{2;एक}	मूल{पुं}{2;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N2				-											
2.1	अधः-	5	0	अधःशाख{पुं}{2;एक}	अधःशाख{पुं}{2;एक}	बहुव्रीहिः,2.2	बहुव्रीहिः,2.2	CP	ब्रह्मारूप_मुख्य_शाखावाले	downward_branches	<अधः-शाखम्>Bs6	-											
2.2	शाखम्	-	-			विशेषणम्,3.1	विशेषणम्,3.1	N2				-											
3.1	अश्वत्थम्	3	0	अश्वत्थ{पुं}{2;एक}	अश्वत्थ{पुं}{2;एक}	कर्म,4.1	कर्म,4.1	N2	संसाररूप_पीपल_के_वृक्ष_को	banyan_tree	-	-											
4.1	प्राहुः	6	प्राहुरव्ययम्	प्र_ब्रू1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;प्र_ब्रूञ्;अदादिः}	प्र_ब्रू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;प्र_ब्रूञ्;अदादिः}	-	-	KP	कहते_है	said	-	-											
5.1	अ-	2	0	अव्यय{पुं}{2;एक}/व्ये1{कर्तरि;लङ्;उ;एक;परस्मैपदी;व्येञ्;भ्वादिः}/व्यय्1{कर्तरि;लङ्;उ;एक;परस्मैपदी;व्ययँ;भ्वादिः}	अव्यय{पुं}{2;एक}	बहुव्रीहिः ,5.2	बहुव्रीहिः ,5.2	CP	अविनाशी	eternal	<न-व्ययम्>Bsmn	-											
5.2	व्ययम्	-	-			कर्मसमानाधिकरणम्,4.1	कर्मसमानाधिकरणम्,4.1#विशेषणम्,3.1	N2				-											
5.1.1	(तम्)	1	(0)	(तद्{पुं}{2;एक})	(तद्{पुं}{2;एक})	विशेषणम्,3.1	विशेषणम्,3.1	N2	(उस)	that	-	-											
6.1	छन्दांसि	9	छन्दांसि	छन्दस्{नपुं}{1;बहु}/छन्दस्{नपुं}{2;बहु}	छन्दस्{नपुं}{1;बहु}	कर्तृसमानाधिकरणम्,8.2	कर्तृसमानाधिकरणम्,8.2	N1	वेद	Vedic_hymns	-	-											
7.1	यस्य	7	यस्य	यद्{पुं}{6;एक}/यद्{नपुं}{6;एक}/यस्1{कर्तरि;लोट्;म;एक;परस्मैपदी;यसुँ;दिवादिः}	यद्{पुं}{6;एक}	षष्ठीसम्बन्धः,8.1	षष्ठीसम्बन्धः,8.1	N6	जिसके	of_which	-	-											
8.1	पर्णानि	8	पर्णानि	पर्ण{नपुं}{1;बहु}/पर्ण{नपुं}{2;बहु}	पर्ण{नपुं}{1;बहु}	कर्ता,8.2	कर्ता,8.2	N1	पत्ते	the_leaves	-	-											
8.2	(भवन्ति)	10	(0)	(भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भू;भ्वादिः})	(भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भू;भ्वादिः})	अभिहित_कर्ता,8.1;अकर्मकः.1	अभिहित_कर्ता,8.1;अकर्मकः.1	KP	(है)	become	-	-											
9.1	यः	11	यस्तं	यद्{पुं}{1;एक}	यद्{पुं}{1;एक}	कर्ता,11.1;नित्यसम्बन्धः,12.1	कर्ता,11.1;नित्यसम्बन्धः,12.1	N1	जो_(पुरुष)	anyone	-	-											
10.1	तम्	12	0	तद्{पुं}{2;एक}	तद्{पुं}{2;एक}	कर्म,11.1	कर्म,11.1	N2	उसको_(संसाररूप_वृक्ष_को)	that	-	-											
11.1	वेद	13	वेद	विद्1{कर्तरि;लट्;उ;एक;परस्मैपदी;विदँ;अदादिः}/विद्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;विदँ;अदादिः}	विद्1{कर्तरि;लट्;उ;एक;परस्मैपदी;विदँ;अदादिः}	अभिहित_कर्ता,9.1;सकर्मकः.1	अभिहित_कर्ता,9.1;सकर्मकः.1	KP	तत्त्व_से_जानता_है	knows	-	-											
12.1	सः	14	स	तद्{पुं}{1;एक}	तद्{पुं}{1;एक}	कर्ता,13.1.1	कर्ता,13.1.1	N1	वह	he	-	-											
13.1	वेद-	15	वेदवित्	वेद	वेद	उपपद-तत्पुरुषः,13.2	उपपद-तत्पुरुषः,13.2	CP	वेद_के_तात्पर्य_को_जाननेवाला	the_knower_of_the_Vedas	<वेद-वित्>U	-											
13.2	वित्	-	-	विद्{नपुं}{1;एक}	विद्{पुं}{1;एक}	कर्तृसमानाधिकरणम्,13.1.1	कर्तृसमानाधिकरणम्,13.1.1	N1				-											
13.1.1	(भवति)	16	(0)	(भवत्{पुं}{7;एक}/भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः})	(भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः})	अभिहित_कर्ता,12.1;अकर्मकः.1	अभिहित_कर्ता,12.1;अकर्मकः.1	KP	(है)	becomes	-	-											
