index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga										
1.1	अधः	5	अधश्चोर्ध्वं	अधः{अव्य}	अधः{अव्य}	अधिकरणम्,4.1	सुप्_समुच्चितः,2.1#सुप्_समुच्चितः,4.1#अधिकरणम्,4.1	NA	नीचे	downward	-	-										
2.1	च	7	0	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,1.1	समुच्चय_द्योतकः,3.1#समुच्चय_द्योतकः,1.1	NA	और	and	-	-										
3.1	ऊर्ध्वम्	6	0	ऊर्ध्वम्{अव्य}	ऊर्ध्वम्{अव्य}	समुच्चितः,1.1	अधिकरणम्,4.1#अधिकरणम्,1.1#समुच्चितः,1.1	NA	ऊपर_सर्वत्र	upward	-	-										
4.1	प्रसृताः	8	प्रसृतास्तस्य	प्रसृत{पुं}{1;बहु}	प्र_सृ1{कृत्_प्रत्ययः:क्त;प्र_सृ;भ्वादिः;पुं}{1;बहु}	अभिहित_कर्ता,6.1;अकर्मकः.1	अभिहित_कर्ता,6.1;अकर्मकः.1	N1	फैली_हुई	extended	-	-										
5.1	तस्य	1	0	तद्{पुं}{6;एक}/तद्{नपुं}{6;एक}	तद्{पुं}{6;एक}	षष्ठीसम्बन्धः,6.1	षष्ठीसम्बन्धः,6.1	N6	उसकी_(संसारवृक्ष_की)	its	-	-										
6.1	शाखाः	4	शाखा	शाखा{स्त्री}{1;बहु}/शाखा{स्त्री}{2;बहु}	शाखा{स्त्री}{1;बहु}	कर्ता,4.1	कर्ता,4.1	N1	देव_मनुष्य_और_तिर्यक्_आदि_योनिरूप_शाखाएँ	branches	-	-										
7.1	गुण-	2	गुण-	गुण	गुण	तृतीया-तत्पुरुषः,7.2	तृतीया-तत्पुरुषः,7.2	CP	तीनों_गुणोंरूप_जल_के_द्वारा_बढ़ी_हुई	developed_modes_of_material_nature	<गुण-प्रवृद्धाः>T3	-										
7.2	प्रवृद्धाः	-	प्रवृद्धाः	प्रवृद्ध{पुं}{1;बहु}/प्रवृद्धा{स्त्री}{1;बहु}/प्रवृद्धा{स्त्री}{2;बहु}	प्र_वृध्1{कृत्_प्रत्ययः:क्त;प्र_वृधुँ;भ्वादिः;पुं}{1;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N1				-										
8.1	विषय-	3	विषय-	विषय	विषय	कर्मधारयः,8.2	कर्मधारयः,8.2	CP	विषय_भोगरूप_कोंपलोंवाली	twigs_of_sense_objects	<विषय-प्रवालाः>K5	-										
8.2	प्रवालाः	-	प्रवालाः	प्रवाल{पुं}{1;बहु}/प्रवाला{स्त्री}{1;बहु}/प्रवाला{स्त्री}{2;बहु}	प्रवाल{पुं}{1;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N1				-										
9.1	अधः	12	अधश्च	अधः{अव्य}	अधः{अव्य}	अधिकरणम्,14.1.1	अधिकरणम्,14.1.1	NA	नीचे	downward	-	-										
10.1	च	13	0	च{अव्य}	च{अव्य}	सम्बन्धः,14.1.1	सम्बन्धः,14.1.1	NA	और	and	-	-										
11.1	मूलानि	11	मूलान्यनुसन्ततानि	मूल{नपुं}{1;बहु}/मूल{नपुं}{2;बहु}/मूल्1{कर्तरि;लोट्;उ;एक;परस्मैपदी;मूलँ;भ्वादिः}	मूल{नपुं}{1;बहु}	कर्ता,14.1.1	कर्ता,14.1.1	N1	अहंता_ममता_और_वासनारूप_जड़ें	roots	-	-										
12.1	अनु-	14	0	अनुसन्तत{नपुं}{1;बहु}	अनु	अव्ययीभावः,12.2	अव्ययीभावः,12.2	CP	सभी_लोकों_में_व्याप्त	extended	-	-										
12.2	सन्ततानि	-	-		सन्तत{नपुं}{1;बहु}	कर्तृसमानाधिकरणम्,14.1.1	कर्तृसमानाधिकरणम्,14.1.1	N1				-										
13.1	कर्म-	10	कर्मानुबन्धीनि	कर्मानुबन्ध{नपुं}{1;बहु}/बन्ध{नपुं}{2;बहु}	कर्म	बहुव्रीहिः,13.2	बहुव्रीहिः,13.2	CP	कर्मों_के_अनुसार_बाँधनेवाली	bound_according_to_work	<कर्म-अनुबन्धीनि>Bs6	-										
13.2	अनुबन्धीनि	-	-		अनुबन्ध{नपुं}{1;बहु}	विशेषणम्,11.1	विशेषणम्,11.1	N1				-										
14.1	मनुष्य-	9	मनुष्यलोके	मनुष्य	मनुष्य	षष्ठी-तत्पुरुषः,14.2	षष्ठी-तत्पुरुषः,14.2	CP	मनुष्यलोक_में	in_the_world_of_human_society	<मनुष्य-लोके>T6	-										
14.2	लोके	-	-	लोक{पुं}{7;एक}/लोक{नपुं}{1;द्वि}/लोक{नपुं}{2;द्वि}/लोक{नपुं}{7;एक}	लोक{पुं}{7;एक}	अधिकरणम्,14.1.1	अधिकरणम्,14.1.1	N7				-										
14.1.1	(सन्ति)	15	(0)	(सत्{नपुं}{1;बहु}/सत्{नपुं}{2;बहु}/अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः})	अभिहित_कर्ता,11.1;अकर्मकः.1	अभिहित_कर्ता,11.1;अकर्मकः.1	KP	(हैं)	are	-	-										
