index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga											
1.1	न	5	न	न{अव्य}	न{अव्य}	प्रतिषेधः,40.1	प्रतिषेधः,40.1	NA	नहीं	not	-	-											
2.1	रूपम्	3	रूपमस्येह	रूप{नपुं}{1;एक}/रूप{नपुं}{2;एक}	रूप{नपुं}{1;एक}	कर्ता,40.1	कर्ता,40.1	N1	स्वरूप	form	-	-											
3.1	अस्य	2	0	इदम्{पुं}{6;एक}/इदम्{नपुं}{6;एक}/अस्3{कर्तरि;लोट्;म;एक;परस्मैपदी;असुँ;दिवादिः}	इदम्{पुं}{6;एक}	षष्ठीसम्बन्धः,40.1	षष्ठीसम्बन्धः,40.1	N6	इसका_(संसारवृक्ष_का)	of_this_tree	-	-											
4.1	इह	1	0	इह{अव्य}	इह{अव्य}	अधिकरणम्,40.1	अधिकरणम्,40.1	NA	यहाँ_(विचारकाल_में)	in_this	-	-											
5.1	तथा	4	तथोपलभ्यते	तथा{अव्य}	तथा{अव्य}	क्रियाविशेषणम्,6.1	क्रियाविशेषणम्,6.1	NA	वैसा	also	-	-											
6.1	उपलभ्यते	6	0	उपलभ्यता{स्त्री}{1;द्वि}/उपलभ्यता{स्त्री}{2;द्वि}/उपलभ्यता{स्त्री}{8;एक}/उपलभ्यता{स्त्री}{8;द्वि}/उप_लभ्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;डुलभँष्;भ्वादिः}	उप_लभ्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;उप_डुलभँष्;भ्वादिः}	अभिहित_कर्म,2.1;सकर्मकः.1	अभिहित_कर्म,2.1;सकर्मकः.1	KP	पाया_जाता	can_be_perceived	-	-											
7.1	न	10	नान्तो	न{अव्य}	न{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	न	never	-	-											
8.1	अन्तः	11	0	अन्तः{अव्य}/अन्त{पुं}{1;एक}	अन्त{पुं}{1;एक}	समुच्चितः,14.1	समुच्चितः,14.1	N1	अन्त	end	-	-											
9.1	न	7	न	न{अव्य}	न{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	न	never	-	-											
10.1	च	9	चादिर्न	च{अव्य}	च{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	और	also	-	-											
11.1	आदिः	8	0	आदि{पुं}{1;एक}}	आदि{पुं}{1;एक}	समुच्चितः,14.1	समुच्चितः,14.1	N1	आदि	beginning	-	-											
12.1	न	13	0	न{अव्य}	न{अव्य}	सम्बन्धः,14.1	सम्बन्धः,14.1	NA	न	never	-	-											
13.1	च	12	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,14.1	समुच्चय_द्योतकः,14.1	NA	तथा	also	-	-											
14.1	सम्प्रतिष्ठा	14	सम्प्रतिष्ठा	सम्प्रतिष्ठा{स्त्री}{1;एक}	सम्प्रतिष्ठा{स्त्री}{1;एक}	कर्म,6.1	कर्म,6.1	N1	अच्छी_प्रकार_से_स्थिति	the_foundation	-	-											
15.1	अश्वत्थम्	18	अश्वत्थमेनं	अश्वत्थ{पुं}{2;एक}	अश्वत्थ{पुं}{2;एक}	कर्म,20.1	कर्म,20.1	N2	संसाररूप_पीपल_के_वृक्ष_को	banyan_tree	-	-											
16.1	एनम्	16	0	इदम्{पुं}{2;एक}	इदम्{पुं}{2;एक}	विशेषणम्,15.1	विशेषणम्,15.1	N2	इस	this	-	-											
17.1	सुविरूढ-	17	सुविरूढमूलमसङ्गशस्त्रेण	सुविरूढ	सु	बहुव्रीहिः,17.2	बहुव्रीहिः,17.2	CP	अहंता_ममता_और_वासनारूप_अति_दृढ़_मूलोंवाले	strongly_rooted	<सुविरूढ-मूलम्>Bs6	-											
17.2	मूलम्	-	-	मूल{पुं}{2;एक}/मूल{नपुं}{1;एक}/मूल{नपुं}{2;एक}	विरूढ	विशेषणम्,15.1	विशेषणम्,15.1	N2				-											
