index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code_code	hindi_meaning	hindi_meaning_active
1.1	त्रिविधम्		त्रिविधम्	त्रिविध{पुं;1;एक}	त्रिविध{पुं;1;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N1	तीन_प्रकार_को	तीन_प्रकार_को
2.1	नरकस्य		नरकस्य	नरक{पुं;6;एक}	नरक{पुं;6;एक}	षष्ठीसम्बन्धः,4.1	षष्ठीसम्बन्धः,1.1#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.1	N6	नरक_का	नरक_का
3.1	इदम्		इदम्	इदम्{सर्वनाम;नपुं;1;एक}/इदम्{सर्वनाम;नपुं;2;एक}	इदम्{सर्वनाम;नपुं;1;एक}	विशेषणम्,4.1	विशेषणम्,13.1#विशेषणम्,12.1#विशेषणम्,5.1#विशेषणम्,4.1#कर्ता_बे_वेर्ब्स्,7.1	N1	यह	यह
4.1	द्वारम्		द्वारम्	द्वार{नपुं;1;एक}/द्वार{नपुं;2;एक}	द्वार{नपुं;1;एक}	विशेषणम्,5.1	विशेषणम्,5.1	N1	द्वार	द्वार
5.1	नाशनम्		नाशनम्	नाशन{पुं;2;एक}/नाशन{नपुं;1;एक}/नाशन{नपुं;2;एक}	नाशन{नपुं;1;एक}	कर्ता,7.1	कर्ता_बे_वेर्ब्स्,7.1#कर्ता,7.1	N1	नाश_करनेवाले_को	नाश_करनेवाले_को
6.1	आत्मनः		आत्मनः	आत्मन्{पुं;2;बहु}/आत्मन्{पुं;5;एक}/आत्मन्{पुं;6;एक}	आत्मन्{पुं;6;एक}	षष्ठीसम्बन्धः,5.1	षष्ठीसम्बन्धः,5.1	N6	आत्माओं_को	आत्माओं_को
7.1	(अस्ति)		(अस्ति)	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	-	-	KP	है	है
8.1	कामः		कामः	काम{पुं;1;एक}	काम{पुं;1;एक}	घटकः,13.1	घटकः,13.1	N1	काम	काम
9.1	क्रोधः		क्रोधः	क्रोध{पुं;1;एक}	क्रोध{पुं;1;एक}	घटकः,13.1	घटकः,13.1	N1	क्रोध	क्रोध
9.2	तथा		तथा	तथा{अव्य}	तथा{अव्य}	घटक_द्योतकः,13.1	घटक_द्योतकः,13.1	NA		
10.1	लोभः		लोभः	लोभ{पुं;1;एक}	लोभ{पुं;1;एक}	घटकः,13.1	घटकः,13.1	N1		
11.1	तस्मात्		तस्मात्	तद्{सर्वनाम;पुं;5;एक}/तद्{सर्वनाम;नपुं;5;एक}	तद्{सर्वनाम;पुं;5;एक}	कार्य_द्योतकः,14.1	कार्य_द्योतकः,14.1	N5	उससे	उससे
12.1	एतत्		एतत्	एतद्{सर्वनाम;नपुं;1;एक}/एतद्{सर्वनाम;नपुं;2;एक}	एतद्{सर्वनाम;नपुं;2;एक}	विशेषणम्,13.1	विशेषणम्,13.1#कर्म,14.1#कर्ता,14.1	N2	यह	यह
13.1	त्रयम्		त्रयम्	त्रय{पुं;2;एक}/त्रय{नपुं;1;एक}/त्रय{नपुं;2;एक}	त्रय{पुं;2;एक}	कर्म,14.1	कर्म,14.1#कर्ता,14.1	N2	तिगुने_को	तिगुने_को
14.1	त्यजेत्		त्यजेत्	त्यज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	त्यज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	-	-	KP	छोडे	छोडे
15.1	.		.	-	-	-	-	FS	-	-
