index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color-code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	देव-	1	देवद्विजगुरुप्राज्ञपूजनं	देव	देव	इतरेतर-द्वन्द्वः,1.4	इतरेतर-द्वन्द्वः,1.4	CP	देवता_ब्राह्मण_गुरु_और_ज्ञानीजनों_का_पूजन	worship_of_the_Supreme_Lord,_the_brahman,_the_spiritual_master_and_worshipable_personalities	<<देव-<द्वि-जः>U-गुरु-प्राज्ञ>Di-पूजनं>T6	-
1.2	द्विज-	-	-	द्विज-	द्विज-	इतरेतर-द्वन्द्वः,1.4	इतरेतर-द्वन्द्वः,1.4	CP				-
1.3	गुरु-	-	-	गुरु-	गुरु-	इतरेतर-द्वन्द्वः,1.4	इतरेतर-द्वन्द्वः,1.4	CP				-
1.4	प्राज्ञ-	-	-	प्राज्ञ-	प्राज्ञ-	षष्ठी-तत्पुरुषः,1.5	षष्ठी-तत्पुरुषः,1.5	CP				-
1.5	पूजनम्	-	-	पूजन{नपुं;1;एक}/पूजन{नपुं;2;एक}	पूजन{नपुं;1;एक}	घटकः,7.1	घटकः,7.1	N1				-
2.1	शौचम्	2	शौचमार्जवम्	शौच{नपुं;1;एक}/शौच{नपुं;2;एक}	शौच{नपुं;1;एक}	घटकः,7.1	घटकः,7.1	N1	पवित्रता	cleanliness	-	-
3.1	आर्जवम्	3	0	आर्जव{नपुं;1;एक}/आर्जव{नपुं;2;एक}	आर्जव{नपुं;1;एक}	घटकः,7.1	घटकः,7.1	N1	सरलता	simplicity	-	-
4.1	ब्रह्म-	4	ब्रह्म-	ब्रह्म-	ब्रह्म-	षष्ठी-तत्पुरुषः,4.2	षष्ठी-तत्पुरुषः,4.2	CP	ब्रह्मचर्य	celibacy	<ब्रह्म-चर्यम्>T4	-
4.2	चर्यम्	-	-	ब्रह्मचर्य{नपुं;1;एक}/ब्रह्मचर्य{नपुं;2;एक}	ब्रह्मचर्य{नपुं;1;एक}	घटकः,7.1	घटकः,7.1	N1				-
5.1	अ-	5	0	अ-	अ-	नञ्-तत्पुरुषः,5.2	नञ्-तत्पुरुषः,5.2	CP	अहिंसा	nonviolence	<न-हिंसा>Tn	-
5.2	हिंसा	-	-	हिंसा{स्त्री;1;एक}	हिंसा{स्त्री;1;एक}	घटकः,7.1	घटकः,7.1	N1				-
6.1	च	6	च	च{अव्य}	च{अव्य}	घटक_द्योतकः,7.1	घटक_द्योतकः,7.1	NA	और	also	-	-
7.1	शारीरम्	7	शारीरं	शारीर{पुं;2;एक}/शारीर{नपुं;1;एक}/शारीर{नपुं;2;एक}	शारीर{नपुं;1;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N1	शरीरसम्बन्धी	pertaining_to_the_body	-	-
8.1	तपः	8	तप	तप{पुं;1;एक}/तपस्{नपुं;1;एक}/तपस्{नपुं;2;एक}	तपस्{नपुं;1;एक}	कर्म,9.1	कर्म,9.1	N1	तप	austerity	-	-
9.1	उच्यते	9	उच्यते	उच्यत्{पुं}{4;एक}/उच्यत्{नपुं}{4;एक}/उच्1{भावे;लट्;प्र;एक;आत्मनेपदी;उचँ;दिवादिः}/वच्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;वचँ;अदादिः}/ब्रू1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;ब्रूञ्;अदादिः}	वच्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;वचँ;अदादिः}	अभिहितकर्म,8.1;सकर्मकः.1	अभिहितकर्म,8.1;सकर्मकः.1	KP	कहा_जाता_है	is_said_to_be	-	-
												
