index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	व्युढ-	1.1	व्युढोरस्को	व्युढ	व्युढ	बहुव्रीहिः,1.2	बहुव्रीहिः,1.2	CP	व्युढ-	व्युढ-
1.2	उरस्कः	1.2		उरस्क{पुं;1;एक}	उरस्क{पुं;1;एक}	विशेषणम्,11.1	विशेषणम्,11.1#विशेषणम्,8.1#विशेषणम्,7.1#विशेषणम्,4.2#विशेषणम्,3.2#विशेषणम्,2.2	N1		
2.1	वृष-	2.1	वृषस्कन्धः	वृष}/वृषन्	वृष	बहुव्रीहिः,2.2	बहुव्रीहिः,2.2	CP	वृष-	वृष-
2.2	स्कन्धः	2.2	--	स्कन्ध{पुं;1;एक}/स्कन्धस्{नपुं;1;एक}/स्कन्धस्{नपुं;2;एक}/स्कन्धस्{नपुं;8;एक}/स्कन्धस्{पुं;8;एक}	स्कन्धस्{नपुं;2;एक}	विशेषणम्,11.1	विशेषणम्,6.1#विशेषणम्,5.3#विशेषणम्,11.1#विशेषणम्,8.1#विशेषणम्,7.1#विशेषणम्,4.2#विशेषणम्,3.2	N2	कंधे	कंधे
3.1	शाल-	3.1	शालप्रांशुर्महाभुजः	शाल	शाल	कर्मधारयः,3.2	कर्मधारयः,3.2	CP	शाल-	शाल-
3.2	प्रांशुः	3.2	--	प्रांशु{पुं;1;एक}	प्रांशु{पुं;1;एक}	विशेषणम्,11.1	विशेषणम्,11.1#विशेषणम्,8.1#विशेषणम्,7.1#विशेषणम्,4.2#विशेषणम्,2.2#गतिकर्ता,10.1	N1	सूर्य_किरण	सूर्य_किरण
4.1	महा-	4.1		महत्	महत्	बहुव्रीहिः,4.2	बहुव्रीहिः,4.2	CP	महा-	महा-
4.2	भुजः	4.2	--	भुज{पुं;1;एक}	भुज{पुं;1;एक}	विशेषणम्,11.1	विशेषणम्,11.1#विशेषणम्,8.1#विशेषणम्,7.1#विशेषणम्,3.2#विशेषणम्,2.2#गतिकर्ता,10.1	N1	हाथ	हाथ
5.1	आत्म-	5.1	आत्मकर्मक्षमं	आत्मन्	आत्मन्	षष्ठी-तत्पुरुषः,5.2	षष्ठी-तत्पुरुषः,5.2	CP	आत्म-	आत्म-
5.2	कर्म-	5.2	--	कर्मन्	कर्मन्	सप्तमी-तत्पुरुषः,5.3	सप्तमी-तत्पुरुषः,5.3	CP	कर्म-	कर्म-
5.3	क्षमं	5.3	--	क्षम{पुं;2;एक}/क्षम{नपुं;1;एक}/क्षम{नपुं;2;एक}	क्षम{नपुं;2;एक}	विशेषणम्,6.1	विशेषणम्,6.1#विशेषणम्,2.2#गतिकर्म,10.1	N2	योग्य_में	योग्य_में
6.1	देहं	6.1	देहं	देह{पुं;2;एक}/देह{नपुं;1;एक}/देह{नपुं;2;एक}	देह{पुं;2;एक}	कर्म,10.1	उपमानम्,5.3#कर्म,10.1	N2	शरीर_को	शरीर_को
7.1	क्षात्रः	8.1	क्षात्रः	क्षात्र{पुं;1;एक}	क्षात्र{पुं;1;एक}	विशेषणम्,8.1	उपमानम्,6.1#उपमानम्,5.3#गतिकर्ता,10.1#विशेषणम्,8.1	N1	क्षात्र	क्षात्र
8.1	धर्मः	9.1	धर्मः	धर्म{पुं;1;एक}	धर्म{पुं;1;एक}	उपमानम्,11.1	उपमानम्,7.1#उपमानम्,6.1#उपमानम्,5.3#गतिकर्ता,10.1#उपमानम्,11.1	N1	धर्म	धर्म
9.1	इव	10.1	इव	इव{अव्य}	इव{अव्य}	उपमान_द्योतकः,8.1	उपमानम्_रहित_उपमान_द्योतकः,10.1#उपमान_द्योतकः,8.1	NA	जैसे	जैसे
10.1	आश्रितः	7.1	आश्रितः	आश्रि{अव्य;तसिल्}/आश्रित{पुं;1;एक(आङ्_श्रि1;क्त;भ्वादिः)}	आश्रित{पुं;1;एक(आङ्_श्रि1;क्त;भ्वादिः)}	विशेषणम्,11.1	विशेषणम्,11.1	N1	आश्रय_लिया_हुआ	आश्रय_लिया_हुआ
11.1	(दिलीपः)	11.1	दिलीपः	दिलीप{पुं;1;एक}	दिलीप{पुं;1;एक}	कर्ता,12.1	उपमानम्,7.1#उपमानम्,6.1#उपमानम्,5.3#कर्ता,12.1#गतिकर्ता,10.1	N1	दिलीप	दिलीप
12.1	(स्थितः)	12.1	(स्थितः)	स्थित{पुं;1;एक(ष्था1;क्त;भ्वादिः)}	स्थित{पुं;1;एक(ष्था1;क्त;भ्वादिः)}	अभिहित_कर्ता,11.1	अभिहित_कर्ता,11.1	N1	स्थित	स्थित
