index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active		
												
1.1	सर्वातिरिक्त-	1.1	सर्वातिरिक्तसारेण	सर्वातिरिक्त	सर्वातिरिक्त	बहुव्रीहिः,1.2	बहुव्रीहिः,1.2	CP	सर्वातिरिक्त-	सर्वातिरिक्त-		
1.2	सारेण	1.2	--	सार{पुं;3;एक}/सार{नपुं;3;एक}	सार{पुं;3;एक}	करणम्,6.1	विशेषणम्,4.2#विशेषणम्,2.2#कर्ता,4.2#हेतुः,4.2#हेतुः,3.1#विशेषणम्,9.1#करणम्,6.1	N3	आवश्यक	आवश्यक		
2.1	सर्वतेज-	2.1	सर्वतेजोभिभाविना	सर्वतेज	सर्वतेज	बहुव्रीहिः,2.2	बहुव्रीहिः,2.2	CP	सर्वतेज-	सर्वतेज-		
2.2	अभिभाविना	2.2	--	अभिभाविन्{पुं;3;एक}/अभिभाविन्{नपुं;3;एक}	अभिभाविन्{पुं;3;एक}	करणम्,6.1	विशेषणम्,4.2#विशेषणम्,1.2#कर्ता,4.2#हेतुः,4.2#हेतुः,3.1#विशेषणम्,9.1#करणम्,6.1	N3	अभिभाविन्_से	अभिभाविन्_से		
3.1	(स्थितः)	9.1	स्थितः	स्थित{पुं;1;एक(ष्था1;क्त;भ्वादिः)}	स्थित{पुं;1;एक(ष्था1;क्त;भ्वादिः)}	अभिहित_कर्ता,10.1	अभिहित_कर्ता,10.1	N1	स्थित	स्थित		
4.1	सर्व-	3.1	सर्वोन्नतेन	सर्व	सर्व	सप्तमी-तत्पुरुषः,4.2	सप्तमी-तत्पुरुषः,4.2	CP	सर्व-	सर्व-		
4.2	उन्नतेन	3.2	--	उन्नत{पुं;3;एक(उत्_णम्1;क्त;भ्वादिः)}/उन्नत{नपुं;3;एक(उत्_णम्1;क्त;भ्वादिः)}	उन्नत{पुं;3;एक(उत्_णम्1;क्त;भ्वादिः)}	विशेषणम्,9.1	विशेषणम्,9.1	N3	उन्नत_से	उन्नत_से		
5.1	उर्वीं	7.1	उर्वीं	उर्वी{स्त्री;2;एक}	उर्वी{स्त्री;2;एक}	कर्म,6.1	कर्म,6.1	N2	भूमि_को	भूमि_को		
6.1	कान्त्वा	8.1	कान्त्वा	कम्1{अव्य;क्त्वा;कमुँ;भ्वादिः}	कम्1{अव्य;क्त्वा;कमुँ;भ्वादिः}	पूर्वकालः,3.1	पूर्वकालः,3.1	NA	चाह_कर	-	-	-
7.1	मेरुः	5.1	मेरुरिवात्मना	मेरु{पुं;1;एक}	मेरु{पुं;1;एक}	उपमानम्,10.1	उपमानम्,10.1	N1	मेरु	-	-	-
8.1	इव	6.1		इव{अव्य}	इव{अव्य}	उपमान_द्योतकः,7.1	उपमानम्_रहित_उपमान_द्योतकः,9.1#उपमान_द्योतकः,7.1	NA	जैसे	जैसे		
9.1	आत्मना	4.1		आत्मन्{पुं;3;एक}	आत्मन्{पुं;3;एक}	करणम्,6.1	विशेषणम्,4.2#विशेषणम्,2.2#विशेषणम्,1.2#कर्ता,4.2#हेतुः,4.2#हेतुः,3.1#करणम्,6.1	N3	आत्मा_से	आत्मा_से		
10.1	(दिलीपः)	9.1		दिलीप{पुं;1;एक}	दिलीप{पुं;1;एक}	कर्ता,3.1	कर्ता,3.1	N1	दिलीप	दिलीप		
11.1	.		.	-	-	-	-	FS	-	-		
