index no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	हैयङ्गवीनम्	1.1	हैयङ्गवीनमादाय	हैयङ्गवीन{नपुं;1;एक}/हैयङ्गवीन{नपुं;2;एक}	हैयङ्गवीन{नपुं;2;एक}	कर्म,2.1	कर्म,2.1	N2	ताजा_घी_को	-	-	-
2.1	आदाय	2.1	-	आङ्_दै1{कर्तरि;लोट्;म;एक;परस्मैपदी;दैप्;भ्वादिः}/दा3{अव्य;ल्यप्;डुदाञ्;जुहोत्यादिः}/दै1{अव्य;ल्यप्;दैप्;भ्वादिः}/दा1{अव्य;ल्यप्;दाण्;भ्वादिः}/दा2{अव्य;ल्यप्;दाप्;अदादिः}	आङ्_दा1{अव्य;ल्यप्;दाण्;भ्वादिः}	पूर्वकालः,10.1	पूर्वकालः,10.1	NA	ले_कर	-	-	-
3.1	उपस्थितान्	3.1		उपस्थित{पुं;2;बहु(ष्था1;क्त;ष्था;भ्वादिः)}	उपस्थित{पुं;2;बहु(ष्था1;क्त;ष्था;भ्वादिः)}	विशेषणम्,4.2	विशेषणम्,4.2	N2	उपस्थित	-	-	-
4.1	घोष-	4.1	घोषवृद्धानुपस्थितान्	घोष	घोष	सप्तमी-तत्पुरुषः,4.2	सप्तमी-तत्पुरुषः,4.2	CP	घोष-वृद्ध	-	-	-
4.2	वृद्धान्	4.2	-	वृद्ध{पुं;2;बहु}	वृद्ध{पुं;2;बहु}	गौणकर्म,8.1	गौणकर्म,8.1	N2				-
5.1	वन्यानां	5.1	-	वन्य{नपुं;6;बहु}/वन्या{स्त्री;6;बहु}	वन्या{स्त्री;6;बहु}	षष्ठीसम्बन्धः,6.2	षष्ठीसम्बन्धः,6.2	N6	विशाल_जंगलों_के	-	-	-
6.1	मार्ग-	6.1	मार्गशाखिनाम्	मार्ग	मार्ग	षष्ठी-तत्पुरुषः,6.2	षष्ठी-तत्पुरुषः,6.2	CP	मार्ग-वेदों_का	-	-	-
6.2	शाखिनाम्	6.2	-	शाखिन्{पुं;6;बहु}	शाखिन्{पुं;6;बहु}	षष्ठीसम्बन्धः,7.1	षष्ठीसम्बन्धः,7.1	N6				-
7.1	नामधेयानि	7.1	नामधेयानि	धा1;यत्;डुधाञ्;जुहोत्यादिः)}/धेय{नपुं;2;बहु(धा1;यत्;डुधाञ्;जुहोत्यादिः)}/धेय{नपुं;1;बहु(धी1;यत्;धीङ्;दिवादिः)}/धेय{नपुं;2;बहु(धी1;यत्;धीङ्;दिवादिः)}/धेय{नपुं;1;बहु(धे1;यत्;धेट्;भ्वादिः)}/धेय{नपुं;2;बहु(धे1;यत्;धेट्;भ्वादिः)}/धेय{नपुं;1;बहु(धि1;यत्;धि;तुदादिः)}/धेय{नपुं;2;बहु(धि1;यत्;धि;तुदादिः)}	धेय{नपुं;2;बहु}	मुख्यकर्म,8.1	मुख्यकर्म,8.1	N2	धेय-	-	-	-
8.1	पृच्छन्तौ	8.1	-	पृच्छत्{पुं;1;द्वि(प्रछ्1;शतृ_लट्;प्रछँ;तुदादिः)}/पृच्छत्{पुं;2;द्वि(प्रछ्1;शतृ_लट्;प्रछँ;तुदादिः)}	पृच्छत्{पुं;1;द्वि(प्रछ्1;शतृ_लट्;प्रछँ;तुदादिः)}	वर्तमानसमानकालः,10.1	वर्तमानसमानकालः,10.1	N1	पूछते_हुए	-	-	-
9.1	(तौ)	9.1	(-)	तद्{सर्वनाम;पुं;1;द्वि}/तद्{सर्वनाम;पुं;2;द्वि}	तद्{सर्वनाम;पुं;1;द्वि}	कर्ता,10.1	कर्ता,10.1	N1	वे	-	-	-
10.1	(जग्मतुः)	10.1	(-)	गम्1{कर्तरि;लिट्;प्र;द्वि;परस्मैपदी;गमॢँ;भ्वादिः}	गम्1{कर्तरि;लिट्;प्र;द्वि;परस्मैपदी;गमॢँ;भ्वादिः}	अभिहित_कर्ता,9.1;सकर्मक.1	अभिहित_कर्ता,9.1;सकर्मक.1	KP	गये	-	-	-
