index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	धर्म-	4.1	धर्मलोपभयाद्राज्ञीमृतुस्नातामिमां	धर्म	धर्म	षष्ठी-तत्पुरुषः,1.2	षष्ठी-तत्पुरुषः,1.2	CP	धर्म-लोप-भय_से	-	-	-
1.2	लोप-	4.2	-	लोप-	लोप-	पञ्चमी-तत्पुरुषः,1.3	पञ्चमी-तत्पुरुषः,1.3	CP				-
1.3	भयात्	4.3	-	भय{पुं;5;एक}/भय{नपुं;5;एक}	भय{नपुं;5;एक}	हेतुः,5.1	हेतुः,5.1	N5				-
2.1	राज्ञीम्	3.1	-	राज्ञी{स्त्री;2;एक}	राज्ञी{स्त्री;2;एक}	कर्म,5.1	कर्म,5.1	N2	रानी_का	-	-	-
3.1	ॠतु-	1.1	-	ॠतु-	ॠतु-	तृतीया-तत्पुरुषः,3.2	तृतीया-तत्पुरुषः,3.2	CP	ॠतु-स्नान_कीं_हुईं	-	-	-
3.2	स्नाताम्	1.2		स्ना{तल्;स्त्री;2;एक}/ष्ना1{शतृ_लट्;ष्ना;अदादिः;स्नात्;ना;पुं;6;बहु}/ष्ना1{शतृ_लट्;ष्ना;अदादिः;स्नात्;ना;नपुं;6;बहु}/ष्ना1{क्त;ष्ना;अदादिः;स्नाता;ना;स्त्री;2;एक}	ष्ना1{क्त;ष्ना;अदादिः;स्नाता;ना;स्त्री;2;एक}	विशेषणम्,2.1	विशेषणम्,2.1	N2				-
4.1	इमाम्	2.1	-	इदम्{सर्वनाम;स्त्री;2;एक}	इदम्{सर्वनाम;स्त्री;2;एक}	विशेषणम्,2.1	विशेषणम्,2.1	N2	इसका	-	-	-
5.1	स्मरन्	5.1	स्मरन्	स्मरत्{पुं;1;एक(स्मृ1;शतृ_लट्;स्मृ;भ्वादिः)}	स्मरत्{पुं;1;एक(स्मृ1;शतृ_लट्;स्मृ;भ्वादिः)}	वर्तमानसमानकालः,11.1	वर्तमानसमानकालः,11.1	N1	स्मरण_करता_हुआ	-	-	-
6.1	प्रदक्षिण-	6.1	प्रदक्षिणक्रियार्हायां	प्रदक्षिण-	प्रदक्षिण-	षष्ठी-तत्पुरुषः,6.2	षष्ठी-तत्पुरुषः,6.2	CP				
6.2	क्रिया-	6.2		क्रिया-	क्रिया-	बहुव्रीहिः,6.3	बहुव्रीहिः,6.3	CP				
6.3	अर्हायाम्	6.3		अर्हा{स्त्री;7;एक}	अर्हा{स्त्री;7;एक}	विशेषणम्,7.1	विशेषणम्,7.1	N7				
7.1	तस्याम्	7.1	तस्यां	तद्{सर्व;स्त्री;7;एक}	तद्{सर्व;स्त्री;7;एक}	विषयाधिकरणम्,11.1	विषयाधिकरणम्,11.1	N7				
8.1	त्वम्	8.1	त्वं	"
युष्मद्{सर्व;अ;1;एक}"	युष्मद्{सर्व;अ;1;एक}	कर्ता,11.1	कर्ता,11.1	N1	-	-	-	-
9.1	साधु	9.1	साधु	साधु{नपुं;1;एक}/साधु[नपुं;2;एक}/साधु{नपुं;8;एक}	साधु[नपुं;2;एक}	कर्म,11.1	कर्म,11.1	N2				
10.1	न	10.1	न	न{अव्य}	न{अव्य}	प्रतिषेधः,11.1	प्रतिषेधः,11.1	NA				
11.1	आचर	11.1		आङ्_चर्1{कर्तरि;लोट्;म;एक;परस्मैपदी;चरँ;भ्वादिः}	आङ्_चर्1{कर्तरि;लोट्;म;एक;परस्मैपदी;चरँ;भ्वादिः}	अभिहित_कर्ता,8.1	अभिहित_कर्ता,8.1	KP	आचरण_करो	-	-	-
