index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	a-XarmajFam			a-XarmajFa{puM;2;eka}	a-XarmajFa{puM;2;eka}	viSeRaNam,2	a-XarmajFa_ko					
2	mAm	2	mAmaXarmajFaM	asmax{sarvanAma;2;eka}	asmax{sarvanAma;2;eka}	sambanXaH,3	muJe					
3	Xik	1	Xigaswu	Xik{avya}	Xik{avya}	sambanXaH,4	XikkAra					
4	aswu			aswu{avya}/as2{karwari;lot;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;lot;pra;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,11;akarmaka						
5	me	6	me	asmax{sarvanAma;6;eka}/asmax{sarvanAma;4;eka}	asmax{sarvanAma;6;eka}	RaRTIsambanXaH,8	merA					
6	buxXim			buxXi{swrI;2;eka}	buxXi{swrI;2;eka}	sambanXaH,7	buxXi_ko					
7	Xik	3	XigbuxXiM	Xik{avya}	Xik{avya}	sambanXaH,16	XikkAra					
8	Sruwam	7	Sruwam	Sruwa{napuM;1;eka}/Sruwa{napuM;2;eka}/Sruwa{puM;2;eka(Sru1;kwa;Sru;:BvAxiH)}/Sruwa{napuM;1;eka(Sru1;kwa;Sru;:BvAxiH)}/Sruwa{napuM;2;eka(Sru1;kwa;Sru;:BvAxiH)}	Sruwa{napuM;2;eka}	sambanXaH,10	prasixXi					
9	ca	5	ca	ca{avya}	ca{avya}	samuccaya_xyowakaH,16	Ora					
10	Xik	4	Xik	Xik{avya}	Xik{avya}	sambanXaH,17	XikkAra					
11	pqWivI-pAlaH	9	pqWivIpAlaH	pqWivI-pAla{puM;1;eka}	pqWivI-pAla{puM;1;eka}	karwA,14	pqWvI-pAla					
12	yaw-kqwe	8	yawkqwe	kqwe{avya}	yaw-kqwe{avya}	prayojanam,14	ke_lie					
13	awaWAuciwaH			uciwa{puM;1;eka(uc1;kwa;ucaz;:xivAxiH)}	uciwa{puM;1;eka(uc1;kwa;ucaz;:xivAxiH)}	kriyAviSeRaNam,14	vilodA_huA					
14	Sewe	10	SeweZyamawaWociwaH	SI1{karwari;lat;pra;eka;AwmanepaxI;SIf;:axAxiH}	SI1{karwari;lat;pra;eka;AwmanepaxI;SIf;:axAxiH}	aBihiwa_karwA,11;akarmaka	sowA_hE					
15	ayam			ixam{sarvanAma;puM;1;eka}/aya{puM;2;eka}	ixam{sarvanAma;puM;1;eka}	viSeRaNam,11	yaha					
16	(aswu)			aswu{avya}/as2{karwari;lot;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;lot;pra;eka;parasmEpaxI;asaz;:axAxiH}	samucciwaH,17						
17	(aswu)			aswu{avya}/as2{karwari;lot;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;lot;pra;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,11;akarmaka						
