index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	prAwaH	-	prAwaryaWokwavrawapAraNAnwe	prAwar{avya}	prAwar{avya}	aXikaraNam,12	prAwari-aWa-wumhAre	@Muni @Vasistha @after @concluding  	-	karmaNi	yuRmax	-
2	aWa	-	-	aWa{avya}	aWa{avya}	sambanXaH,12	-	-	-	-	-	-
3	ukwa-vrawa-pAraNa-anwe	-	-	ukwa-vrawa-pAraNa-anwa{puM,7,eka}	ukwa-vrawa-pAraNa-anwa{puM,7,eka}	viSeRaNam,1	-	-	-	-	-	-
4	prAsWAnikaM	-	prAsWAnikaM	prAsWAnika{puM;2;eka}/prAsWAnika{napuM;1;eka}/prAsWAnika{napuM;2;eka}	prAsWAnika{napuM;2;eka}	viSeRaNam,5	prAsWAnika_ko	@ceremony @of @the @aforesaid @fasting 	-	prayoga	-	-
5	svaswi-ayanam	-	svaswyayanam	svaswi-ayana{napuM;1;eka}/ayana{napuM;2;eka}/svaswi-ayana{napuM;1;eka(i1;lyut;iN;:axAxiH)}/svaswi-ayana{napuM;2;eka(i1;lyut;iN;:axAxiH)}/svaswi-ayana{napuM;1;eka(ay1;lyut;ayaz;:BvAxiH)}/svaswi-ayana{napuM;2;eka(ay1;lyut;ayaz;:BvAxiH)}/svaswi-ayana{napuM;1;eka(i2;lyut;if;:axAxiH)}/svaswi-ayana{napuM;2;eka(i2;lyut;if;:axAxiH)}/svaswi-ayana{napuM;1;eka(I1;lyut;If;:xivAxiH)}/svaswi-ayana{napuM;2;eka(I1;lyut;If;:xivAxiH)}	svaswi-ayana{napuM;2;eka}	karma,6	svaswi-mArga	@vows, @dismissed @the @royal	-	-	-	-
6	prayujya	-	prayujya	yuj2{avya;lyap;yujizr;:ruXAxiH}/yuj1{avya;lyap;yujaz;:xivAxiH}/yuj3{avya;lyap;yujaz;:curAxiH}	pra_yuj2{avya;lyap;yujizr;:ruXAxiH}	pUrvakAlaH,12	-	 @couple @to @return @to @their @capital	-	-	-	-
7	wO	-	wO	wax{sarvanAma;puM;1;xvi}/wax{sarvanAma;puM;2;xvi}	wax{sarvanAma;puM;2;xvi}	viSeRaNam,8	ve	@After @concluding @the @vows @sage @Vasistha	-	karwari	wax	wO xaMpawI, suxakRiNA xilipO
8	xaMpawI	-	xaMpawI	xampawI{swrI;1;eka}/xampawI{swrI;2;xvi}/xampawI{swrI;1;xvi}	xampawI{swrI;1;eka}	prayojyakarwA,12	pawi_Ora_pawnI	@pronounced @on @them @auspicious @blessings	-	prayoga:	-	svAM wava rAjaXAnIM prawi
9	svAM	-	svAM	svA{swrI;2;eka}/svA{sarvanAma;swrI;2;eka}	svA{swrI;2;eka}	viSeRaNam,11	svayaM_kI	@and @asked @them @to @depart @to @their @capital	-	-	-	vaSI vasiRTasya ASIrvAxena
10	prawi	-	prawi	prawi{avya}	prawi{avya}	ABimuKyam,12	ora	-	-	-	-	prasWApayAmAsa
11	rAjaXAnIM	-	rAjaXAnIM	rAjaXAnI{swrI;2;eka}	rAjaXAnI{swrI;2;eka}	sanxarBa_binxuH,10	rAjaXAnI_ko	-	-	-	-	-
12	prasWApayAmAsa	-	prasWApayAmAsa	pra_RWA1{Nijanwa;karwari;lit;pra;eka;parasmEpaxI;RWA;:BvAxiH}	pra_RWA1{Nijanwa;karwari;lit;pra;eka;parasmEpaxI;RWA;:BvAxiH}	aBihiwa_karwA,14;sakarmaka	vixyamAna_kI	-	-	-	-	-
13	vaSI	-	vaSI	vaSi{puM;1;xvi}/vaSi{puM;2;xvi}/vaSin{puM;1;eka}/vaSi{puM;8;xvi}	vaSin{puM;1;eka}	viSeRaNam,14	jisane_vaSa_kara_liyA_hE_vaha	-	-	-	-	-
14	vasiRTaH	-	vasiRTaH	vasiRTa{puM;1;eka}	vasiRTa{puM;1;eka}	prayojakakarwA,12	vasiRTa	-	-	-	-	-
