index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	पुण्डरीक-	1.1	पुण्डरीक-आतपत्रस्तम्	पुण्डरीक	पुण्डरीक	षष्ठ्यर्थ-बहुव्रीहिः,1.2	षष्ठ्यर्थ-बहुव्रीहिः,1.2	CP	पुण्डरीक-	पुण्डरीक-
1.2	आतपत्रः	1.2	--	आतपत्र{पुं;1;एक}	आतपत्र{पुं;1;एक}	विशेषणम्,3.3	विशेषणम्,3.3	N1		
2.1	तम्	4.1	--	तद्{सर्वनाम;पुं;2;एक}	तद्{सर्वनाम;पुं;2;एक}	कर्म,9.1	कर्म,9.1	N2	उसको	उसको
3.1	विकसत्-	2.1	विकसत्-काश-चामरः	विकसत्	विकसत्	उपपद-तत्पुरुषः,3.2	उपपद-तत्पुरुषः,3.2	CP	विकसत्-	विकसत्-
3.2	काश-	2.2	--	काश	काश	षष्ठ्यर्थ-बहुव्रीहिः,3.3	षष्ठ्यर्थ-बहुव्रीहिः,3.3	CP	काश-	काश-
3.3	चामरः	2.3	--	चामर{पुं;1;एक}	चामर{पुं;1;एक}	विशेषणम्,2.1	विशेषणम्,2.1	N1	चौरी	चौरी
4.1	ऋतुः	3.1	ऋतुः	ऋतु{पुं;1;एक}	ऋतु{पुं;1;एक}	कर्ता,9.1	कर्ता,9.1	N1	ऋतु	ऋतु
5.1	विडम्बयाम्	5.1	विडम्बयाम	विडम्बय{नपुं;1;एक}	विडम्बय{नपुं;1;एक}	सम्बन्धः,6.1	सम्बन्धः,6.1	N1		
6.1	आस	6.1	आस	अस्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/अस्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;भ्वादिः}/अस्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भ्वादिः}/अस्3{कर्तरि;लिट्;प्र;एक;परस्मैपदी;दिवादिः}/अस्3{कर्तरि;लिट्;म;बहु;परस्मैपदी;दिवादिः}/अस्3{कर्तरि;लिट्;उ;एक;परस्मैपदी;दिवादिः}/आसन्{नपुं;1;एक}/आसन्{नपुं;2;एक}/आस{पुं;8;एक}/आसन्{नपुं;8;एक}	आसन्{नपुं;1;एक}	कर्ता,9.1	कर्ता,9.1	N1	मुख	मुख
7.1	न	10.1	न	न{अव्य}	न{अव्य}	प्रतिषेधः,9.1	प्रतिषेधः,9.1	NA	नहीं	नहीं
8.1	पुनः	7.1	पुनः	पुनः{अव्य}	पुनः{अव्य}	क्रियाविशेषणम्,10.1	क्रियाविशेषणम्,10.1	NA	फिर	फिर
9.1	प्राप	11.1	प्राप	प्र_आप्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;स्वादिः}/प्र_आप्1{कर्तरि{लिट्;म;बहु;परस्मैपदी;स्वादिः}/प्र_आप्1{कर्तरि{लिट्;उ;एक;परस्मैपदी;स्वादिः}	प्र_आप्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;स्वादिः}	अभिहित_कर्ता,6.1;सकर्मक	अभिहित_कर्ता,6.1;सकर्मक	KP	प्राप्त_हुआ	प्राप्त_हुआ
10.1	तत्	8.1	तत्	तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तद्{सर्वनाम;नपुं;1;एक}	विशेषणम्,11.1	विशेषणम्,11.1	N1	वह	वह
11.1	श्रियम्	9.1	श्रियम्	श्री{स्त्री;2;एक}	श्री{स्त्री;2;एक}	कर्म,7.1	कर्म,7.1	N2	श्री_को	श्री_को
