index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	प्रतापः	2.1	प्रतापोऽग्रे	प्रताप{पुं;1;एक}	प्रताप{पुं;1;एक}	कर्ता,8.1	कर्ता,8.1	N1		
2.1	अग्रे	1.1	--	अग्र{नपुं;7;एक}	अग्र{नपुं;7;एक}	देशाधिकरणम्,1.1	देशाधिकरणम्,1.1	N7	आगे_में	आगे_में
3.1	ततः	3.1	ततः	ततः{अव्य}	ततः{अव्य}	अपादानम्,4.1	अपादानम्,4.1	NA	वहाँ_से	वहाँ_से
4.1	शब्दः	4.1	शब्दः	शब्द{पुं;1;एक}	शब्द{पुं;1;एक}	कर्ता,8.1	कर्ता,8.1	N1	शब्द	शब्द
5.1	परागः	7.1	परागस्तदनन्तरम्	पराग{पुं;1;एक}	पराग{पुं;1;एक}	कर्ता,8.1	कर्ता,8.1	N1	पराग	पराग
6.1	तत्	5.1	--	तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तद्{सर्वनाम;नपुं;2;एक}	कर्म,7.1	कर्म,7.1	N2	वह	वह
7.1	अनन्तरम्	6.1	--	अनन्तर{पुं;2;एक}/अनन्तर{नपुं;1;एक}/अनन्तर{नपुं;2;एक}	अनन्तर{पुं;2;एक}	कालाधिकरणम्,5.1	कालाधिकरणम्,5.1	N2	अनन्तर_को	अनन्तर_को
8.1	ययौ	15.1	ययौ	या1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;अदादिः}/या1{कर्तरि;लिट्;उ;एक;परस्मैपदी;अदादिः}/ययि{पुं;7;एक}	या1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,1.1;सकर्मक	अभिहित_कर्ता,1.1;सकर्मक	KP	गया	गया
9.1	पश्चात्	8.1	पश्चाद्रथादीति	पश्चात्{अव्य}	पश्चात्{अव्य}	सम्बन्धः,10.2	सम्बन्धः,10.2	NA	पश्चात्-	पश्चात्-
10.1	रथ-	9.1	--	रथ	रथ	षष्ठ्यर्थ-बहुव्रीहिः,10.2	षष्ठ्यर्थ-बहुव्रीहिः,10.2	CP	रथ-	रथ-
10.2	आदि	9.2	--	आदि{नपुं;1;एक}/आदि{नपुं;2;एक}/आदि{नपुं;8;एक}	आदि{नपुं;1;एक}	कर्ता,11.1	कर्ता,11.1	N1	आदि	आदि
11.1	इति	10.1	--	इति{अव्य}	इति{अव्य}	समुच्चितः,8.1	समुच्चितः,8.1	NA	ऐसा	ऐसा
12.1	चतुः-	13.1	चतुःस्कन्धेव	चतुः	चतुः	षष्ठ्यर्थ-बहुव्रीहिः,12.2	षष्ठ्यर्थ-बहुव्रीहिः,12.2	CP	चतुः-	चतुः-
12.2	स्कन्धा	13.2	--	स्कन्धा{स्त्री;1;एक}	स्कन्धा{स्त्री;1;एक}	विशेषणम्,13.1	विशेषणम्,13.1	N1	स्कन्धा	स्कन्धा
13.1	इव	14.1	--	इव{अव्य}	इव{अव्य}	उपमान_द्योतकः,8.1	उपमान_द्योतकः,8.1	NA	जैसे	जैसे
14.1	सा	11.1	सा	तद्{सर्वनाम;स्त्री;1;एक}	तद्{सर्वनाम;स्त्री;1;एक}	विशेषणम्,15.1	विशेषणम्,15.1	N1	वह	वह
15.1	चमूः	12.1	चमूः	चमू{स्त्री;1;एक}/चमू{स्त्री;2;बहु}	चमू{स्त्री;1;एक}	उपमानम्,12.2	उपमानम्,12.2	N1	सेना	सेना
