"index"	"word"	"poem"	"sandhied_word"	"morph_analysis"	"morph_in_context"	"kaaraka_sambandha"	"possible_relations"	"color_code"	"hindi_meaning"	"English_meaning"	"samAsa"	"prayoga"	"sarvanAma"	"Name-classification"
1.1	"पितृ-"	4	"पितृ-कार्य-कल्प-वित्"	"पितृ"	"पितृ"	"षष्ठी-तत्पुरुषः,1.2"	"षष्ठी-तत्पुरुषः,1.2"	"CP"	"-"	"-"	"-"	"-"	"-"	"-"
1.2	"कार्य-"	"-"	"-"	"कार्य"	"कार्य"	"षष्ठी-तत्पुरुषः,1.3"	"षष्ठी-तत्पुरुषः,1.3"	"CP"	"-"	"-"	"-"	"-"	"-"	"-"
1.3	"कल्प-"	"-"	"-"	"कल्प"	"कल्प"	"उपपद-तत्पुरुषः,1.4"	"उपपद-तत्पुरुषः,1.4"	"CP"	"-"	"-"	"-"	"-"	"-"	"-"
1.4	"वित्"	"-"	"-"	"विद्{नपुं;1;एक}/विद्{नपुं;8;एक}"	"विद्{नपुं;1;एक}"	"विशेषणम्,2.1"	"विशेषणम्,2.1"	"N1"				"-"	"-"	
2.1	"सः"	"-"	"सः"	"तद्{सर्वनाम;पुं;1;एक}"	"तद्{सर्वनाम;पुं;1;एक}"	"कर्ता,6.1"	"कर्ता,6.1"	"N1"	"उसने"	"-"	"-"	"-"	"-"	"-"
3.1	"पितृ-"	3	"पितृ-भक्त्या"	"पितृ"	"पितृ"	"सप्तमी-तत्पुरुषः,3.2"	"सप्तमी-तत्पुरुषः,3.2"	"CP"	"पिता-भक्ति_से"	"-"	"-"	"-"	"-"	"-"
3.2	"भक्त्या"	"-"	"-"	"भक्ति{स्त्री;3;एक}"	"भक्ति{स्त्री;3;एक}"	"करणम्,6.1"	"करणम्,6.1"	"N3"				"-"	"-"	
4.1	"तत्"	2	"तदौर्ध्वदैहिकं"	"तत्{अव्य}/तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}"	"तद्{सर्वनाम;नपुं;2;एक}"	"विशेषणम्,5.2"	"विशेषणम्,5.2"	"N2"	"वह"	"-"	"-"	"-"	"-"	"-"
5.1	"और्ध्व-"			"और्ध्व"	"और्ध्व"	"सप्तमी-तत्पुरुषः,5.2"	"सप्तमी-तत्पुरुषः,5.2"	"CP"						
5.2	"दैहिकम्"	"-"		"और्ध्वदैहिक{पुं;2;एक}/और्ध्वदैहिक{नपुं;1;एक}/और्ध्वदैहिक{नपुं;2;एक}"	"दैहिक{नपुं;2;एक}"	"कर्म,6.1"	"कर्म,6.1"	"N2"	"अन्त्येष्टि_का"	"-"	"-"	"-"	"-"	"-"
6.1	"अकरोत्"	1	"अकरोत्स"	"कृ3{कर्तरि;लङ्;प्र;एक;परस्मैपदी;डुकृञ्;:तनादिः}"	"कृ3{कर्तरि;लङ्;प्र;एक;परस्मैपदी;डुकृञ्;:तनादिः}"	"अभिहित_कर्ता,2;सकर्मक.1"	"अभिहित_कर्ता,2;सकर्मक.1"	"KP"	"किया"	"-"	"-"	"-"	"-"	"-"
