index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active				
1.1	महिमानम्		महिमानम्	महिमन्{पुं;2;एक}	महिमन्{पुं;2;एक}	कर्म,5.1	कर्म,5.1	N2	गौरव_को	गौरव_को				
2.1	यत्		यत्	यत्{अव्य}/यद्{सर्वनाम;नपुं;1;एक}/यद्{सर्वनाम;नपुं;2;एक}	यत्{अव्य}	सम्बन्धः,5.1	सम्बन्धः,5.1	NA	कि	कि				
3.1	उत्कीर्त्य		उत्कीर्त्य	उत्_कॄत्1{अव्य;ल्यप्;चुरादिः}	उत्_कॄत्1{अव्य;ल्यप्;चुरादिः}	पूर्वकालः,5.1	पूर्वकालः,5.1	NA	उल्लेख_करके	उल्लेख_करके				
4.1	तव		तव	युष्मद्{सर्वनाम;6;एक}	युष्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,1.1	षष्ठीसम्बन्धः,1.1	N6	तुम्हारे	तुम्हारे				
5.1	संह्रियते		संह्रियते	सम्_हृ1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः}/सम्_हृ2{कर्मणि{लट्;प्र;एक;आत्मनेपदी;जुहोत्यादिः}	सम्_हृ1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः}	अभिहित_कर्म,6.1;सकर्मक	अभिहित_कर्म,6.1;सकर्मक	KP	समेट_लिया_जाता_है	समेट_लिया_जाता_है				
6.1	वचः		वचः	वच{पुं;1;एक}/वचस्{नपुं;1;एक}/वचस्{नपुं;2;एक}/वचस्{नपुं;8;एक}	वच{पुं;1;एक}	कर्म,5.1	कर्म,5.1	N1	तोता	तोते_को				
7.1	श्रमेण		श्रमेण	श्रम{पुं;3;एक}	श्रम{पुं;3;एक}	करणम्,5.1	करणम्,5.1	N3	श्रम_के_द्वारा	श्रम				
8.1	तत्-		तत्-अशक्त्याः	तत्	तत्	तृतीया-तत्पुरुषः,8.2	तृतीया-तत्पुरुषः,8.2	CP	तत्-	तत्-				
8.2	अशक्त्याः		--	अशक्ति{स्त्री;5;एक}/अशक्ति{स्त्री;6;एक}	अशक्ति{स्त्री;6;एक}	षष्ठीसम्बन्धः,7.1	षष्ठीसम्बन्धः,7.1	N6	अशक्ति_के	अशक्ति_के				
9.1	वा		वा	वा{अव्य}	वा{अव्य}	सम्बन्धः,8.2	सम्बन्धः,8.2	NA	वा	वा				
10.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,13.1	प्रतिषेधः,13.1	NA	नहीं	नहीं				
11.1	गुणानाम्		गुणानाम्	गुण{पुं;6;बहु}/गुणा{स्त्री;6;बहु}	गुण{पुं;6;बहु}	षष्ठीसम्बन्धः,12.1	षष्ठीसम्बन्धः,12.1	N6	गुणों_का	गुणों_का				
12.1	इयत्तया		इयत्	इयत्ता{स्त्री;3;एक}	इयत्ता{स्त्री;3;एक}	हेतुः,13.1	हेतुः,13.1	N3	इतना_अधिक	इतना_अधिक				
13.1	(अस्ति)	-	(-)	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अभिहित_कर्ता	अभिहित_कर्ता	KP	है	-	-	-	-	-
