index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1.1	मरुतां	3	मरुतां	मरुत्{पुं;6;बहु}	मरुत्{पुं;6;बहु}	षष्ठीसम्बन्धः,2.1	षष्ठीसम्बन्धः,2.1	N6	हवाओं_के	-	-	-	-	-
2.1	पथि	4	पथि	पथिन्{पुं;7;एक}	पथिन्{पुं;7;एक}	अधिकरणम्,7.1	अधिकरणम्,7.1	N7	रास्ते_में	-	-	-	-	-
3.1	पुण्य-	2	पुण्यकृतस्त्यजन्तु	पुण्य	पुण्य	षष्ठी-तत्पुरुषः,3.2	षष्ठी-तत्पुरुषः,3.2	CP	पुण्य-कृत्	-	-	-	-	-
3.2	कृतः	-	-	कृत्{पुं;1;बहु}/कृत्{पुं;2;बहु}/कृत्{पुं;5;एक}/कृत्{पुं;6;एक}/कृत्{पुं;8;बहु}/पुण्य	कृत्{पुं;1;बहु}	विशेषणम्,4.1	विशेषणम्,4.1	N1				-	-	
4.1	वैमानिकाः	1	वैमानिकाः	वैमानिक{पुं;1;बहु}/वैमानिक{पुं;8;बहु}	वैमानिक{पुं;1;बहु}	कर्ता,7.1	कर्ता,7.1	N1	गगनविहारी	-	-	-	-	-
5.1	मेघ-	6	मेघावरणतत्पराः	मेघ	मेघ	कर्मधारयः,5.2	कर्मधारयः,5.2	CP	मेघः-वृ1	-	-	-	-	-
5.2	आवरण-	-	-	आवरण	आवरण	सप्तमी-तत्पुरुषः,5.3	सप्तमी-तत्पुरुषः,5.3	CP	मेघः-वृ1	-	-	-	-	-
5.3	तत्पराः	-	-	पर{पुं;1;बहु}/मेघ	तत्पर{पुं;1;बहु}	विशेषणम्,4.1	विशेषणम्,4.1	N1				-	-	
6.1	पुष्पक-	5	पुष्पकालोकसंक्षोभं	पुष्पक	पुष्पक	षष्ठी-तत्पुरुषः,6.2	षष्ठी-तत्पुरुषः,6.2	CP	-	-	-	-	-	-
6.2	आलोक-	-	-	लोक	लोक	तृतीया-तत्पुरुषः,6.3	तृतीया-तत्पुरुषः,6.3	CP	-	-	-	-	-	-
6.3	संक्षोभम्	-	-	संक्षोभ{पुं;2;एक}	संक्षोभ{पुं;2;एक}	कर्म,7.1	कर्म,7.1	N2				-	-	
7.1	त्यजन्तु	-	-	त्यज्1{कर्तरि;लोट्;प्र;बहु;परस्मैपदी;त्यजँ;:भ्वादिः}	त्यज्1{कर्तरि;लोट्;प्र;बहु;परस्मैपदी;त्यजँ;:भ्वादिः}	अभिहित_कर्ता,4;सकर्मक.1	अभिहित_कर्ता,4;सकर्मक.1	KP	छोडें	-	-	-	-	-
