"index"	"word"	"poem"	"sandhied_word"	"morph_analysis"	"morph_in_context"	"kaaraka_sambandha"	"possible_relations"	"color_code"	"hindi_meaning"	"hindi_meaning_active"
1.1	"समम्"		"समम्"	"समम्{अव्य}/सम{पुं;2;एक}/सम{नपुं;1;एक}/सम{नपुं;2;एक}/सम{सर्वनाम;पुं;2;एक}/सम{सर्वनाम;नपुं;1;एक}/सम{सर्वनाम;नपुं;2;एक}"	"समम्{अव्य}"	"क्रियाविशेषणम्,4.1"	"क्रियाविशेषणम्,4.1"	"NA"	"से"	"से"
2.1	"आपन्न-"		"आपन्न-सत्त्वा"	"आपन्न(आङ्_पद्1;क्त;दिवादिः)"	"आपन्न(आङ्_पद्1;क्त;दिवादिः)"	"बहुव्रीहिः,2.2"	"बहुव्रीहिः,2.2"	"CP"		
2.2	"सत्त्वा"		"--"	"षद्1{अव्य;क्त्वा;भ्वादिः}/सत्त्वा{स्त्री;1;एक}"	"सत्त्वा{स्त्री;1;एक}"	"कर्ता,4.1"	"कर्ता,4.1"	"N1"	"सत्त्वा"	"सत्त्वा"
3.1	"ताः"		"ताः"	"तद्{सर्वनाम;स्त्री;1;बहु}/तद्{सर्वनाम;स्त्री;2;बहु}"	"तद्{सर्वनाम;स्त्री;2;बहु}"	"कर्म,2.2"	"कर्म,2.2"	"N2"	"वे"	"वे"
4.1	"रेजुः"		"रेजुः"	"राज्1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;भ्वादिः}"	"राज्1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;भ्वादिः}"	"अभिहित_कर्ता,6.3;सकर्मक"	"अभिहित_कर्ता,6.3;सकर्मक"	"KP"	"राज्1या"	"राज्1या"
5.1	"अपाण्डुर-"		"अपाण्डुर-त्विषः"	"अपाण्डुर"	"अपाण्डुर"	"बहुव्रीहिः,5.2"	"बहुव्रीहिः,5.2"	"CP"	"अपाण्डुर-"	"अपाण्डुर-"
5.2	"त्विषः"		"--"	"त्विष्{स्त्री;1;बहु}/त्विष्{स्त्री;2;बहु}/त्विष्{स्त्री;5;एक}/त्विष्{स्त्री;6;एक}/त्विष्{स्त्री;8;बहु}"	"त्विष्{स्त्री;6;एक}"	"षष्ठीसम्बन्धः,6.3"	"षष्ठीसम्बन्धः,6.3"	"N6"	"त्विष्_का"	"त्विष्_का"
6.1	"अन्तर्गत-"		"अन्तर्गत-फल-आरम्भाः"	"अन्तर्गत(अन्तर्_गम्1;क्त;भ्वादिः)"	"अन्तर्गत(अन्तर्_गम्1;क्त;भ्वादिः)"	"बहुव्रीहिः,6.2"	"बहुव्रीहिः,6.2"	"CP"		
6.2	"फल-"		"--"	"फल"	"फल"	"षष्ठी-तत्पुरुषः,6.3"	"षष्ठी-तत्पुरुषः,6.3"	"CP"	"फल-"	"फल-"
6.3	"आरम्भाः"		"--"	"आरम्भ{पुं;1;बहु}/आरम्भ{पुं;8;बहु}/आरम्भा{स्त्री;8;बहु}/आरम्भा{स्त्री;1;बहु}/आरम्भा{स्त्री;2;बहु}"	"आरम्भा{स्त्री;1;बहु}"	"कर्ता,4.1"	"कर्ता,4.1"	"N1"	"आरम्भों_ने"	"आरम्भों_ने"
7.1	"सस्यानाम्"		"सस्यानाम्"	"सस्य{नपुं;6;बहु}"	"सस्य{नपुं;6;बहु}"	"उपमानम्,5.2"	"उपमानम्,5.2"	"N6"	"अनाजों_का"	"अनाजों_का"
8.1	"इव"		"इव"	"इव{अव्य}"	"इव{अव्य}"	"उपमान_द्योतकः,7.1"	"उपमान_द्योतकः,7.1"	"NA"	"जैसे"	"जैसे"
9.1	"सम्पदः"		"सम्पदः"	"सम्पद्{स्त्री;1;बहु}/सम्पद्{स्त्री;2;बहु}/सम्पद्{स्त्री;5;एक}/सम्पद्{स्त्री;6;एक}/सम्पद्{स्त्री;8;बहु}"	"सम्पद्{स्त्री;1;बहु}"	"उपमानम्,6.3"	"उपमानम्,6.3"	"N1"	"सम्पत्तियाँ"	"सम्पत्तियाँ"
