index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	rAGavaH	1	rAGavo	rAGava{puM;1;eka}	rAGava{puM;1;eka}	karwA,11	raGuvaMSI_ne	-	-	-	-	-
2	raWam	2	raWamaprApwAM	raWa{puM;2;eka}	raWa{puM;2;eka}	karma,3	raWa	-	-	-	-	-
3	a-prApwAm	-	-	a-pra_Ap1{kwa;ApLz;:svAxiHpra_Apwa;swrI;2;eka}	a-pra_Ap1{kwa;ApLz;:svAxiHpra_Apwa;swrI;2;eka}	viSeRaNam,4	a-prApwa_huIM_huIM	-	-	-	-	-
4	wAm	3	wAmASAM	wax{sarvanAma;swrI;2;eka}	wax{sarvanAma;swrI;2;eka}	sup_samucciwaH,6	usa	-	-	-	-	-
5	suraw-viRAm	5	suraxviRAm	viR{swrI;6;bahu}	viR{swrI;6;bahu}	RaRTIsambanXaH,6	viRoM_kI	-	-	-	-	-
6	ASAm	-	-	ASA{swrI;2;eka}/ASA{swrI;2;eka}	ASA{swrI;2;eka}	karma,11	ASA_ko	-	-	-	-	-
7	ca	4	ca	ca{avya}	ca{avya}	sup_samuccayaxyowakaH,6	BI	-	-	-	-	-
8	arXa-canxra-muKEH	6	arXacanxramuKErbANEScicCexa	muKa{napuM;3;bahu}	muKa{napuM;3;bahu}	viSeRaNam,9	muKoM_se	-	-	-	-	-
9	bANEH	-	-	bANa{puM;3;bahu}	bANa{puM;3;bahu}	karaNam,11	bANoM_se	-	-	-	-	-
10	kaxalI-suKam	7	kaxalIsuKam	kaxala-suKA{puM;2;eka}/suKA{napuM;2;eka}/suKA{napuM;1;eka}	kaxala-suKA{napuM;1;eka}	kriyAviSeRaNam,11	kele-suKA	-	-	-	-	-
11	cicCexa	-	-	Cix1{karwari;lit;pra;eka;parasmEpaxI;Cixizr;:ruXAxiH}/Cix1{karwari;lit;u;eka;parasmEpaxI;Cixizr;:ruXAxiH}	Cix1{karwari;lit;pra;eka;parasmEpaxI;Cixizr;:ruXAxiH}	aBihiwa_karwA,1;sakarmaka	X_Cix1_pp_skyA	-	-	-	-	-
