@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@Hindi_@meaning	@English_@Meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	wAsAm	1	wAsAm	wax{sarvanAma;swrI;6;bahu}	wax{sarvanAma;swrI;6;bahu}	RaRTIsambanXaH,2	unake		-	-	-	wAsAm @is @related @to @the @noun '@ladies' @which @is @inferred
2	muKEH	2	muKErAsavaganXagarBErvyApwAnwarAH	muKa{napuM;3;bahu}	muKa{napuM;3;bahu}	karaNam,4	muKoM_se		-	-	-	-
3	Asava-ganXa-garBEH	-	-	Asava-ganXa-garBa{puM;3;bahu}	Asava-ganXa-garBa{puM;3;bahu}	viSeRaNam,2	xrAkRa Axi pAnIyoM kI mahaka se Bariwa unake muKoM se		-	-	-	-
4	vyApwAnwarAH	-	-	vi;{upa./Ap;({kqw_XAwu Ap1}-anwara{puM;1;bahu}	vi;{upa./Ap;({kqw_XAwu Ap1}-anwara{puM;1;bahu}	viSeRaNam,7	Bariwa vaha jagaha		-	-	-	-
5	sAnxra-kuwUhalAnAm	3	sAnxrakuwUhalAnAm	sAnxra-kuwUhala{puM;6;bahu}/kuwUhala{napuM;6;bahu}/kuwUhala{swrI;6;bahu}	sAnxra-kuwUhala{puM;6;bahu}/kuwUhalanapuM;6;bahu}/kuwUhalaswrI;6;bahu}	viSeRaNam,1	uwsukawA se Bariwa una mahilAoM ke		-	-	-	-
6	vilola-newra-BramarEH	4	vilolanewraBramarErgavAkRAH	vilola-newra-BramarE-rgavAkRAH}	vilola-newra-BramarE-rgavAkRAH{puM;3;bahu}	viSeRaNam,2	hila rahe una BOra-rUpI newroM se 		-	-	-	-
7	gavAkRAH	-	-	gavAkRAH{puM;1;bahu}	gavAkRAH{puM;1;bahu}	karwA,10	KidakiyAz		-	-	-	-
8	sahasra-pawra-ABaraNAH	5	sahasrapawrABaraNA	sahasra-pawwra-ABaraNa{puM;1;bahu}/ABaraNa{swrI;2;bahu}/ABaraNa{swrI;1;bahu}	sahasra-pawwra-ABaraNa{puM;1;bahu}/ABaraNaswrI;2;bahu}/ABaraNaswrI;1;bahu}	upamAnam,9	hajAra paMKudIvAle kamala		-	-	-	-
9	iva	6	ivAsan	iva{avya}	iva{avya}	upamAnaxyowakaH,10	jEse		-	-	-	-
10	Asan	-	-	as2{karwari;laf;pra;bahu;parasmEpaxI;asaz;:axAxiH}/as1{karwari;laf;pra;bahu;parasmEpaxI;asaz;:BvAxiH}	as2{karwari;laf;pra;bahu;parasmEpaxI;asaz;:axAxiH}/as1karwari;laf;pra;bahu;parasmEpaxI;asaz;:BvAxiH}	aBihiwa_karwA,7;sakarmaka	(laga rahe) We		-	-	-	-
