@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	waw	1	wawprawIpapavanAxivEkqwaM	waw{avya}/wax{sarvanAma;napuM;1;eka}/wax{sarvanAma;napuM;2;eka}	wax{sarvanAma;napuM;2;eka}	viSeRaNam,2	-	-	-	-	-	-
2	prawIpa-pavanAxi-vEkqwaM	-	-	prawIpa-pavanAxi-vEkqwa{puM;2;eka}/vEkqwa{napuM;1;eka}/vEkqwa{napuM;2;eka}	prawIpa-pavanAxi-vEkqwa{napuM;2;eka}	karma,3	prawIpa-pavanAxi-vEkqwa_ko	-	-	-	-	-
3	prekRya	2	prekRya	IkR1{avya;lyap;IkRaz;:BvAxiH}/IkR1{avya;lyap;IkRaz;:BvAxiH}	pra_IkR1{avya;lyap;IkRaz;:BvAxiH}	pUrvakAlaH,10	-	-	-	-	-	-
4	kqwya-viw	4	kqwyavix	kqw1{Nyaw;kqwIz;:wuxAxiH}/kqw2{Nyaw;kqwIz;:ruXAxiH-vix;napuM;1;eka}/vix{napuM;8;eka}	kqw2{Nyaw;kqwIz;:ruXAxiH-vix;napuM;1;eka}	viSeRaNam,6	-	-	-	-	-	-
5	kRiweH	7	kRiweH	kRiwi{swrI;5;eka}/kRiwi{swrI;6;eka}	kRiwi{swrI;6;eka}	RaRTIsambanXaH,6	pqWvI_se	-	-	-	-	-
6	ISvaraH	-	-	ISvara{puM;1;eka}	ISvara{puM;1;eka}	karwA,10	ISvara	-	-	-	-	-
7	SAnwim	3	SAnwimaXikqwya	SAnwi{swrI;2;eka}	SAnwi{swrI;2;eka}	karma,8	SAnwi_ko	-	-	-	-	-
8	aXikqwya	-	-	kq2{avya;lyap;kqF;:svAxiH}/kq3{avya;lyap;dukqF;:wanAxiH}/kqw1{avya;lyap;kqwIz;:wuxAxiH}/kqw2{avya;lyap;kqwIz;:ruXAxiH}	aXi_kq3{avya;lyap;dukqF;:wanAxiH}	pUrvakAlaH,10	-	-	-	-	-	-
9	gurum	6	gurumISvaraH	guru{puM;2;eka}	guru{puM;2;eka}	karma,10	guru_ko	-	-	-	-	-
10	anvayufkwa	5	anvayufkwa	anu_yuj1{karwari;laf;pra;eka;parasmEpaxI;yuja;:ruXAxiH}	anu_yuj1{karwari;laf;pra;eka;parasmEpaxI;yuja;:ruXAxiH}	aBihiwa_karwA,6;sakarmaka	anu_yuj1_pp_skyA	-	-	-	-	-
