index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	kArmuka-niRakwa-muRtinA	2	kArmukaniRakwamuRtinA	kArmuka-niRakwa-muRti{puM;3;eka}/muRti{napuM;3;eka}	kArmuka-niRakwa-muRti{napuM;3;eka}	karaNam,4	kAma_karane_yogya-niRakwa-muRti_se	-	-	-	-	-
2	SaraM	7	SaraM	Sara{puM;2;eka}/Sara{napuM;1;eka}/Sara{napuM;2;eka}	Sara{napuM;2;eka}	karma,4	bANa	-	-	-	-	-
3	afgulI-vivara-cAriNaM	6	afgulIvivaracAriNaM	afgulI-vivara-cArin{puM;2;eka}	afgulI-vivara-cArin{puM;2;eka}	karmasamAnAXikaraNam,4	afgulI-Cixra-cArI_ko	-	-	-	-	-
4	kurvawA	8	kurvawA	kurvaw{puM;3;eka(kq3;Sawq_lat;dukqF;:wanAxiH)}/kurvaw{napuM;3;eka(kq3;Sawq_lat;dukqF;:wanAxiH)}	kurvaw{napuM;3;eka(kq3;Sawq_lat;dukqF;:wanAxiH)}	viSeRaNam,6	karawe_hue	-	-	-	-	-
5	yuyuwsunA	10	yuyuwsunA	yuyuwsu{puM;3;eka}/yuyuwsu{napuM;3;eka}	yuyuwsu{napuM;3;eka}	viSeRaNam,6	ladane_kI_icCA_vAle	-	-	-	-	-
6	wena	1	wena	wax{sarvanAma;puM;3;eka}/wax{sarvanAma;napuM;3;eka}/wan1{karwari;lit;ma;bahu;parasmEpaxI;wanuz;:wanAxiH}	wax{sarvanAma;napuM;3;eka}	karwA,10	usase	-	-	-	-	-
7	vigawa-BIH	4	vigawaBIH	gam1{kwa;gamLz;:BvAxiH-BI;swrI;1;eka}	vi_gam1{kwa;gamLz;:BvAxiH-BI;swrI;1;eka}	viSeRaNam,9	Bayarahiwa, nidara	-	-	-	-	-
8	purogawaH	5	purogawaH	puroga{avya;wasil}	puroga{avya;wasil}	viSeRaNam,9	bAxa-jAwe_hue	-	-	-	-	-
9	rAGavaH	3	rAGavo	rAGava{puM;1;eka}	rAGava{puM;1;eka}	muKyakarma,10	raGuvaMSI	-	-	-	-	-
10	nijagaxe	9	nijagaxe	brU1{karmaNi;lat;pra;eka;AwmanepaxI;brUF;:axAxiH}	brU1{karmaNi;lat;pra;eka;AwmanepaxI;brUF;:axAxiH}	aBihiwa_karma,9;sakarmaka	kahe_jAwe_hEM	-	-	-	-	-
