index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	rAmasya		rAmasya	rAma{puM;6;eka}	rAma{puM;6;eka}	RaRTIsambanXaH,2	rAma_kA					
2	xayiwA		xayiwA	xay1{karwari;lut;pra;eka;AwmanepaxI;xayaz;:BvAxiH}/xay1{karmaNi;lut;pra;eka;AwmanepaxI;xayaz;:BvAxiH}/xayiwq{puM;1;eka(xay1;wqc;xayaz;:BvAxiH)}/xayiwA{swrI;1;eka(xay1;kwa;xayaz;:BvAxiH)}	xayiwA{swrI;1;eka(xay1;kwa;xayaz;:BvAxiH)}	viSeRaNam,3	xAna-xegA					
3	BAryA		BAryA	BAryA{swrI;1;eka}	BAryA{swrI;1;eka}	viSeRaNam,17	pawnI					
4	niwyaM		niwyaM	niwya{puM;2;eka}/niwya{napuM;1;eka}/niwya{napuM;2;eka}	niwya{napuM;2;eka}	kAlAXikaraNam,5	niwya_ko					
5	prANa-samA		prANasamA	prANa-samA{sarvanAma;swrI;1;eka}/samA{swrI;1;eka}	prANa-samA{sarvanAma;swrI;1;eka}/samAswrI;1;eka}	viSeRaNam,17	prANa-samA		<prANa-samA>T3			
6	hiwA		hiwA	hiwA{swrI;1;eka(XA1;kwa;duXAF;:juhowyAxiH)}/hiwA{swrI;1;eka(hi1;kwa;hi;:svAxiH)}	hiwA{swrI;1;eka(XA1;kwa;duXAF;:juhowyAxiH)}	viSeRaNam,17						
7	janakasya		janakasya	janaka{puM;6;eka}	janaka{puM;6;eka}	RaRTIsambanXaH,8	janaka_kA					
8	kule		kule	kula{napuM;1;xvi}/kula{napuM;2;xvi}/kula{napuM;8;xvi}/kuli{puM;8;eka}/kula{napuM;7;eka}	kula{napuM;7;eka}	aXikaraNam,9	kula					
9	jAwA		jAwA	jE1{karwari;lut;pra;eka;parasmEpaxI;jE;:BvAxiH}/jE1{BAve;lut;pra;eka;AwmanepaxI;jE;:BvAxiH}/jAwA{swrI;1;eka(jan2;kwa;janIz;:xivAxiH)}/jAwq{puM;1;eka(jE1;wqc;jE;:BvAxiH)}/jAwA{swrI;1;eka(jE1;kwa;jE;:BvAxiH)}	jAwA{swrI;1;eka(jan2;kwa;janIz;:xivAxiH)}	viXeya-viSeRaNam,17	naRta_hogA					
10	xeva-mAyA		xevamAyeva	xeva-mAyA{swrI;1;eka}	xeva-mAyA{swrI;1;eka}	karma,12	xeva-mAyA		<xeva-mAyA>T6			
11	iva			iva{avya}	iva{avya}	sambanXaH,12	jEse					
12	nirmiwA		nirmiwA	nirmiwA{swrI;1;eka}	nirmiwA{swrI;1;eka}	viSeRaNam,17	nirmiwa		<nir-miwA>Tp			
13	sarva-lakRaNa-sampannA		sarvalakRaNasampannA	sarva-lakR1{lyut;lakRaz;:curAxiH}/sarva-sampannA{swrI;1;eka(lakR2;lyut;lakRaz;:curAxiH-pax1;kwa;paxaz;:xivAxiH)}	sarva-sampannA{swrI;1;eka(lakR2;lyut;lakRaz;:curAxiH-pax1;kwa;paxaz;:xivAxiH)}	viSeRaNam,17			<<sarva-lakRaNa>K1-sampannA>T3			
14	nArINAm		nArINAmuwwamA	nArI{swrI;6;bahu}	nArI{swrI;6;bahu}	RaRTIsambanXaH,15	nAriyoM_kA					
15	uwwamA			uwwamA{swrI;1;eka}	uwwamA{swrI;1;eka}	viSeRaNam,17	acCI					
16	vaXUH		vaXUH	vaXU{swrI;1;eka}/vaXU{swrI;2;bahu}/vaXu{swrI;2;bahu}	vaXU{swrI;1;eka}	viSeRaNam,17	bahU					
17	sIwA		sIwApyanugawA	sIwA{swrI;1;eka}	sIwA{swrI;1;eka}	karwA,19	sIwA					
18	api			api{avya}	api{avya}	sambanXaH,19	BI					
19	anu-gawA			anu-gawA{swrI;1;eka(anu-gam1;kwa;gamLz;:BvAxiH)}	anu-gawA{swrI;1;eka(anu-gam1;kwa;gamLz;:BvAxiH)}	aBihiwa_karwA,17;sakarmaka	anu-gayI_huI		<anu-gawA>Tp			
20	rAmaM		rAmaM	rAma{puM;2;eka}	rAma{puM;2;eka}	karma,19	rAma_ko					
21	SaSinaM		SaSinaM	SaSin{puM;2;eka}	SaSin{puM;2;eka}	karma,24	cAzxa_ko					
22	rohiNI		rohiNI	rohiNI{swrI;1;eka}	rohiNI{swrI;1;eka}	karwA,24	rohiNI					
23	yaWA		yaWA	yaWA{avya}	yaWA{avya}	upamAnaxyowakaH,19	jEse					
24	(anu-gawA)			anu-gawA{swrI;1;eka(anu-gam1;kwa;gamLz;:BvAxiH)}	anu-gawA{swrI;1;eka(anu-gam1;kwa;gamLz;:BvAxiH)}	upamAnam,19	anu-gayI_huI					
