index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	xevawAByaH		xevawAByo	xevawA{swrI;4;bahu}/xevawA{swrI;5;bahu}	xevawA{swrI;5;bahu}	apAxAnam,2	xevawAoM_ko					
2	varaM		varaM	varam{avya}/vara{puM;2;eka}/vara{napuM;1;eka}/vara{napuM;2;eka}	vara{puM;2;eka}	karma,3						
3	prApya		prApya	Ap1{avya;lyap;ApLz;:svAxiH}/Ap1{avya;lyap;ApLz;:svAxiH}/Ap2{avya;lyap;ApLz;:curAxiH}/Ap2{avya;lyap;ApLz;:curAxiH}	pra_Ap1{avya;lyap;ApLz;:svAxiH}	pUrvakAlaH,8			<pra-Apya>Tg			
4	samuwWApya		samuwWApya	samuwWApya}	samuwWApya{avya;lyap;RWA;:BvAxiH}	pUrvakAlaH,8			<sam-uwWApya>Tg			
5	ca		ca	ca{avya}	ca{avya}	sambanXaH,8	Ora					
6	vAnarAn		vAnarAn	vAnara{puM;2;bahu}	vAnara{puM;2;bahu}	karma,4	banxaroM_ko					
7	ayoXyAM		ayoXyAM	ayoXyA{swrI;2;eka}	ayoXyA{swrI;2;eka}	karma,8	ayoXyA_ko					
8	prasWiwaH		prasWiwo	prasWiwa{puM;1;eka(RWA1;kwa;RWA;:BvAxiH)}	prasWiwa{puM;1;eka(RWA1;kwa;RWA;:BvAxiH)}	aBihiwa_karwA,9;sakarmaka	Age_baDA_huA					
9	rAmaH		rAmaH	rAma{puM;1;eka}/rA1{karwari;lat;u;bahu;parasmEpaxI;rA;:axAxiH}	rAma{puM;1;eka}	karwA,8	rAma					
10	puRpakeNa		puRpakeNa	puRpaka{puM;3;eka(puRp1;Nvul;puRpaz;:xivAxiH)}/puRpaka{napuM;3;eka(puRp1;Nvul;puRpaz;:xivAxiH)}	puRpaka{puM;3;eka(puRp1;Nvul;puRpaz;:xivAxiH)}	karaNam,8						
11	suhqx-vqwaH		suhqxvqwaH	suhqx-vqw{puM;1;bahu}/vqw{puM;2;bahu}/vqw{puM;5;eka}/vqw{puM;6;eka}/vqw{napuM;5;eka}/vqw{napuM;6;eka}/vqw{puM;8;bahu}/suhqx-vqwa{puM;1;eka(vq2;kwa;vqf;:kryAxiH)}	suhqx-vqw{puM;1;eka}	viSeRaNam,9	miwra-CipAyA_gaye		<suhqx-vqwaH>T3			
