index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	तम्		तं	तद्{सर्वनाम;पुं;2;एक}	तद्{सर्वनाम;पुं;2;एक}	विशेषणम्,11.1	विशेषणम्,11.1#विशेषणम्,2.1#कर्म,15.1#कर्म,6.2#कर्म,2.1	N2	वह	वह
2.1	व्रजन्तम्		व्रजन्तं	व्रजत्{पुं;2;एक(व्रज्1;शतृ_लट्;भ्वादिः)}	व्रजत्{पुं;2;एक(व्रज्1;शतृ_लट्;भ्वादिः)}	विशेषणम्,11.1	विशेषणम्,11.1#कर्म,15.1#कर्म,6.2	N2	घूमने	घूमने
3.1	प्रियः		प्रियः	प्रिय{पुं;1;एक}	प्रिय{पुं;1;एक}	विशेषणम्,4.1	विशेषणम्,15.1#विशेषणम्,12.1#विशेषणम्,10.2#विशेषणम्,9.2#विशेषणम्,5.1#विशेषणम्,4.1#कर्ता,6.2	N1	प्रिय	प्रिय
4.1	भ्राता		भ्राता	भ्रातृ{पुं;1;एक}	भ्रातृ{पुं;1;एक}	अभेदः,5.1	कर्ता,6.2#अभेदः,5.1	N1	भाई	भाई
5.1	लक्ष्मणः		लक्ष्मणः	लक्ष्मण{पुं;1;एक}	लक्ष्मण{पुं;1;एक}	कर्ता,6.2	कर्ता,6.2	N1	लक्ष्मण	लक्ष्मण
6.2	अनुजगाम		--	अनु_गम्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/गम्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भ्वादिः}	गम्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,5.1;सकर्मक	-	KP	पीछे_गया	पीछे_गया
7.1	ह		ह	ह{अव्य}	ह{अव्य}	सम्बन्धः,6.2	सम्बन्धः,6.2	NA		
8.1	स्नेहात्		स्नेहात्	स्नेह{पुं;5;एक}	स्नेह{पुं;5;एक}	हेतुः,6.2	हेतुः5,15.1#हेतुः5,9.2#हेतुः5,6.2#हेतुः5,2.1	N5	स्नेह_से	स्नेह_से
9.1	विनय-		विनय-सम्पन्नः	विनय	विनय	तृतीया-तत्पुरुषः,9.2	तृतीया-तत्पुरुषः,9.2	CP	विनय-	विनय-
9.2	सम्पन्नः		--	सम्पन्न{पुं;1;एक(सम्_पद्1;क्त;दिवादिः)}	सम्पन्न{पुं;1;एक(सम्_पद्1;क्त;दिवादिः)}	विशेषणम्,5.1	विशेषणम्,15.1#विशेषणम्,12.1#विशेषणम्,10.2#विशेषणम्,5.1#विशेषणम्,4.1#विशेषणम्,3.1#कर्ता,6.2	N1	सम्पन्न	सम्पन्न
10.1	सुमित्रा-		सुमित्रानन्द-वर्धनः	सुमित्रा	सुमित्रा	षष्ठी-तत्पुरुषः,10.2	षष्ठी-तत्पुरुषः,10.2	CP	सुमित्रा-	सुमित्रा-
10.2	आनन्द-		--	आनन्द	आनन्द	षष्ठी-तत्पुरुषः,10.3	षष्ठी-तत्पुरुषः,10.3	CP	आनन्द-	आनन्द-
10.3	वर्धनः		--	वर्धन{पुं;1;एक}	वर्धन{पुं;1;एक}	विशेषणम्,5.1	विशेषणम्,15.1#विशेषणम्,12.1#विशेषणम्,9.2#विशेषणम्,5.1#विशेषणम्,4.1#विशेषणम्,3.1#कर्ता,6.2	N1	वर्धन	वर्धन
11.1	भ्रातरम्		भ्रातरं	भ्रातृ{पुं;2;एक}	भ्रातृ{पुं;2;एक}	कर्म,6.2	कर्म,15.1#कर्म,6.2#कर्म,2.1	N2	भाई_को	भाई_को
12.1	दयितः		दयितः	दयित{पुं;1;एक}	दयित{पुं;1;एक}	विशेषणम्,5.1	कर्ता,6.2#अभेदः,5.1#विशेषणम्,5.1	N1	दयित	दयित
13.1	भ्रातुः		भ्रातुः	भ्रातृ{पुं;5;एक}/भ्रातृ{पुं;6;एक}	भ्रातृ{पुं;6;एक}	षष्ठीसम्बन्धः,12.1	षष्ठीसम्बन्धः,14.1#षष्ठीसम्बन्धः,12.1#षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,9.2#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.1#हेतुः5,15.1#हेतुः5,9.2#हेतुः5,6.2#हेतुः5,2.1#अपादानम्,15.1#अपादानम्,6.2	N6	भाई_का	भाई_का
14.1	सौभ्रात्रम्		सौभ्रात्रम्	सौभ्रात्र{नपुं;1;एक}/सौभ्रात्र{नपुं;2;एक}	सौभ्रात्र{नपुं;2;एक}	कर्म,15.1	कर्म,14.1#कर्म,6.2#कर्म,2.1#कर्ता,6.2#कर्म,15.1	N2	सौभ्रात्र_को	सौभ्रात्र_को
15.1	अनुदर्शयन्		अनुदर्शयन्	अनुदर्शयत्{पुं;1;एक(अनु_दृश्1;शतृ_लट्;भ्वादिः)}	अनुदर्शयत्{पुं;1;एक(अनु_दृश्1;शतृ_लट्;भ्वादिः)}	वर्तमानसमानकालः,6.2	वर्तमानसमानकालः,6.2#कर्ता,6.2	N1	देखता_हुआ	देखता_हुआ
	.		.	-	-	-	-	FS	-	-
