index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	अश्वमेध-		अश्वमेध-शतैः	अश्वमेध	अश्वमेध	षष्ठी-तत्पुरुषः,1.2	षष्ठी-तत्पुरुषः,1.2	CP	अश्वमेध-	अश्वमेध-
1.2	शतैः		--	शत{नपुं;3;बहु}/शत{पुं;3;बहु}	शत{नपुं;3;बहु}	करणम्,2.1	करणम्,2.1#हेतुः,17.1#हेतुः,12.1#हेतुः,7.1#हेतुः,6.1#हेतुः,2.1	N3		
2.1	इष्ट्वा		इष्ट्वा	इष्2{अव्य;क्त्वा;तुदादिः}/यज्1{अव्य;क्त्वा;भ्वादिः}	यज्1{अव्य;क्त्वा;भ्वादिः}	पूर्वकालः,17.1	पूर्वकालः,17.1#पूर्वकालः,6.1	NA	यज्ञ_करके	यज्ञ_करके
3.1	तथा		तथा	तथा{अव्य}	तथा{अव्य}	समुच्चय_द्योतकः,4.2	समुच्चय_द्योतकः,4.2	NA	दे_कर	दे_कर
4.1	बहु-		बहु-सुवर्णकैः	बहु	बहु	बहुव्रीहिः,4.2	षष्ठी-तत्पुरुष,1.2#बहुव्रीहिः,4.2	CP	अश्वमेध-	अश्वमेध-
4.2	सुवर्णकैः		--	सुवर्णक{नपुं;3;बहु}/सुवर्णक{पुं;3;बहु}	सुवर्णक{नपुं;3;बहु}	समुच्चितः,1.2	सुप्_समुच्चितः,1.2#करणम्,2.1#हेतुः,17.1#हेतुः,12.1#हेतुः,7.1#हेतुः,6.1#हेतुः,2.1	N3		
5.1	गवाम्		गवां	गो{पुं;6;बहु}/गो{स्त्री;6;बहु}	गो{पुं;6;बहु}	षष्ठीसम्बन्धः,6.2	षष्ठीसम्बन्धः,13.1#षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,6.2	N6	गायों_की	गायों_की
6.1	कोटि		कोटि-अयुतं	कोटि	कोटि	षष्ठी-तत्पुरुषः,6.2	षष्ठी-तत्पुरुषः,6.2	CP	कोटि-	कोटि-
6.2	अयुतम्			यु1{कर्तरि;लङ्;म;द्वि;परस्मैपदी;अदादिः}/अयुत{संख्येयम्;नपुं;1;एक}/अयुत{संख्येयम्;नपुं;2;एक}	अयुत{संख्येयम्;नपुं;2;एक}	कर्म,7.1	विशेषणम्,11.1#विशेषणम्,10.2#विशेषणम्,9.2#प्रयोज्यकर्ता,17.1#कर्म,12.1#कर्म,7.1#कर्म,2.1#प्रयोजककर्ता,17.1	N2	अयुत_को	अयुत_को
7.1	दत्त्वा		दत्त्वा	दा1{अव्य;क्त्वा;भ्वादिः}	दा1{अव्य;क्त्वा;भ्वादिः}	पूर्वकालः,17.1	पूर्वकालः,17.1#पूर्वकालः,6.1	NA	दे_कर	दे_कर
8.1	विद्वद्भ्यः		विद्वद्भ्यः	विद्वस्{पुं;4;बहु}/विद्वस्{पुं;5;बहु}	विद्वस्{पुं;4;बहु}	सम्प्रदानम्,7.1	विशेषणम्,13.1#हेतुः5,17.1#हेतुः5,12.1#हेतुः5,7.1#हेतुः5,6.1#हेतुः5,2.1#सम्प्रदानम्,12.1#सम्प्रदानम्,7.1#प्रयोजनम्1,17.1#प्रयोजनम्1,6.1#प्रयोजनम्1,2.1	N4	विद्वानों_को	विद्वानों_को
9.1	विधि-		विधि-पूर्वकम्	विधि	विधि	बहुव्रीहिः,9.2	बहुव्रीहिः,9.2	CP	विधि-	विधि-
9.2	पूर्वकम्		--	पूर्वक{पुं;2;एक}/पूर्वक{नपुं;1;एक}/पूर्वक{नपुं;2;एक}	पूर्वक{नपुं;2;एक}	क्रियाविशेषणम्,7.1	क्रियाविशेषणम्,17.1#क्रियाविशेषणम्,12.1#क्रियाविशेषणम्,7.1#क्रियाविशेषणम्,6.1#क्रियाविशेषणम्,2.1#प्रयोज्यकर्ता,17.1	N2	पूर्वक	पूर्वक
10.1	अ-		अ-संख्येयं	अ	अ	नञ्-तत्पुरुषः,10.2	नञ्-तत्पुरुषः,10.2	CP	अ-	अ-
10.2	संख्येयं		--	सङ्ख्येय{पुं;2;एक}/सङ्ख्येय{नपुं;1;एक}/सङ्ख्येय{नपुं;2;एक}	सङ्ख्येय{नपुं;2;एक}	विशेषणम्,11.1	विशेषणम्,11.1#विशेषणम्,9.2#विशेषणम्,6.1#प्रयोज्यकर्ता,17.1#कर्म,12.1#कर्म,7.1#कर्म,6.1#कर्म,2.1#प्रयोजककर्ता,17.1	N2	सङ्ख्येय	सङ्ख्येय
11.1	धनम्		धनं	धन{नपुं;1;एक}/धन{नपुं;2;एक}	धन{नपुं;2;एक}	कर्म,12.1	प्रयोज्यकर्ता,17.1#कर्म,12.1#कर्म,7.1#कर्म,6.1#कर्म,2.1#प्रयोजककर्ता,17.1	N2	धन	धन
12.1	दत्त्वा		दत्त्वा	दा1{अव्य;क्त्वा;भ्वादिः}	दा1{अव्य;क्त्वा;भ्वादिः}	पूर्वकालः,17.1	पूर्वकालः,17.1#पूर्वकालः,6.1	NA	दे_कर	दे_कर
13.1	ब्राह्मणेभ्यः		ब्राह्मणेभ्यः	ब्राह्मण{पुं;4;बहु}/ब्राह्मण{पुं;5;बहु}	ब्राह्मण{पुं;4;बहु}	सम्प्रदानम्,12.1	हेतुः5,17.1#हेतुः5,12.1#हेतुः5,7.1#हेतुः5,6.1#हेतुः5,2.1#सम्प्रदानम्,12.1#सम्प्रदानम्,7.1#प्रयोजनम्1,17.1#प्रयोजनम्1,6.1#प्रयोजनम्1,2.1	N4	ब्राह्मणों_को	ब्राह्मणों_को
14.1	महा-		महा-यशाः	महा}/महत्	महा	षष्ठी-बहुव्रीहिः,14.2	षष्ठी-बहुव्रीहिः,14.2	CP	महा-	महा-
14.2	यशाः		--	यशस्{पुं;1;एक}	यशस्{पुं;1;एक}	विशेषणम्,18.1	विशेषणम्,18.1	N1	यशस्	यशस्
15.1	राज-		राज-वंशान्	राजन्	राजन्	षष्ठी-तत्पुरुषः,15.2	षष्ठी-तत्पुरुषः,15.2	CP	राज-	राज-
15.2	वंशान्		--	वंश{पुं;2;बहु}	वंश{पुं;2;बहु}	प्रयोज्यकर्ता,17.1	विशेषणम्,16.2#प्रयोज्यकर्ता,17.1#कर्म,12.1#कर्म,7.1#कर्म,6.1#कर्म,2.1	N2	वंश	वंश
16.1	शत-		शत-गुणान्	शत	शत	षष्ठी-बहुव्रीहिः,16.2	षष्ठी-बहुव्रीहिः,16.2	CP	शत-	शत-
16.2	गुणान्		--	गुण{पुं;2;बहु}	गुण{पुं;2;बहु}	विशेषणम्,15.2	विशेषणम्,15.2#प्रयोज्यकर्ता,17.1#कर्म,12.1#कर्म,7.1#कर्म,6.1#कर्म,2.1	N2	गुणों_को	गुणों_को
17.1	स्थापयिष्यति		स्थापयिष्यति	ष्था1{णिजन्त;कर्तरि;लृट्;प्र;एक;परस्मैपदी;भ्वादिः}	ष्था1{णिजन्त;कर्तरि;लृट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,14.2;सकर्मक	-	KP	रखेगा	रखेगा
18.1	राघवः		--	राघव{पुं;1;एक}	राघव{पुं;1;एक}	प्रयोजककर्ता,17.1;कर्ता,12.1;कर्ता,7.1;कर्ता,2.1	प्रयोजककर्ता,17.1	N1	यशस्	यशस्
19.1	.		.	-	-	-	-	FS	-	-
